,Switch Electricity-Heat pump water (Thousand households),Switch Electricity-Heat pump air (Thousand households),Switch Electricity-Performance boiler (Thousand households),Switch Natural gas-Performance boiler (Thousand households),Switch Oil fuel-Performance boiler (Thousand households),Switch Wood fuel-Performance boiler (Thousand households)
2019,115.19176588833002,,434.4467380901019,565.8655589235117,,127.89321317358657
2020,117.8903921501294,,437.6879244566284,548.0437348029305,,134.01157496628952
2021,120.52155171937744,,439.8715693519901,529.5826182132822,,139.81727967333725
2022,123.32292417302216,,442.07462872411617,511.0169870464282,,145.48950749278075
2023,126.43865342055948,,444.621952320989,491.69119091517814,,151.22117836965367
2024,129.5268602629202,,446.65078663718737,473.75147249001543,,156.0770793588647
2025,132.59164878574165,,471.95955354123015,443.13844091271835,,150.32040313170705
2026,135.90921736897076,,479.6349455495889,423.11229842087124,,151.33645887761145
2027,139.05052004927583,,486.72549552876745,405.03543234041217,,151.1483740973959
2028,142.1566418870963,,493.5791655374383,388.09139125719804,,150.09029269587074
2029,145.88443187942454,,504.1483656098731,373.3698517544551,,149.49316860579793
2030,150.5996087699377,,513.6640610406871,369.6747206369116,,150.68553537865057
2031,155.7918578936291,,526.4367078733538,351.53546601533776,,149.75772109586515
2032,160.81340409525205,,538.4547692374186,335.0877077001111,,147.97203197195915
2033,165.620491797459,,549.7174063483328,320.05755045506686,,145.63298032685714
2034,170.17741366839,,560.1492047169795,306.4934152494278,,142.7897449493967
2035,175.6948735079814,,556.0387625231785,299.09121492630806,,147.23368859172652
2036,179.8489377865917,,565.1106584326648,287.72665635470906,,143.69322055587105
2037,183.6691311815167,,573.4689266613632,277.40925799799396,,140.0262968519377
2038,232.76229536199796,,428.8327547394076,240.57201487393235,,198.51609100975585
2039,214.96916978201477,,479.19440624672757,233.5745217206033,,161.52219951257555
2040,219.11184298865462,,469.37125624541835,223.2969029105629,,169.09319089662043
2041,220.88598867207762,,469.2008351103723,210.46318814021203,,170.85338044069638
2042,222.50922773726685,,468.53930233139687,198.30921175449703,,172.62891043957038
2043,224.16248870148357,,467.70740229971545,186.17602896935313,,174.5518930049878
2044,225.66316358673606,,466.48411674004944,175.4001474985043,,175.8383043306025
2045,227.7895306826083,,471.07610424930544,162.41248933789328,,171.45090423964174
2046,229.19829436434742,,473.32356766101265,151.42306797021976,,169.42627460469856
2047,230.5576039998375,,475.5284962804237,141.65268038373503,,166.51020620103577
2048,231.9286072739187,,477.7835626500145,132.6614849561828,,162.95693331374287
2049,234.39711018943245,,483.2404351415356,124.9096113343991,,160.21188930565572
