,Switch Electricity-Heat pump water (Thousand households),Switch Electricity-Heat pump air (Thousand households),Switch Electricity-Performance boiler (Thousand households),Switch Natural gas-Performance boiler (Thousand households),Switch Oil fuel-Performance boiler (Thousand households),Switch Wood fuel-Performance boiler (Thousand households)
2019,206.88147937478047,,297.1320048996691,495.7745184367396,,243.6092255765838
2020,209.40761204640188,,293.4256144701381,492.7042496777106,,242.0796193520324
2021,227.7228607879948,,307.1380707280702,478.8681034943181,,216.0330464008164
2022,231.1467536561975,,305.424871870361,466.09666101793107,,219.1923199856136
2023,232.27740647929755,,302.59536619392344,462.42317718536674,,216.62439642760614
2024,256.3116245672738,,275.5606476571129,440.51218009329295,,233.56272084940971
2025,504.8577370089905,,388.6325847069628,,,304.45298108797374
2026,505.5318170164446,,390.4355452618253,,,293.94940589676133
2027,506.0889035570955,,392.17839288580194,,,283.6184906476948
2028,506.3965484940838,,393.6992875773953,,,273.7629294073378
2029,510.14349890016007,,397.07711150996283,,,265.69181950341914
2030,522.0631095674951,,401.90357574885746,,,260.7654618488284
2031,525.1311505754393,,404.99585106339316,,,253.53394649205825
2032,527.829954123209,,407.8850746233869,,,246.67691142315468
2033,530.1654291969747,,410.5471863344555,,,240.16239935997913
2034,532.1399190966849,,412.94979056824036,,,233.96690890879282
2035,536.1541026128269,,405.98303656915675,,,234.69583345600662
2036,536.7811775796832,,408.67183649931195,,,228.73820359007357
2037,537.0514136104485,,410.91565633424756,,,223.10580535153298
2038,518.6453908969731,,321.6460984172005,,,257.70327675577585
2039,525.0428474213124,,262.64615560614584,,,304.4165230762936
2040,526.8539683753102,,253.35681873801448,,,304.72796361793814
2041,540.5874521918583,,257.81898829074026,,,278.5594474098501
2042,535.9814061082485,,254.49409438499376,,,277.13492312725947
2043,533.9723980575767,,252.98117257364459,,,271.76810678055625
2044,538.1890687884444,,234.23631814817634,,,279.8055022985744
2045,574.902473364629,,160.45058315347077,,,298.26479326061656
2046,575.7194863433391,,161.3257196117855,,,287.6982893425502
2047,576.4544461213527,,162.33818314966146,,,277.13284908419246
2048,576.9472438320287,,163.4282687908189,,,266.8814310753206
2049,581.3393195418749,,165.56957422717142,,,258.35646384973114
