Occupancy status,Income owner,Income tenant,Housing type,Heating system,Performance,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,A,3369.3643297516805,7403.904762489723,11654.075863866376,15917.040107102943,20190.002674955114,24477.522831080212,28774.018174737666,32849.23732852901,36927.56760147919,41008.84506924484,45094.07082571329,51739.887242423865,58389.63411674114,65043.137316050896,71700.21257294135,78360.6618417044,85025.40597327036,91693.3043301541,98364.16944281732,105003.9406703755,111614.78628676361,118084.59715315556,124560.19409336583,131036.51891417657,137514.13864198705,143992.7931933843,150478.47822033646,157003.04298611323,163530.59590970835,170061.1417712257,176596.06029101316
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,B,4227.080082904476,5057.878277065899,6937.513284108672,8800.273608379137,10644.249580019477,12482.2665662945,14287.963265317005,15080.569409809115,15862.64486818966,16634.097265882847,17400.246852909375,18182.533798399494,18959.229190697508,19729.89345225446,20494.08495386334,21251.34613980744,22007.501496667934,22756.203921135602,23497.16139980482,24108.132060047705,24602.277073367317,25094.294015315823,25597.025687520116,26092.15266494019,26581.59266744036,27065.068214689698,27562.462687287316,28170.25974068866,28775.20360132131,29377.425269752148,29980.683316617018
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,C,2995.108645864633,3270.3319712795783,4053.6573646512315,4834.747902208753,5604.1695252553445,6384.745284117951,7164.148689693649,7410.623307927504,7653.578866074417,7893.166075311438,8131.2833881838515,8375.263241233715,8617.971112088928,8859.423399422234,9099.627313278032,9338.579779647149,9573.197091531512,9806.264516509613,10037.663345957502,10216.872744043423,10356.098833310381,10489.018794453918,10618.722594898883,10743.54472903313,10866.884330419112,10985.109713322043,11098.655797384163,11249.579666710888,11398.510767730451,11545.434016545767,11691.638113445635
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,D,398.9875467944067,534.9500957722524,963.8576173279511,1386.6595539292375,1791.2588057999826,2193.5301497672403,2591.534190548806,2688.555499516156,2781.9104322883186,2871.6840672450194,2958.5696873627157,3045.3107623297046,3129.221242673242,3210.310005725013,3288.577873831973,3364.018227070814,3433.039207481327,3499.1391748288434,3562.2645884850426,3617.030386380231,3651.365808701894,3678.1092727764412,3700.3277738215174,3718.0320150988546,3733.1022718753457,3743.61107747718,3748.33677931515,3764.6191369999115,3777.555884964154,3787.120989453619,3793.716598948826
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,B,727.90332782344,935.8757072015658,1143.8480865796914,1351.820465957817,1559.7928453359427,1767.7652247140684,1975.737604092194,2183.70998347032,2391.682362848446,2599.6547422265717,2807.6271216046975,3032.6797580491116,3257.7323944935256,3482.7850309379396,3707.8376673823536,3932.8903038267676,4157.942940271181,4382.995576715595,4608.048213160009,4833.100849604423,5058.153486048837,5278.212964421042,5498.272442793246,5718.331921165451,5938.391399537655,6158.45087790986,6378.510356282064,6598.569834654269,6818.629313026473,7038.6887913986775,7258.748269770882
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,C,38868.024087089565,38591.246880431536,37963.06973989167,37318.797378617026,36630.193879773346,35934.43919851132,35230.83183900268,35026.61652053477,34813.50016303878,34592.194055367036,34360.12029344929,34156.087471979954,33943.013106306964,33721.7005118244,33492.970690528724,33257.67790775891,33015.22831534316,32766.708396215083,32512.989058598225,32328.777563560954,32209.16835933196,32083.436776395123,31924.554789611262,31753.725291320032,31576.250664000003,31384.414045043148,31159.53911882791,30850.396044138583,30529.210759548783,30196.097955319954,29848.883777472092
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,D,20724.42303166639,20426.955998770565,19822.63093721197,19225.3274064779,18635.85740291291,18054.237900903,17485.976756779623,17194.64554118619,16905.776506808597,16619.62119514102,16334.53714298218,16066.582956536637,15800.207108150982,15535.758691533787,15273.584604766107,15014.037304713547,14754.010131940773,14496.816129943045,14242.793736792164,14025.40252157094,13847.876616653986,13667.923998566324,13477.01839939496,13284.826932254053,13093.402504853344,12899.056229299147,12691.611295222785,12445.707314239364,12199.21643329455,11952.198145195709,11703.56444398323
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,E,19077.330934790753,18362.53835390946,17360.496680537144,16403.559421658552,15492.513986969641,14623.998655774305,13806.114752596164,13250.107760749315,12713.601537391034,12196.055666706625,11694.433265707292,11218.869281781472,10757.37944203707,10309.75297919434,9875.75097281428,9455.141624499018,9038.768537960243,8632.68288911313,8236.574495294271,7870.0836188221965,7529.148362927564,7188.04388634559,6845.69617068667,6508.876242961333,6179.274273852826,5854.419129608857,5527.2561179165,5195.081232776609,4871.117641919393,4555.335551382518,4247.431845774852
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,F,19801.432286795836,19600.406753497788,19296.009785472466,18985.756466402898,18681.965717962303,18372.03071610287,18061.54786413905,17757.140730791416,17448.14532639135,17134.80786743621,16815.70844201326,16513.501383043407,16204.324725578623,15888.316605550735,15565.584644137442,15236.253115183928,14890.761915850762,14533.986630148554,14165.898574486873,13774.113771760443,13372.907992793262,12956.171956199898,12526.151892323402,12086.42254296524,11639.468522278967,11183.158949279576,10712.883358648407,10238.70687766459,9758.155793025378,9271.726419449014,8780.06528956828
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,G,14200.428187982425,13818.934049176292,13369.703743113463,12929.757789483188,12506.969129655336,12092.461722699063,11694.95138783387,11323.171277014042,10959.025025520734,10602.422869035616,10252.361256049859,9921.678086183449,9596.051900965302,9275.412688695982,8959.669865875114,8648.740399556227,8333.778402601,8021.098669680156,7710.64177683476,7392.497764410085,7075.697364457605,6755.333319870764,6436.4862996942775,6120.984985479003,5810.1622989606985,5502.690246888765,5194.80538491559,4894.022017640382,4597.951745027922,4306.6889563899795,4020.4085363805593
