,2020,2025,2030,2035,2040,2045,2050
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ccgt,0.0,0.0,0.0,0.04855530495232266,0.4210969277233474,0.25750745450788204,0.43101916547131053
central_gas_boiler,0.017519548944802954,0.00765814495631958,0.006935928836396002,0.005593762161491411,0.004625066287057664,0.004454202259446856,0.003397364333934115
central_wood_boiler,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,0.0,0.039915870410523094,0.12965371332597375,0.03743363398157105,0.029326029073331993,0.08271050527986645,0.13291237448968243
geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.002496031954351432
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.05838617973025015
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanation,0.0,0.0,0.0,0.0,0.04122836361881663,0.10341704593205418,0.034684259045385364
methane,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanization,0.0,0.0,0.012494376562074319,0.027397158549753213,0.060117452623979745,0.020771097452821494,0.02077109745282152
natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,0.0,0.0,0.0,0.0,1.3143085119750568,1.2777766361934428,0.7845524349637689
ocgt,0.03794425793257983,0.0,0.0,0.40150359460534074,0.21373836429095677,0.21227380068038415,0.2793723635007941
offshore_f,0.0,0.0,0.0,0.0028898204172233886,0.0,0.47375614337808825,3.044936324305012
offshore_g,0.0,0.0,0.0,0.5304471814262446,0.31674731335344924,0.30343860270834644,0.3004916739226451
onshore,0.0,0.0,0.7439362321848536,0.7310125334770736,0.6814353122556244,0.6699826179320012,0.6585299236083771
phs,0.0,0.0,0.0,0.0682792657422843,0.0227597552474281,0.0227597552474281,0.02275975524742806
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pv_g,0.0,0.19510774288107022,0.36958496447649625,0.6350240097431943,0.592476337398592,0.47117951448474005,0.11555446435029733
pyrogazification,0.0,0.0,0.0,0.0,0.0,0.0,0.3992042753695425
river,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
investment_heater,0.6831493616942008,3.3885905685285045,4.020431417014132,3.9655740543760865,3.9512590233085882,4.000741332531396,4.05166502949191
investment_insulation,0.2689330222359852,1.5357785880432187,2.200181288206427,1.8758927376175856,1.5625089086487267,1.2093909879570965,0.9558013531242017
