,2020,2025,2030,2035,2040,2045,2050
river,36.685589196542864,36.685589196542864,36.685589196542864,36.685589196542864,36.685589196542864,36.685589196542864,36.685589196542864
lake,15.302186369999973,15.302186369999603,15.302186369999625,15.302186369999367,15.302186369999749,15.30218636999972,15.302186369999715
phs,1.3709732133316137,0.0038329199999999996,1.0948574729993723,2.3568151043258716,5.231622339887641,7.402321675987743,13.9818100498128
offshore_f,0.0,0.0,0.0,0.08639665962461412,0.08639665962461412,15.67612440101849,121.18566199999991
offshore_g,0.0,0.0,0.0,20.711909571470947,33.59931997149723,46.48673037152384,59.834405428694105
onshore,25.672679102256538,32.99567158507232,64.33234362351106,90.16920596955104,114.06262332425908,138.24048612366502,160.42723081017925
onshore_V110,,,,,,,
pv_g,9.524232366375484,19.408937340310594,34.1136857993546,62.55360726609468,88.51925556522829,110.39811995109875,114.05498379147302
pv_g_ns,,,,,,,
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanization,0.0,0.0,4.060307452967123,12.96358377868176,32.49999999999497,39.24999999999385,46.00000000000614
ocgt,1.4320798373399664,0.0,0.0,1.3464031978839308,1.4544311143267559,2.342039907195026,2.5249710287292517
ccgt,6.655054885698113,0.05456908803159395,0.05052611477412755,6.986480015177749,19.87326019516941,27.064309891150113,37.64214029830778
coal,6.891912758017821,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,377.17326279304376,377.16903622457386,364.90104746775984,320.133676751209,294.3761614797319,275.9804776292546,171.68051852283025
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.45773091420098183
battery1,0.0,0.0,0.0,0.06914391942494963,0.16886614862391028,0.29937649379761844,0.3673093374845705
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,0.0,4.800000000001015,19.99999999999639,23.1999999999996,26.399999999998855,33.60000000000022,40.803036691580004
hydrogen,0.0,0.0,0.37847569047102997,3.3825086086677976,3.9678193100718984,5.85353323454934,10.323265555426012
methane,0.0,0.0,2.1705204466145736,6.9279958695512995,20.701731992561868,33.45523642493513,55.32873828172332
methanation,0.0,0.0,0.0,0.0,2.8948671372280597,9.987923190520387,11.869933661171192
pyrogazification,0.0,0.0,0.0,0.0,0.0,0.0,19.20219203105298
natural_gas,154.14703483161057,130.6066937127994,95.78778319918364,72.8953267286472,47.983047274585054,30.549077961318513,17.474830243537088
geothermal,0.0011692863661692606,0.0009690371776286579,0.005018529221690076,0.003456071245437923,0.002765592474732423,0.002534284324568854,2.3599999999999426
central_gas_boiler,12.891948965699399,15.94159375736485,18.596641571317626,20.510055322185547,21.938478250271956,23.31091968735938,19.02546165854591
central_wood_boiler,0.02137894000088382,0.010294981499367245,0.0016906514740443466,0.0015883299917404067,0.0015164306334750565,0.0014490141826901035,2.6974802495726964
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
