Occupancy status,Income owner,Income tenant,Housing type,Heating system,Performance,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,A,3369.3643297516805,7403.904762489723,11654.075863866376,15917.040107102943,20190.002674955114,24557.938622591777,29456.95624109358,34470.370829785585,39593.71397278519,44822.64893844194,50160.04571789119,58191.58264126384,66329.52393187645,74570.83392165431,82912.47821436336,91351.41472276497,99891.44789428552,108524.8223153632,117247.74568016767,125821.16148642312,134181.7020780347,142452.60507439403,150765.13705819313,159095.156938122,167462.12791012193,175772.39005739326,183034.59864098695,190291.99062072107,197544.69421810278,204792.59158188407,212038.43154993467
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,B,4227.080082904476,5057.878277065899,6937.513284108672,8800.273608379137,10644.249580019477,12530.009815284395,15829.374810879788,19133.57423122073,22440.572169932144,25748.511534216646,29075.26784187228,32510.396748288724,35961.602983389595,39426.7368382399,42903.726061771835,46390.54882518657,49897.494163186246,53411.47888026307,56929.81350215115,60055.15601096437,62703.286170136416,65346.67537242503,67977.86675143051,70559.0266227269,73122.15428508866,75536.9835303004,76499.02118026996,77445.09948226325,78375.54457484413,79290.42451190192,80193.78279289861
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,C,2995.108645864633,3270.3319712795783,4053.6573646512315,4834.747902208753,5604.1695252553445,6277.853398927332,8876.856139871623,11385.903506510791,13806.162566949255,16138.866735535881,18398.10765197019,20655.056358269463,22837.005906438782,24944.183516234774,26976.841346261514,28935.26004102914,30824.546212087505,32638.011270110168,34375.0512031069,35827.31204889608,36908.22714002566,37921.1567763738,38839.6008107203,39661.127160243464,40417.78194322871,41036.717927024554,40427.78342393497,39822.50447011362,39220.97605595793,38623.25584556766,38029.59135982659
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,D,398.9875467944067,534.9500957722524,963.8576173279511,1386.6595539292375,1791.2588057999826,2129.2805345055685,3470.7933475381733,4705.385607533583,5838.708039170576,6876.1478982236185,7828.022315015671,8729.846852511007,9551.120747407493,10295.443759998847,10966.253815369488,11566.835052111986,12100.350151987386,12567.76164195284,12971.447191773452,13282.194331522805,13435.15840941983,13538.127480066461,13585.927201565879,13582.614521418775,13540.854309830356,13445.87403691296,13035.523667865204,12637.697299621723,12252.01267652885,11878.099210691169,11515.597625812712
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,B,727.90332782344,935.8757072015658,1143.8480865796914,1351.820465957817,1559.7928453359427,1767.7652247140684,1975.737604092194,2183.70998347032,2391.682362848446,2599.6547422265717,2807.6271216046975,3032.6797580491116,3257.7323944935256,3482.7850309379396,3707.8376673823536,3932.8903038267676,4157.942940271181,4382.995576715595,4608.048213160009,4833.100849604423,5058.153486048837,5278.212964421042,5498.272442793246,5718.331921165451,5938.391399537655,6158.45087790986,6378.510356282064,6598.569834654269,6818.629313026473,7038.6887913986775,7258.748269770882
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,C,38868.024087089565,38591.246880431536,37963.06973989167,37318.797378617026,36630.193879773346,36548.37694984662,36698.22065647076,36814.9669978344,36901.455996008,36960.43480668045,36987.834364637354,37021.790556428045,37030.274584048355,37015.98220905079,36981.59167083592,36929.80400614503,36864.39594474372,36783.86119249577,36689.992565048786,36742.162672932114,36896.259856577504,37032.563616649444,37087.630792512704,37104.77587931943,37097.85579531756,37111.51021870711,36144.08752739116,35121.45141039874,34045.905570909126,32918.87273386376,31737.343626742593
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,D,20724.42303166639,20426.955998770565,19822.63093721197,19225.3274064779,18635.85740291291,18019.007601998677,17476.37145060439,16953.744325420488,16450.73392310179,15966.938811568494,15498.405525351693,15054.432949948892,14625.584013846048,14211.824876503842,13813.112133202621,13429.409007563538,13057.214257683201,12699.156244975418,12354.967478328732,12080.036911742913,11867.883040297507,11657.086217819098,11431.387899035766,11205.780800530816,10983.270174504376,10781.086466539151,10336.82037659808,9889.657418878938,9439.550957528898,8987.830129906379,8533.610863861479
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,E,19077.330934790753,18362.53835390946,17360.496680537144,16403.559421658552,15492.513986969641,14483.05440099962,13712.341153221798,12982.386769330931,12290.806571619227,11635.564518715095,11011.301950244599,10423.970691592996,9863.35043543773,9328.10509302085,8816.909341609498,8328.454477503881,7851.171109667185,7390.980904228311,6946.524414267109,6547.148383983537,6172.863417682699,5797.470279002594,5417.212200977946,5040.257278725796,4669.498644012577,4307.343249463473,3791.0375304842,3299.1519181221493,2831.704139788108,2388.797233985632,1970.186560995978
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,F,19801.432286795836,19600.406753497788,19296.009785472466,18985.756466402898,18681.965717962303,18045.73655916303,17553.25553597587,17061.672894437506,16570.714660710182,16080.439592389399,15589.717456786326,15119.12551361313,14645.09619172466,14167.236234897473,13685.113792606167,13198.25678194383,12692.925239039077,12176.34708376497,11647.610217388241,11067.180165515196,10473.42067421431,9865.609559249013,9250.209702681686,8629.857693847087,8007.186731301027,7381.365163435816,6612.888019222206,5861.009169179572,5126.493598657437,4410.1436653787005,3712.8096349329153
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,G,14200.428187982425,13818.934049176292,13369.703743113463,12929.757789483188,12506.969129655336,11847.990605134177,11412.476933526083,10985.058945958972,10565.44502187502,10153.556680342399,9749.417982771372,9366.60947607727,8988.59562451745,8614.902248200096,8245.053921561863,7878.574524567002,7504.642660280684,7130.41805285719,6755.311478347524,6309.9338680093815,5869.565688927713,5431.868225525753,5003.3524294475565,4585.255727819266,4178.668390724648,3783.0472916036956,3331.3052236642043,2902.542972128457,2496.166292302318,2111.618999831135,1748.385586768834
