,hour,elec_spot_price_2020,CH4_spot_price_2020,hour,elec_spot_price_2025,CH4_spot_price_2025,hour,elec_spot_price_2030,CH4_spot_price_2030,hour,elec_spot_price_2035,CH4_spot_price_2035,hour,elec_spot_price_2040,CH4_spot_price_2040,hour,elec_spot_price_2045,CH4_spot_price_2045,hour,elec_spot_price_2050,CH4_spot_price_2050
0,0,34.75000000000001,13.9,0,6.0,22.499999999999996,0,32.51725109428536,65.89655172413794,0,27.87070367622747,73.85200490881037,0,13.144440373694472,85.36322712931252,0,6.0093375826413284,91.0565581353711,0,7.407407407407407,99.56093805939628
1,1,30.10612952133421,13.9,1,6.0,22.499999999999996,1,32.51725109428536,65.89655172413794,1,27.87070367622747,73.85200490881036,1,13.144440373694472,85.36322712931252,1,6.0093375826413284,91.0565581353711,1,6.0,99.56093805939628
2,2,30.10612952133421,13.9,2,6.0,22.499999999999996,2,32.51725109428536,65.89655172413794,2,27.87070367622747,73.85200490881036,2,13.144440373694472,85.36322712931252,2,6.0093375826413284,91.0565581353711,2,6.0,99.56093805939628
3,3,24.385964912280706,13.9,3,6.0,22.499999999999996,3,32.51725109428536,65.89655172413794,3,27.87070367622747,73.85200490881036,3,13.144440373694472,85.36322712931252,3,6.0093375826413284,91.0565581353711,3,6.0,99.56093805939628
4,4,24.385964912280706,13.9,4,6.0,22.499999999999996,4,32.51725109428536,65.89655172413794,4,27.87070367622747,73.85200490881037,4,13.144440373694472,85.36322712931252,4,6.0093375826413284,91.0565581353711,4,6.0,99.56093805939628
5,5,24.385964912280706,13.9,5,6.0,22.499999999999996,5,32.51725109428536,65.89655172413794,5,27.87070367622747,73.85200490881037,5,13.144440373694472,85.36322712931252,5,6.0093375826413284,91.0565581353711,5,6.0,99.56093805939626
6,6,24.385964912280706,13.9,6,6.0,22.499999999999996,6,32.51725109428536,65.89655172413794,6,27.87070367622747,73.85200490881037,6,13.144440373694472,85.36322712931253,6,6.0093375826413284,91.0565581353711,6,6.0,99.56093805939628
7,7,24.385964912280706,13.9,7,6.0,22.499999999999996,7,32.51725109428536,65.89655172413794,7,27.87070367622747,73.85200490881036,7,13.144440373694472,85.36322712931252,7,6.0093375826413284,91.0565581353711,7,6.0,99.56093805939628
8,8,24.385964912280706,13.9,8,6.0,22.499999999999996,8,32.51725109428536,65.89655172413794,8,27.87070367622747,73.85200490881036,8,13.144440373694472,85.36322712931253,8,6.0093375826413284,91.0565581353711,8,6.0,99.56093805939628
9,9,24.385964912280706,13.9,9,6.0,22.499999999999996,9,32.51725109428536,65.89655172413794,9,27.87070367622747,73.85200490881037,9,13.144440373694472,85.36322712931252,9,6.0093375826413284,91.0565581353711,9,6.0,99.56093805939628
