,2020,2025,2030,2035,2040,2045,2050
river,9.66,9.66,9.66,9.66,9.66,9.66,9.66
lake,8.8,8.8,8.8,8.8,8.8,8.8,8.8
phs,5.2,5.2,5.2,6.7,7.2,7.7,8.2
offshore_f,0.0,0.0,0.0,0.0,0.0,3.2164638701931967,30.1
offshore_g,0.0,0.0,0.0,5.1,8.5,11.9,15.3
onshore,9.49,11.6,21.13324752438647,32.7,42.099999999999994,51.6,60.4
onshore_V110,,,,,,,
pv_g,6.62,14.062585298016321,23.990000000000002,43.989999999999995,53.920068411878255,62.86912558760358,68.77687183825009
pv_g_ns,,,,,,,
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanization,0.0,0.0,2.1691973969631233,2.9398333143052864,3.7104692316474486,4.48110514898961,5.251741066331773
ocgt,7.17063904416999,7.17063904416999,5.17063904416999,13.368639833475978,18.807756169433958,24.17977308069161,36.60539268263837
ccgt,6.5,6.5,5.5,4.5,9.569935707196567,15.47010388067376,23.134280735474675
coal,2.9,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,61.5,61.5,59.5,52.2,49.3841524186316,45.0,29.0
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery1,0.0,0.0,0.0,0.03185113221606364,0.1650146469642336,0.23745253405050193,0.7038266006237698
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,0.0,0.5479452054794519,2.2953477519855356,3.119277981356181,4.3831849660332125,6.776135190200426,9.557709174135539
hydrogen,0.0,0.0,1.0331487381599564,2.6484018264840183,3.0136986301369864,3.835616438356164,4.991499128473438
methane,80.0,80.0,80.0,80.0,80.0,80.0,80.0
methanation,0.0,0.0,0.0,0.6811218045911944,1.192102168684574,1.476177741076772,1.7951489870699417
pyrogazification,0.0,0.0,0.0,0.0,1.096015526886631,1.6440232903299463,2.192031053773262
natural_gas,109.67854611323105,109.67854611323105,109.67854611323105,109.67854611323105,109.67854611323105,109.67854611323105,129.26134563640178
geothermal,0.583,0.583,0.583,0.583,0.583,0.583,0.6167149288748173
central_gas_boiler,6.116434019939473,8.161485645942061,10.012358298895652,11.498674972893904,12.709534223719293,12.709534223719293,12.709534223719293
central_wood_boiler,0.911,0.911,0.911,0.911,0.911,2.69472544779949,4.343196567148817
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
