,2020,2025,2030,2035,2040,2045,2050
offshore_f,0.0,0.0,0.0,0.0,0.0,0.1929878322115918,1.6555
offshore_g,0.0,0.0,0.0,0.29579999999999995,0.4335,0.5593,0.6273000000000001
onshore,0.355875,0.435,0.7924967821644926,1.1445,1.3682499999999997,1.548,1.661
pv_g,0.06951,0.14765714562917137,0.25189500000000004,0.43989999999999996,0.5122406499128435,0.5658221302884322,0.5846034106251258
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0
river,0.143451,0.143451,0.143451,0.143451,0.143451,0.143451,0.143451
lake,0.132,0.132,0.132,0.132,0.132,0.132,0.132
methanization,0.0,0.0,1.0302603036876319,1.3962738326290371,1.7622873615707042,2.1283008905123078,2.4943144194545828
ocgt,0.1434127808833998,0.1434127808833998,0.1034127808833998,0.2673727966695196,0.3761551233886792,0.4835954616138322,0.7321078536527673
ccgt,0.26,0.26,0.22,0.18,0.3827974282878627,0.6188041552269503,0.925371229418987
nuclear,8.41303957675826,8.413014799646243,8.139408523122,7.140788608413266,6.755588364676353,6.155845908674375,3.81304658178294
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phs,0.078,0.078,0.078,0.1005,0.108,0.1155,0.12299999999999998
battery1,0.0,0.0,0.0,0.0003503624543767001,0.0018151611166065695,0.0026119778745555215,0.007742092606861467
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanation,0.0,0.0,0.0,0.06480280603587375,0.11226498846323364,0.1377343676122294,0.16526276598205983
pyrogazification,0.0,0.0,0.0,0.0,0.5538385660463396,0.8307052403241817,1.1076771320926793
electrolysis,0.0,0.0065753424657534225,0.02754417302382643,0.03743133577627417,0.05259821959239855,0.0813136222824051,0.11469251008962647
natural_gas,2.1419867468382585,2.912867017971542,2.260821061771646,1.9684888994356455,1.5500463843085486,0.9564662649469861,0.5681580141965176
coal,0.04548662420291772,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen,0.0,0.0,0.002578043554977461,0.022308799205838222,0.02514108128079194,0.03456297858213694,0.05690861217277486
methane,0.0,0.0,0.019775246302520807,0.03375055907463351,0.05870790016768703,0.07911075080093684,0.10074421510978618
geothermal,8.535790473035601e-05,7.073907338755473e-05,0.12994,0.14015999999999995,0.15037999999999982,0.16059999999999966,0.17228000000001126
central_gas_boiler,0.011621224637884998,0.015506822727289917,0.019023480767901738,0.021847482448498413,0.024148115025066655,0.024148115025066655,0.024148115025066655
central_wood_boiler,0.0017308999999999998,0.0017308999999999998,0.0017308999999999998,0.0017308999999999998,0.0017308999999999998,0.005119978350819031,0.008252073477582752
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil,0.8359405327033227,1.2975186183966791,0.684092308367288,0.21769627092343155,0.0,0.0,0.0
wood,4.085457723069736,4.687393225808779,5.038616703475329,5.290188829672089,5.569132417057879,5.9907598761276395,6.326500511347175
health_costs,6.030931486816755,5.088802938873391,3.2378150926546634,1.937838555194768,1.1373565917258284,0.6094499235819723,0.2502914472141186
