,Switch Electricity-Heat pump water (Thousand households),Switch Electricity-Heat pump air (Thousand households),Switch Electricity-Performance boiler (Thousand households),Switch Natural gas-Performance boiler (Thousand households),Switch Oil fuel-Performance boiler (Thousand households),Switch Wood fuel-Performance boiler (Thousand households)
2019,112.36529454015003,,411.9858721555228,603.2748662237678,,115.77104589740946
2020,112.58344196624653,,409.1797538179612,600.387692771103,,115.47940638112198
2021,112.73100920771306,,405.57430549205543,596.3107788604966,,115.16944693794761
2022,112.86711007389518,,401.94616736934273,592.2337619481727,,114.8442497687775
2023,113.01417890701403,,398.2962883105177,588.1383111312592,,114.5048173059295
2024,113.16738039621848,,394.6277175724978,584.0319452756294,,114.15146280350434
2025,256.7954312486289,,732.0425386826142,,,209.13407630370244
2026,255.45456853240424,,730.0409159659771,,,204.473762575067
2027,254.16227881607927,,728.0011723521906,,,199.7842925088871
2028,252.91804629572707,,725.924843666325,,,195.0712093924104
2029,252.7365421579755,,728.5367479997587,,,191.60939539461958
2030,257.5403331896224,,735.3909434713161,,,191.64134108863823
2031,257.4615899104495,,737.8527206986547,,,188.08345526770532
2032,257.4137523055608,,740.1671300881086,,,184.50755676290902
2033,257.3946686418325,,742.3099773289895,,,180.91794424639065
2034,257.4022079978497,,744.2564828471791,,,177.3187170506827
2035,262.9934027613991,,727.3789718169177,,,186.7571200265803
2036,263.09782437174675,,729.3960332452999,,,182.9822336244881
2037,263.17923889692287,,731.505814620705,,,179.2871988129983
2038,303.4950225614897,,569.6768870178419,,,228.2740136007203
2039,289.53794395489234,,620.1192170229729,,,183.29623792147032
2040,294.6495023597431,,601.3743154073914,,,190.41449064935875
2041,293.4587372238443,,598.6321950503258,,,186.93161129187672
2042,292.2446763583644,,596.053708873668,,,183.55495450477005
2043,291.0258129447249,,593.6306284648686,,,180.27576473211957
2044,289.80024521208935,,591.370166701585,,,177.09331813921497
2045,300.38539569471413,,491.3558638444877,,,223.1356503762331
2046,299.0632433220183,,492.33429416981164,,,217.85748979404366
2047,297.7663989538083,,493.07626188993174,,,212.41631922577062
2048,296.49800332926566,,493.6142767955505,,,206.85290361813483
2049,296.5868218727711,,497.356980970221,,,202.64171744211595
