,hour,elec_spot_price_2020,CH4_spot_price_2020,hour,elec_spot_price_2025,CH4_spot_price_2025,hour,elec_spot_price_2030,CH4_spot_price_2030,hour,elec_spot_price_2035,CH4_spot_price_2035,hour,elec_spot_price_2040,CH4_spot_price_2040,hour,elec_spot_price_2045,CH4_spot_price_2045,hour,elec_spot_price_2050,CH4_spot_price_2050
0,0,34.75000000000001,13.9,0,32.517702148751034,22.499999999999996,0,42.71738936839932,77.30860906089534,0,27.592171749811733,74.89729031712955,0,14.724043899399819,79.73305842541072,0,7.407407407407407,78.82758620689657,0,7.407407407407407,87.4139209274808
1,1,30.10612952133421,13.9,1,32.517702148751034,22.499999999999996,1,42.71738936839932,77.30860906089534,1,27.592171749811733,74.89729031712956,1,14.724043899399819,79.73305842541075,1,7.407407407407407,78.82758620689657,1,6.0,87.4139209274808
2,2,30.10612952133421,13.9,2,32.517702148751034,22.499999999999996,2,42.71738936839932,77.30860906089534,2,27.592171749811733,74.89729031712956,2,11.92647555851385,79.73305842541073,2,6.0,79.95644014135668,2,6.0,87.4139209274808
3,3,24.385964912280706,13.9,3,32.517702148751034,22.499999999999996,3,42.71738936839932,77.30860906089534,3,27.592171749811733,74.89729031712955,3,11.92647555851385,79.73305842541072,3,6.0,79.95644014135668,3,6.0,87.4139209274808
4,4,24.385964912280706,13.9,4,32.517702148751034,22.499999999999996,4,42.71738936839932,77.30860906089534,4,27.592171749811733,74.89729031712955,4,11.92647555851385,79.73305842541075,4,6.0,79.95644014135668,4,6.0,87.4139209274808
5,5,24.385964912280706,13.9,5,32.517702148751034,22.499999999999996,5,42.71738936839932,77.30860906089534,5,27.592171749811733,74.89729031712955,5,11.92647555851385,79.73305842541072,5,6.0,79.95644014135668,5,6.0,89.41392092748079
6,6,24.385964912280706,13.9,6,32.517702148751034,22.499999999999996,6,42.71738936839932,77.30860906089534,6,27.592171749811733,74.89729031712955,6,11.92647555851385,79.73305842541073,6,6.0,79.95644014135668,6,6.0,89.41392092748079
7,7,24.385964912280706,13.9,7,32.517702148751034,22.499999999999996,7,42.71738936839932,77.30860906089534,7,27.592171749811733,74.89729031712956,7,11.92647555851385,79.73305842541072,7,7.017543859649122,79.95644014135668,7,6.0,89.41392092748079
8,8,24.385964912280706,13.9,8,32.517702148751034,22.499999999999996,8,42.71738936839932,77.30860906089534,8,27.592171749811733,74.89729031712956,8,11.92647555851385,79.73305842541075,8,6.0,79.95644014135668,8,6.0,89.41392092748079
9,9,24.385964912280706,13.9,9,32.517702148751034,22.499999999999996,9,42.71738936839932,77.30860906089534,9,27.592171749811733,74.89729031712955,9,11.926475558513852,79.73305842541072,9,6.0,79.95644014135668,9,6.0,89.41392092748079
10,10,24.385964912280706,13.9,10,32.517702148751034,22.499999999999996,10,42.71738936839932,77.30860906089534,10,27.592171749811733,74.89729031712955,10,11.92647555851385,79.73305842541075,10,6.0,79.95644014135668,10,6.0,87.4139209274808
11,11,24.385964912280706,13.9,11,32.517702148751034,22.499999999999996,11,42.71738936839932,77.30860906089534,11,27.592171749811733,74.89729031712955,11,11.92647555851385,79.73305842541072,11,6.0,79.95644014135668,11,6.0,87.4139209274808
12,12,24.385964912280706,13.9,12,32.517702148751034,22.499999999999996,12,42.71738936839932,77.30860906089534,12,27.592171749811733,74.89729031712956,12,11.92647555851385,79.73305842541073,12,6.0,78.82758620689657,12,6.0,87.4139209274808
13,13,24.385964912280706,13.9,13,32.517702148751034,22.499999999999996,13,42.71738936839932,77.30860906089534,13,27.592171749811733,74.89729031712956,13,11.92647555851385,79.73305842541073,13,6.0,78.82758620689657,13,6.0,87.4139209274808
