Occupancy status,Income owner,Income tenant,Housing type,Heating system,Performance,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,A,3287.911273038266,7226.042998276369,11164.554707632014,15103.437638703619,19042.68303890768,22982.28225623779,27014.75086425236,31049.667810663683,35087.01838322074,39126.78791798525,43169.73922051259,49772.32768733923,56378.34245917029,62987.79990740643,69600.71561580038,76217.10428026483,82838.480419043,89463.5459150108,96092.31322795396,102706.3333829212,109335.94805511239,115826.94060873611,122320.53975462422,128816.70484559891,135315.39221806626,141816.56212738383,148219.1921410611,154622.812779771,161027.38731955798,167432.88250457667,173839.83843898348
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,B,3697.696534492491,3950.9541808112267,4203.071733061104,4454.024060501853,4703.762527902395,4952.278196204877,5583.839426715821,6217.862789947564,6854.544904259426,7494.0452716084055,8140.127356335238,8813.38840136163,9494.111867932894,10182.365140091204,10878.197146780994,11581.63984652958,12302.419153248507,13031.53752677776,13769.017347035062,14435.05648577293,15158.576700798138,15898.110329523164,16641.916727412943,17389.82014164132,18141.629228573995,18897.16409460752,19297.325512077063,19697.64544419176,20097.914302007277,20497.942594012075,20899.79734066681
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,C,2782.3021370747733,2841.555607780538,2899.7406334212933,2956.8716483622507,3012.9630955931334,3068.029465762116,3863.479784946266,4658.776397157342,5453.324379594839,6246.601002742304,7042.3582681499865,7869.631435822006,8699.106757172509,9530.469025483084,10363.43307448147,11197.740991525307,12054.1839304461,12911.591922405336,13769.415046623553,14534.157781607848,15358.162560027642,16201.126408810012,17037.022141004632,17865.374175443667,18685.70437248889,19497.571066309476,19559.419806863683,19617.79966678449,19672.73147648022,19724.244398469385,19772.984800628717
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,D,282.3615543910009,306.1983021224034,329.10598983660367,351.10892527315843,372.2305751755721,392.49364144763655,961.4135218015255,1507.2863328908743,2030.8455108484463,2532.8041761942977,3016.262673525554,3501.095793198626,3967.9338016970405,4417.3192276026875,4849.777286166153,5265.816483364213,5680.6705516874235,6079.350910596726,6462.079712646937,6808.854272197093,7171.787132215035,7532.221768528374,7873.128743171339,8194.998425334952,8498.304852816087,8783.527369332394,8663.11826987123,8544.359804841299,8427.229346369399,8311.704576779484,8197.763484340287
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,B,727.90332782344,935.8757072015658,1143.8480865796914,1351.820465957817,1559.7928453359427,1767.7652247140684,1975.737604092194,2183.70998347032,2391.682362848446,2599.6547422265717,2807.6271216046975,3032.6797580491116,3257.7323944935256,3482.7850309379396,3707.8376673823536,3932.8903038267676,4157.942940271181,4382.995576715595,4608.048213160009,4833.100849604423,5058.153486048837,5278.212964421042,5498.272442793246,5718.331921165451,5938.391399537655,6158.45087790986,6378.510356282064,6598.569834654269,6818.629313026473,7038.6887913986775,7258.748269770882
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,C,39068.47942324342,39015.92221094549,38954.776946788035,38885.14913994675,38807.14184677107,38720.85538846182,39996.81518414332,41277.341170342865,42562.89317882853,43853.943750286155,45156.44906305207,46558.79909464297,47974.932789190905,49405.66992173282,50851.85653987517,52314.36761808467,53792.41499219361,55287.55884308462,56799.34414875242,58252.01959484952,59808.70666381646,61362.13879602187,62915.39986527278,64467.704773942416,66018.17697764533,67565.9311116316,66922.85948535844,66261.57177768748,65582.1228557325,64884.54994557946,64167.20549780357
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,D,20882.263476708147,20758.772856442818,20632.18497049521,20502.552791203507,20369.930218761612,20234.36931466951,20449.57955625816,20690.747585718345,20956.68600007449,21246.311663324017,21560.10126874417,21930.61611152037,22324.55272428749,22741.358234690706,23180.54023886142,23641.664070650455,24122.708747542594,24624.496944459665,25146.21682981242,25619.41627292441,26134.161957940298,26659.300301383573,27196.473117107827,27744.67481384982,28302.886749632835,28870.102910515114,28635.635043551054,28386.36520859219,28122.651916785064,27844.841598588962,27552.40292320986
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,E,19282.254332925582,18773.623670585246,18273.40426169727,17781.501031131564,17297.81842182083,16822.259438881447,17648.990140961487,18437.924488632103,19190.76965902065,19909.127236373206,20599.920025410058,21318.251874915644,22009.054620714574,22673.43232543794,23312.43798668479,23927.077138150307,24505.22590439838,25060.211539600565,25591.959141555213,26026.787945312983,26513.733476803474,26951.57579978144,27357.181859713502,27730.893033249176,28072.979881443327,28383.73648949124,27284.467270383953,26207.42478494757,25152.478220311317,24119.490610214063,23107.436129127
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,F,19819.034046386623,19638.006372795837,19450.594858164433,19256.862313445487,19056.874904358585,18850.700828677254,19520.8074091382,20185.657876306817,20844.6067280956,21497.04851804903,22147.412020805725,22843.56584382701,23535.225853091015,24221.693583911147,24902.29493946278,25576.37882370953,26231.789478185445,26878.72792122713,27515.93980222897,27970.527136832552,28474.835628972236,28948.1781986765,29404.153601052272,29841.778764182684,30260.051256027557,30658.030568631213,29952.18005499008,29237.238660662282,28513.699443217967,27782.064748028017,27042.84647521833
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,G,14242.564858240876,13899.616416375187,13560.149503646984,13224.198461939472,12891.795806655206,12562.971509988636,13331.970266082697,14054.706238138515,14733.056867873118,15368.813689699935,15969.116415323584,16577.02702753101,17149.838679326283,17688.58117331103,18194.24160513087,18667.76686225862,19091.043738009357,19484.057791831365,19847.063695345023,20038.070610289014,20257.54472370517,20422.75706241618,20558.125064573607,20664.430830108926,20742.416335364804,20792.846274127915,20016.899461611825,19255.780861057654,18509.36208957886,17777.52050901296,17060.139079422413
Owner-occupied,C1,C1,Multi-family,Heating-District heating,A,1039.8618968906285,1611.7859401804742,2183.70998347032,2755.6340267601654,3327.5580700500113,3899.4821133398573,4471.406156629703,5043.330199919549,5615.254243209395,6187.178286499241,6759.102329789087,7659.312875566742,8559.523421344398,9459.733967122054,10359.94451289971,11260.155058677366,12160.365604455023,13060.576150232679,13960.786696010335,14860.99724178799,15761.207787565647,16641.445701054465,17521.683614543283,18401.9215280321,19282.15944152092,20162.397355009736,21042.635268498554,21922.873181987372,22803.11109547619,23683.349008965008,24563.586922453826
Owner-occupied,C1,C1,Multi-family,Heating-District heating,B,2049.268348205035,2659.0738821538953,3276.680630036934,3902.103957259436,4535.358570618978,5176.459693439047,5825.4228554432375,6481.948486579254,7145.948874190826,7817.339441730834,8496.090859169406,9080.468140532805,9671.00351150413,10267.649776866558,10870.360435774006,11479.08905348937,12093.788635988572,12714.691540493748,13341.840273628659,13987.449028511104,14641.601566693535,15309.419941052787,15984.435355924488,16666.673630770623,17356.16980501804,18052.966609506508,18895.31936771052,19748.822830336117,20613.59657434136,21489.765898890495,22377.462186119144
Owner-occupied,C1,C1,Multi-family,Heating-District heating,C,5855.884088734043,6566.406591885253,7273.868796238423,7978.325274593186,8679.828477242303,9378.430295981207,10074.181514385813,10769.533612354215,11464.441028322515,12158.860294766368,12852.692897893212,13436.62363606933,14019.989609209473,14602.774513085433,15184.963306476153,15766.542005473635,16347.497497109076,16927.90024465617,17507.74679045673,18098.15405655447,18688.10108878424,19284.32690888156,19879.964672127924,20474.9710268829,21069.305647030847,21662.93067253048,22272.78673284224,22878.738427409327,23480.79869156054,24078.980570622076,24673.297232424116
Owner-occupied,C1,C1,Multi-family,Heating-District heating,D,10530.584380502669,10962.306401260419,11400.670942182614,11845.343604274763,12295.99247877879,12752.288544706398,13213.905193569339,13681.375492282854,14154.419281338942,14632.750741433463,15116.180076230534,15536.841857009964,15960.766796403763,16387.680780998035,16817.306602801156,17249.36466059876,17683.573632803844,18119.659310601888,18557.325666148707,18979.041918509763,19401.668991118186,19829.316092883564,20257.552042859883,20686.117604024075,21114.753733424197,21543.201989322242,21963.401763763664,22380.657855632857,22794.694606650093,23205.230686196388,23611.978782770355
Owner-occupied,C1,C1,Multi-family,Heating-District heating,E,10704.23612804177,10893.416243776093,11068.197109734741,11228.785416232211,11375.382041680987,11508.182463599624,11627.376445536182,11738.862886886707,11842.258749242432,11937.247891345894,12023.425749387783,12040.661157595694,12050.333005717202,12052.349607010441,12046.649686442128,12033.198949102842,12011.98805134204,11982.750874791718,11945.485319542093,11902.099150745245,11849.859082456733,11793.013822522182,11728.19531073739,11655.563497101422,11575.282374548195,11487.533194232425,11355.517705682492,11216.7130210245,11071.206075622666,10919.081175427149,10760.4199251095
