,2020,2025,2030,2035,2040,2045,2050
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ccgt,0.0,0.0,0.0,0.0,0.3390398986678995,0.2752587591788923,0.5844504329215623
central_gas_boiler,0.01780276707616387,0.00805367410551184,0.0015018595842278657,0.006906463008021181,0.002461347488727548,0.004150571857337722,0.0038402563546909344
central_wood_boiler,0.0,0.0,0.07381394580300345,0.0,0.048997681117418326,0.02569731734708639,0.025165374241504314
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,0.0,0.0399158704105231,0.12943504713298776,0.03877437606086128,0.14576122138319342,0.054829508011727965,0.12449759187587904
geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0006320616610506256
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.06314626742794349
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanation,0.0,0.0,0.0011077954949982483,0.0897052776857572,0.026032454473524595,0.02367049529498512,0.02609736781404602
methane,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanization,0.0,0.0,0.058466792830164246,0.02077109745282153,0.020771097452821494,0.020771097452821508,0.02077109745282142
natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,0.0,0.0,0.0,0.0,1.7435797780106492,0.8768527214300947,0.7845524349637689
ocgt,0.03794425793257983,0.0,0.0,0.39224796929591593,0.18198997581472495,0.20860222309959564,0.0
offshore_f,0.0,0.0,0.0,0.2947313562492165,0.25406900674892935,0.948861384061375,2.6637295943625796
offshore_g,0.0,0.0,0.0,0.6011734722830773,0.3846217376434741,0.3684611604315635,0.3523005832196528
onshore,0.0,0.0,0.7669475968522971,0.7741043255525026,0.7457216624684191,0.7331885252840767,0.7206553880997335
phs,0.0,0.0,0.0,0.0682792657422843,0.0227597552474281,0.0227597552474281,0.02275975524742806
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,0.026971727982839987
pv_g,0.0,0.262603630290124,0.3020890770674424,0.6350240097431943,0.2996874539263357,0.2520587111109653,1.076251453169046
pyrogazification,0.0,0.0,0.0,0.050239265133764234,0.14936287255100703,0.0998010688423856,0.09980106884238564
river,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
investment_heater,0.5689843980068872,2.841938373319357,2.769850025912997,2.7642645406476674,2.8286497626069025,2.8387166412918643,2.7480908662925043
investment_insulation,0.12514632502799752,0.6348442820422471,0.6299116509759374,0.6168267661801465,0.5881658733586085,0.5736981795700833,0.5404350932642326
