,Switch Electricity-Heat pump water (Thousand households),Switch Electricity-Heat pump air (Thousand households),Switch Electricity-Performance boiler (Thousand households),Switch Natural gas-Performance boiler (Thousand households),Switch Oil fuel-Performance boiler (Thousand households),Switch Wood fuel-Performance boiler (Thousand households)
2019,115.19176588833002,,434.4467380901019,565.8655589235117,,127.89321317358657
2020,117.8903921501294,,437.6879244566284,548.0437348029305,,134.01157496628952
2021,120.52155171937744,,439.8715693519901,529.5826182132822,,139.81727967333725
2022,123.32292417302216,,442.07462872411617,511.0169870464282,,145.48950749278075
2023,126.43865342055948,,444.621952320989,491.69119091517814,,151.22117836965367
2024,129.5268602629202,,446.65078663718737,473.75147249001543,,156.0770793588647
2025,132.59164878574165,,471.9595535412304,443.1384409127182,,150.32040313170697
2026,135.90921736897076,,479.6349455495892,423.112298420871,,151.33645887761134
2027,139.05052004927583,,486.72549552876774,405.03543234041206,,151.14837409739576
2028,142.15664188709627,,493.57916553743854,388.0913912571979,,150.09029269587057
2029,145.8844318794245,,504.14836560987345,373.36985175445494,,149.4931686057978
2030,150.59960876993765,,513.6640610406878,369.67472063691133,,150.6855353786502
2031,155.79185789362907,,526.4367078733545,351.53546601533725,,149.75772109586478
2032,160.813404095252,,538.4547692374196,335.08770770011097,,147.9720319719588
2033,165.62049179745895,,549.7174063483335,320.0575504550665,,145.63298032685674
2034,170.17741366838993,,560.1492047169802,306.49341524942764,,142.78974494939632
2035,175.63314962697794,,556.752999254453,298.8322028897442,,146.8401877780194
2036,179.77713849617717,,565.8129429721337,287.4819002404536,,143.3075907511208
2037,183.58758628018958,,574.16735792208,277.1630992894154,,139.65563400929042
2038,232.7015231456623,,429.2805640809338,240.39286351141806,,198.30891075767383
2039,214.89660326358964,,479.6464769264941,233.40539337534892,,161.31202345793588
2040,219.76919813869247,,464.893599381015,224.91276425498626,,171.29795152941082
2041,221.58902027507744,,464.93416093646954,211.94751277612272,,172.93246312108772
2042,223.25296802723943,,464.4780631568973,199.6750966956354,,174.5796370605935
2043,224.94131741769158,,463.84470649187136,187.43795431519823,,176.3719863578746
2044,226.46946813396457,,462.83405809870607,176.5402338146528,,177.5386361689875
2045,229.1973848684642,,464.78930026234696,164.22059619005177,,174.51756874161563
2046,230.6495716534846,,467.36057125586933,153.0601420949129,,172.29544016996067
2047,232.03045469660697,,469.8601745258175,143.16609160500815,,169.18595226351226
2048,233.44452913608515,,472.418878379439,134.01060191436108,,165.45023423442825
2049,235.93984382423403,,478.122257228651,126.15532156606848,,162.538032486323
