,2020,2025,2030,2035,2040,2045,2050
offshore_f,0.0,0.0,0.0,0.0,0.0,0.0,1.2915833977736049
offshore_g,0.0,0.0,0.0,0.3467914078111126,0.5457,0.7143999999999999,0.8077
onshore,0.355875,0.435,0.866666175549534,1.3825,1.69975,1.956,2.1285
pv_g,0.06951,0.163981936527794,0.25189500000000004,0.3464113896617328,0.3161602879899871,0.48185412884791073,0.600204473084639
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0
river,0.143451,0.143451,0.143451,0.143451,0.143451,0.143451,0.143451
lake,0.132,0.132,0.132,0.132,0.132,0.132,0.132
methanization,0.0,0.0,1.0302603036876319,1.3962738326290371,1.762287361570704,2.1283008905123078,2.494314419454547
ocgt,0.1434127808833998,0.1434127808833998,0.1034127808833998,0.30263237179102087,0.3914537010981536,0.5061846360012706,0.7251439164172325
ccgt,0.26,0.26,0.22,0.18,0.4303177944103794,0.6788065084793813,1.028660977535124
nuclear,8.41303957675826,8.413017763375894,8.139406213846755,7.140765348304492,6.732037689031516,6.075870890707945,3.713259950589955
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.03776729607815533
phs,0.078,0.078,0.078,0.1005,0.108,0.1155,0.12299999999999998
battery1,0.0,0.0,0.0,0.003496784648592768,0.005705353848369624,0.00632310841120603,0.01080880466890887
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanation,0.0,0.0,0.0,0.08783233667509682,0.1126686925536647,0.13772296681757334,0.16261475120713983
pyrogazification,0.0,0.0,0.0,0.05953716975544964,0.5538385660463396,0.8307052403241817,1.1076771320926793
electrolysis,0.0,0.006575342465753429,0.02794553364694964,0.03720662540356008,0.05793519690259646,0.09361651425048295,0.11372325273953061
natural_gas,2.176195271117392,3.030194462262104,2.2198400644894165,1.9432439504540633,1.5500786326566314,0.9564893378263706,0.5681778558704051
coal,0.045486624202916645,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen,0.0,0.0,0.006430018168823406,0.021719729009920783,0.025714094787948335,0.03613890395908059,0.06984244287067613
methane,0.0,0.0,0.019639557012944096,0.03663548835594345,0.057610043317185326,0.07762851627630327,0.1004738133900752
geothermal,8.450891093897227e-05,6.950954777416605e-05,0.1299399999999994,0.14016,0.15037999999999985,0.16059999999999994,0.17228000000000002
central_gas_boiler,0.011764846237463917,0.015850302296159722,0.017552319117937174,0.021053096763663185,0.021348218522826024,0.02343348489981005,0.025356625205195417
central_wood_boiler,0.0017308999999999998,0.0017308999999999998,0.004048987002788508,0.004048987002788508,0.0072114926382625105,0.00836103129551973,0.009487396606775566
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil,0.8460241583299113,1.3288191639559743,0.7517876614580076,0.25415840026476855,0.0,0.0,0.0
wood,4.035958368278703,4.58132123875595,5.913500413723529,6.858932161730127,8.082840064933071,8.877344068840252,9.587778688631264
health_costs,6.13055071220407,5.904062774566806,5.8931719164350636,6.062635766155962,6.156360169557535,5.9243929003736495,5.524113855187146
