,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
Stock (Million),28.33536010601379,28.61814682477888,28.900085183403576,29.18117772707653,29.46142699316439,29.740835511594984,30.01940580448038,30.297140386554652,30.5740417649544,30.85011243926243,31.125354901573175,31.567950436509587,32.00921818485036,32.44916212996476,32.887786243243895,33.325094484195205,33.76109080043499,34.19577912773621,34.629163390056846,35.06124749959992,35.49203535683672,35.90963945050694,36.32599073189191,36.74109295942852,37.154949880283496,37.56756523038699,37.97894273442489,38.38908610596235,38.797999047370816,39.20568524995863,39.61214839392048
Stock existing (Million),27.599774506013787,27.51476842477888,27.428913983403575,27.342213727076526,27.254670193164394,27.166285911594983,27.077063404480384,26.98700518655465,26.896113764954404,26.804391639262423,26.71184130157318,26.61846523650958,26.523761384850363,26.42773372996476,26.330386243243897,26.231722884195204,26.131747600434984,26.030464327736215,25.927876990056845,25.823989499599918,25.718805756836716,25.61232965050694,25.50460073189192,25.395622759428516,25.2853994802835,25.17393463038698,25.06123193442489,24.947295105962358,24.83212784737081,24.715733849958628,24.598116793920482
Stock new (Million),0.7355856000000001,1.1033784000000002,1.4711712000000001,1.8389640000000005,2.2067568,2.5745496000000005,2.9423424000000002,3.3101352000000004,3.677928,4.045720800000001,4.4135136,4.9494852,5.485456800000001,6.0214284,6.5574,7.093371600000001,7.6293432,8.165314799999999,8.7012864,9.237258,9.773229599999999,10.2973098,10.82139,11.3454702,11.8695504,12.3936306,12.9177108,13.441791,13.965871199999999,14.489951399999999,15.0140316
Surface (Million m2),2420.462333685543,2447.4746885165905,2474.42490556541,2501.311505500774,2528.1353589220516,2554.8945821186403,2581.6059349345473,2608.25680227903,2634.852721239234,2661.395271590491,2687.867648832065,2730.0635914712793,2772.1512275391096,2814.133283744352,2856.01252225166,2897.791748680074,2939.421745009932,2980.9066208069703,3022.249370664959,3063.4533411543343,3104.5018587365394,3144.279284075848,3183.9086960482064,3223.3917391856944,3262.7299326628913,3301.924628927519,3340.9769875766474,3379.8899887329917,3418.6652711360857,3457.3045323790698,3495.8095473663197
Surface existing (Million m2),2351.393446668429,2343.871357990919,2336.287131531183,2328.6392879579894,2320.9286978707096,2313.1534775587415,2305.3303868660923,2297.446810702019,2289.508286153664,2281.5163929963655,2273.454326729381,2265.3244311727667,2257.086229044769,2248.742447054182,2240.2958473656618,2231.749235598245,2223.0533937322743,2214.212431333484,2205.229342995644,2196.107475289191,2186.830154675567,2177.398302234416,2167.8184364263134,2158.092201783342,2148.221117480078,2138.2065359642456,2128.049616832914,2117.7533402087997,2107.3193448314328,2096.7493282939563,2086.0450655007457
Surface new (Million m2),69.06888701711385,103.60333052567076,138.13777403422768,172.6722175427846,207.20666105134154,241.74110455989845,276.27554806845535,310.8099915770122,345.3444350855692,379.8788785941261,414.4133221026831,464.739160298512,515.0649984943408,565.3908366901699,615.7166748859987,666.0425130818277,716.3683512776565,766.6941894734855,817.0200276693143,867.3458658651433,917.6717040609722,966.8809818414323,1016.0902596218924,1065.2995374023524,1114.5088151828127,1163.7180929632727,1212.927370743733,1262.136648524193,1311.3459263046532,1360.5552040851132,1409.7644818655733
Surface Electricity-Heat pump water (Million m2),160.03228659009685,195.74498875398237,232.78718303108616,270.1692000578144,307.6817068511024,347.14079437852155,386.8818382858746,426.8378787533809,467.00252500169853,507.3602684463782,548.0689216574593,604.1209412063558,660.6847689517103,717.7351029014284,775.2445749221711,833.1834939488527,891.4606076662169,949.8868676588393,1008.4337356277107,1061.0618288553924,1111.1894749781777,1161.3324364457735,1211.7020166488774,1262.0076283853743,1312.3594723971091,1361.9954551972062,1411.8508840175716,1461.738821232928,1511.6535375659976,1561.5876498734776,1611.5966365451152
Surface Electricity-Performance boiler (Million m2),723.0269322803252,709.6736229890391,698.4605127542724,687.3800928686061,676.3272459175008,663.1877772201707,651.6632582829502,640.5511075662816,629.8453848131386,619.5262762672698,609.4874923751634,599.4423750295434,589.7426486640712,580.380629828704,571.348111057407,562.6364828180647,553.7409215182722,545.0675846368632,536.6035279035897,527.3347641913356,519.83980182068,512.144886663385,504.1104606954106,496.18934863131415,488.473812519772,481.46901017788673,473.6085499312432,465.7845188718706,457.98070840025133,450.18290115379835,442.3571513672816
Surface Heating-District heating (Million m2),80.25965256756275,86.47106652498448,92.67215075174728,98.86279872510926,105.04265272943202,111.21166536965973,117.3672894273484,123.50775961405236,129.63217207922378,135.74008637879345,141.82779684448693,147.98388038993724,154.1174693878586,160.22747925577565,166.31273677898844,172.371972104019,178.41306225394246,184.4343485476835,190.43463610025964,196.41806392110746,202.38965604059533,208.34068008765144,214.27138897605107,220.1840581655217,226.07969547585512,231.96039385149604,237.8209189544112,243.66323796991244,249.48747202926882,255.29391368722756,261.0830824619469
Surface Natural gas-Performance boiler (Million m2),984.5493442486227,978.535480006394,971.4806257425818,963.3527667224224,955.0785081805586,944.9183590632196,934.0595723147891,923.0370613635481,911.8551718572998,900.5146330135633,889.0067246906456,876.1161742461779,862.5590911873893,848.3715601684386,833.5895364317919,818.2484978776447,802.643538160851,786.9559182612645,771.1819793783174,751.5020544082171,733.9441522211448,715.2722731710991,696.7789369931153,678.429955298459,659.9639921427016,641.9419922812058,624.3414751543855,606.7820250475173,589.2748624837074,571.8310195088146,554.394853545292
Surface Oil fuel-Performance boiler (Million m2),308.18097994002255,289.4799594707933,271.01432799506773,252.78230568233457,234.7803654277785,217.0032908126432,199.45094683094882,182.11681562753677,164.99802104833842,148.0893066181122,131.22192202534305,114.41200565756083,97.67196442595328,81.0226596314512,64.48679778875065,48.088945278532286,31.85019227627405,15.80705934897734,,,,,,,,,,,,,
Surface Wood fuel-Performance boiler (Million m2),164.41313805891295,187.56957077139677,208.01010529065553,228.76434144448694,249.22487981567866,271.4326952744255,292.1830297926365,312.20617935423076,331.51944643953436,350.1647008663746,368.25479123896616,387.9882149417037,407.3752849221268,426.39585195855375,445.0307652725513,463.2623566529596,481.31342313437494,498.7548423533415,515.5954916550812,527.1366297782813,537.1387736759411,547.1890077079393,557.0458927347515,566.5807487050251,575.8529601274531,584.5577774197241,593.355159519035,601.921385610764,610.2686906568607,618.4090481557517,626.3778234466832
Prices Electricity (euro/kWh),0.1743338984,0.17676212842125,0.1779804496312869,0.1807244061941593,0.18276467142978042,0.1846755174740825,0.17741856096106565,0.17741856096106565,0.17741856096106565,0.17741856096106565,0.17741856096106565,0.1791682494893171,0.1791682494893171,0.17916824948931706,0.1791682494893171,0.1791682494893171,0.1821949557466245,0.18219495574662448,0.18219495574662448,0.18219495574662448,0.1821949557466245,0.18915794258724747,0.18915794258724752,0.1891579425872475,0.1891579425872475,0.18915794258724747,0.1957833837228837,0.1957833837228837,0.1957833837228837,0.1957833837228837,0.1957833837228837
Prices Heating (euro/kWh),0.07554741999999999,0.076506872234,0.07747850951137178,0.07846248658216619,0.07945896016175971,0.08046808895581405,0.08149003368555288,0.0825249571133594,0.08357302406869906,0.08463440147437153,0.08570925837309605,0.08679776595443436,0.08790009758205566,0.08901642882134778,0.09014693746737887,0.09129180357321458,0.0924512094785944,0.09362533983897255,0.09481438165492749,0.09601852430194506,0.09723795956057975,0.09847288164699912,0.099723487243916,0.10098997553191373,0.10227254822116903,0.10357140958357787,0.1048867664852893,0.10621882841965247,0.10756780754058205,0.10893391869634743,0.11031737946379103
Prices Natural gas (euro/kWh),0.0918150406,0.09290306447807999,0.09316641783489202,0.0965204787098149,0.09732851321086097,0.09798799615066928,0.09812416484933727,0.09803763997071727,0.09795198034101728,0.09786717730783727,0.09778322230351726,0.10116639212902878,0.10224309878398878,0.10329734883066878,0.10432948374206878,0.10533984038650879,0.11324198852670071,0.11320233639988071,0.1131620386109007,0.1131211120258407,0.1130795732750207,0.12362116169618345,0.12496599699508344,0.12628251734658347,0.12757115455248344,0.12883233462038346,0.12859464331230938,0.12933089789450938,0.13005036460870936,0.13075330558410936,0.13143997937210938
Prices Oil fuel (euro/kWh),0.10588271939999999,0.10756056866120002,0.10851988578441879,0.11258446862406923,0.11411791200326563,0.11551802543092214,0.1169423608208771,0.11839133721307829,0.11986538089686455,0.1213649255363803,0.1228904122981597,0.12590568998091786,0.12921881514758773,0.13255925225964105,0.13592747381373282,0.1393239604807104,0.14274920124702672,0.1446318935586003,0.14654434346716408,0.148487065779146,0.15046058420712527,0.15246543152390854,0.15677854971927216,0.1611240901594156,0.1655026137491735,0.16991469109703422,0.1743609026830129,0.17802883902942904,0.1817321008746382,0.18547129934976941,0.18924705615852044
Prices Wood fuel (euro/kWh),0.06238232,0.063174575464,0.06397689257239278,0.06478939910806217,0.06561222447673457,0.06644549972758908,0.06728935757412946,0.06814393241532091,0.06900936035699547,0.06988577923352932,0.07077332862979514,0.07167214990339352,0.07258238620716662,0.07350418251199763,0.07443768562989997,0.07538304423739971,0.07634040889921469,0.0773099320922347,0.07829176822980609,0.0792860736863246,0.08029300682214092,0.08131272800878211,0.08234539965449364,0.0833911862301057,0.08445025429522805,0.08552277252477743,0.0866089117358421,0.08770884491488729,0.08882274724530635,0.08995079613532174,0.0910931712462403
Consumption standard (TWh),337.0362140477301,332.63618293358337,327.71797166644825,322.8522409664178,318.5533939987985,311.70187655538825,304.491074546241,297.26493257051845,290.41516776302984,283.2402668119271,276.4440440367123,270.1306772798099,264.08199404144244,258.27488720652553,252.68835420137748,246.6752959060091,240.8812544450869,235.37063641080138,230.11340916546678,225.54300918242083,221.3186395395382,217.17499419399138,213.18990504651288,209.35207067817203,205.6452240440807,202.1037887613586,198.69150951671676,195.3897846794973,192.1920464022039,189.09279314355766,186.08207057691098
Consumption standard (kWh/m2),139.24456057720934,135.90995833145612,132.4420761080095,129.0731843100771,126.00329838930128,122.00185429839152,117.9463799745103,113.97073030185359,110.22064551161732,106.42547908438203,102.84883043137674,98.94666121466854,95.26247753657832,91.77777353277214,88.47592656987364,85.1252668582441,81.94851754567566,78.9594128067935,76.13978230884268,73.62377815665845,71.28958190722739,69.06988043138237,66.95854856363162,64.94775926026892,63.02857677106068,61.20787464097959,59.47107994324623,57.80951017069713,56.21844525841366,54.69370469758344,53.230036721280165
Consumption (TWh),293.3453682042816,290.9861520453477,288.70530479756997,285.00100591981357,282.7895495440472,279.00182573743245,275.8373195414564,272.05725958149196,268.44651680483355,264.52181356905294,260.781405139657,256.37243065147027,252.87223190262569,249.5135097211348,246.2821934346757,242.68062190648723,237.60154945982674,234.56844556661036,231.66507964391295,229.128130737954,226.81102159075428,222.3271152253815,219.97285513700848,217.7130561299661,215.5346316681597,213.4650685702881,211.09395249994708,209.22342160324035,207.41230180095863,205.65761695476684,203.95281458200915
Consumption (kWh/m2),121.19394056325434,118.89240506168986,116.67571893098139,113.94062886331906,111.8569654690575,109.20287188760283,106.84718213914776,104.30616315992162,101.88293054898976,99.39215583372199,97.02166892516901,93.90712782382724,91.21877240698194,88.66442508691131,86.232882914851,83.74674336657449,80.83275217759675,78.69030312097117,76.65319807575696,74.7940657883879,73.05874884644493,70.70845021666923,69.08893317513586,67.54160640275315,66.05959920570263,64.64867995476402,63.18330035941448,61.902435375321566,60.670549864050216,59.484958593811804,58.3420840919848
Consumption existing (TWh),290.80120364845624,287.5379951366233,284.3469898153343,279.75073081237156,276.63336259550624,271.9380047191106,267.8201824684483,263.11100078982196,258.56769657800726,253.70697720514227,249.027082890349,243.3970039185339,238.64239420973013,234.02500783769716,229.53074615342945,224.66192033832286,218.4020914813617,214.08945587700447,209.90202473173315,206.07645641301553,202.46615291150505,196.94881877432786,193.37291549399038,189.8870173893264,186.47803016542812,183.17343215464334,179.69515931568657,176.58400813845836,173.52790309508003,170.52385244140368,167.56528787062229
Consumption new (TWh),2.5441645558253754,3.4481569087243997,4.35831498223564,5.2502751074420075,6.156186948540949,7.063821018321846,8.017137073008087,8.946258791670004,9.878820226826292,10.814836363910672,11.754322249308018,12.97542673293637,14.229837692895558,15.488501883437635,16.751447281246243,18.018701568164374,19.199457978465034,20.478989689605896,21.763054912179797,23.05167432493846,24.34486867924923,25.378296451053643,26.599939643018104,27.826038740639717,29.05660150273158,30.291636415644774,31.398793184260512,32.639413464781995,33.884398705878596,35.13376451336316,36.38752671138687
Consumption existing (kWh/m2),123.67186106624472,122.67652580689852,121.70892266524436,120.13484967767947,119.19080618430807,117.56159172201095,116.17431670283403,114.52321749700248,112.93590774130662,111.20103190314724,109.53687521341253,107.44465585996721,105.73029560803577,104.06928020781852,102.45555131628353,100.6662920523415,98.24419516738975,96.68876068411899,95.18376190595963,93.83714537280498,92.58430632055301,90.45144316141962,89.20161958432692,87.9883710401312,86.80578951954999,85.66685634605426,84.44124511679348,83.38270788469069,82.34532821078467,81.32772484546464,80.3267823125379
Consumption new (kWh/m2),36.83517522433775,33.28229788780794,31.55049379292691,30.406021201071894,29.71037184473318,29.22060371645062,29.018626979690602,28.783691110693614,28.605702664293766,28.469169973162852,28.363765406160226,27.919805003309758,27.627265946031677,27.394327743456557,27.20642133713174,27.053380548924,26.80109743014531,26.71076678391094,26.63711313694786,26.577257391946322,26.528952098572827,26.24759089037048,26.178717285329036,26.120389396292506,26.071217299403266,26.030046794675716,25.886787569982577,25.860443481256183,25.839405168523427,25.823108395655563,25.811067862366933
Heating intensity (%),0.8502919139948268,0.8593956159377757,0.8699634573277116,0.8763843248552158,0.8854656758362657,0.8959878284102674,0.9118387643376019,0.9240488876740828,0.9359219966541055,0.9481245214235204,0.9599698808581407,0.9698580537432776,0.9822539217427646,0.994358120097715,1.006194021801507,1.0184405145836675,1.0240196057769,1.036300698188505,1.0482157171562445,1.0591531648730577,1.0695750137481954,1.0690312722213677,1.0783673794470805,1.08752564138067,1.0965216966315414,1.1053037337382476,1.108891859661378,1.1174865462961052,1.1259469900811956,1.1342820251227963,1.1425046965142382
Energy poverty (Million),3.4956188875179466,3.4146007529085995,3.3176255935702317,3.229699757693071,3.1435189802419337,3.021809296539793,2.7738606162001416,2.5602554684637617,2.4172652374541315,2.2145329331076984,2.062316667148714,1.962802098633509,1.814452981066677,1.6827065769594165,1.5391664455254954,1.4120036834641905,1.3815881677076638,1.2621627869468266,1.1294705543114354,1.0072820986987396,0.9338662778803531,0.9146142835061816,0.8332933688787028,0.7696984972811493,0.7058786488766374,0.6473940195785008,0.5932065868688938,0.5394546892929731,0.4916534199410394,0.44347557149425765,0.3959036761183827
Consumption Electricity (TWh),39.893325397392324,39.81745393074288,39.9609646003876,40.058106602741006,40.239696476598574,40.276367800142125,40.807454774744436,40.995851520389,41.25451030610529,41.46002863441966,41.74104826518911,42.23230553049987,42.90112582985832,43.64131576314623,44.4469867539937,45.272856273298444,45.93798453246212,46.82762353717673,47.75231877458002,48.43232590854501,49.104048825655454,49.31856603398578,49.99250292864498,50.683999891158415,51.40072217342896,52.13096231278526,52.39779238723969,53.11451343205879,53.84299797371106,54.58132924229697,55.32935312642203
Consumption Heating (TWh),12.017103324787247,12.627290987068765,13.213479732165682,13.79246802096976,14.367600964378822,14.907463705774758,15.43788692579355,15.956506588053927,16.463500949959382,16.959112787758258,17.44055777066798,17.84747802523199,18.242423106286473,18.62551266716166,18.99681710332159,19.27932222149178,19.558660539307436,19.83418031058265,20.105468891974866,20.374357582576767,20.641654246216916,20.908449200730644,21.169488790532647,21.42578473035827,21.67771811727482,21.92608011285459,22.16852135456662,22.406031028176482,22.638600891555267,22.866274976845798,23.089151590287873
Consumption Natural gas (TWh),129.97314125469018,128.0382977462554,126.23837202160325,123.27353525279763,121.24011916665161,118.3953755904089,115.66264520991531,112.98212255158543,110.34681927471888,107.63313881763948,104.97503433497782,101.42065796027734,98.44710040335015,95.47013247174995,92.49476399948794,89.2686377163797,84.77081804306287,81.94024582813418,79.19782783678372,76.16803227115797,73.48215512609222,69.27377943461661,66.55857616398892,63.9407729587056,61.38710526449419,58.9554442265127,56.7953701097279,54.58392367680129,52.42939069813165,50.329196992867416,48.27376859731819
Consumption Oil fuel (TWh),37.191452155726935,34.49386907100084,31.89435810987695,29.176647568403766,26.794708990915147,24.183604217264534,21.647872121893244,19.230353790714442,16.96775867739256,14.825028247867534,12.80152669690433,10.853680737632082,9.012117936255054,7.27701688421912,5.642189324564541,4.096439207784497,2.6436563174969363,1.2830838350672984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumption Wood fuel (TWh),74.27034607168494,76.00924031027978,77.39813033353653,78.7002484749014,80.147423945503,81.23901442384218,82.28146050910983,82.89242513074913,83.41392759665744,83.64450508136807,83.82323807191779,84.01830839782895,84.26946462687569,84.49953193485786,84.70143625330795,84.7633664875328,84.69043002749738,84.68331205564951,84.60946414057435,84.15341497567427,83.58316339278969,82.82632055604847,82.25228725384191,81.6624985497438,81.06908611296173,80.45258191813556,79.73226864841284,79.11895346620379,78.50131223756064,77.88081574275665,77.26054126798107
Consumption Electricity-Heat pump water (TWh),5.946135822553699,6.817098446306101,7.740780785144604,8.662366584927748,9.596143303571159,10.600360028751416,11.760561901601047,12.822327273051577,13.893203418662129,14.972815966903163,16.06672180322412,17.384847528206873,18.765853851010885,20.170360326113567,21.59729814003582,23.045027742055073,24.406692554137507,25.86889035244291,27.336754177574317,28.58215284205727,29.73440909672847,30.605870680325094,31.75847325500755,32.91157112909632,34.070649074575215,35.20752026763414,36.048157447541215,37.18772865608877,38.33143036541668,39.47891025979055,40.63217002548692
Consumption Electricity-Performance boiler (TWh),33.947189574838625,33.00035548443678,32.22018381524299,31.395740017813257,30.643553173027414,29.67600777139071,29.046892873143392,28.173524247337426,27.36130688744316,26.48721266751649,25.674326461964988,24.847458002293,24.13527197884744,23.470955437032664,22.849688613957873,22.22782853124337,21.53129197832461,20.958733184733813,20.415564597005698,19.850173066487738,19.369639728926984,18.712695353660685,18.23402967363743,17.772428762062088,17.330073098853745,16.923442045151116,16.34963493969848,15.92678477597002,15.511567608294378,15.102418982506418,14.697183100935108
Consumption Heating-District heating (TWh),12.017103324787247,12.627290987068765,13.213479732165682,13.79246802096976,14.367600964378822,14.907463705774758,15.43788692579355,15.956506588053927,16.463500949959382,16.959112787758258,17.44055777066798,17.84747802523199,18.242423106286473,18.62551266716166,18.99681710332159,19.27932222149178,19.558660539307436,19.83418031058265,20.105468891974866,20.374357582576767,20.641654246216916,20.908449200730644,21.169488790532647,21.42578473035827,21.67771811727482,21.92608011285459,22.16852135456662,22.406031028176482,22.638600891555267,22.866274976845798,23.089151590287873
Consumption Natural gas-Performance boiler (TWh),129.97314125469018,128.0382977462554,126.23837202160325,123.27353525279763,121.24011916665161,118.3953755904089,115.66264520991531,112.98212255158543,110.34681927471888,107.63313881763948,104.97503433497782,101.42065796027734,98.44710040335015,95.47013247174995,92.49476399948794,89.2686377163797,84.77081804306287,81.94024582813418,79.19782783678372,76.16803227115797,73.48215512609222,69.27377943461661,66.55857616398892,63.9407729587056,61.38710526449419,58.9554442265127,56.7953701097279,54.58392367680129,52.42939069813165,50.329196992867416,48.27376859731819
Consumption Oil fuel-Performance boiler (TWh),37.191452155726935,34.49386907100084,31.89435810987695,29.176647568403766,26.794708990915147,24.183604217264534,21.647872121893244,19.230353790714442,16.96775867739256,14.825028247867534,12.80152669690433,10.853680737632082,9.012117936255054,7.27701688421912,5.642189324564541,4.096439207784497,2.6436563174969363,1.2830838350672984,,,,,,,,,,,,,
Consumption Wood fuel-Performance boiler (TWh),74.27034607168494,76.00924031027978,77.39813033353653,78.7002484749014,80.147423945503,81.23901442384218,82.28146050910983,82.89242513074913,83.41392759665744,83.64450508136807,83.82323807191779,84.01830839782895,84.26946462687569,84.49953193485786,84.70143625330795,84.7633664875328,84.69043002749738,84.68331205564951,84.60946414057435,84.15341497567427,83.58316339278969,82.82632055604847,82.25228725384191,81.6624985497438,81.06908611296173,80.45258191813556,79.73226864841284,79.11895346620379,78.50131223756064,77.88081574275665,77.26054126798107
Consumption Heat pump (TWh),5.946135822553699,6.817098446306101,7.740780785144604,8.662366584927748,9.596143303571159,10.600360028751416,11.760561901601047,12.822327273051577,13.893203418662129,14.972815966903163,16.06672180322412,17.384847528206873,18.765853851010885,20.170360326113567,21.59729814003582,23.045027742055073,24.406692554137507,25.86889035244291,27.336754177574317,28.58215284205727,29.73440909672847,30.605870680325094,31.75847325500755,32.91157112909632,34.070649074575215,35.20752026763414,36.048157447541215,37.18772865608877,38.33143036541668,39.47891025979055,40.63217002548692
Consumption Direct electric (TWh),33.947189574838625,33.00035548443678,32.22018381524299,31.395740017813257,30.643553173027414,29.67600777139071,29.046892873143392,28.173524247337426,27.36130688744316,26.48721266751649,25.674326461964988,24.847458002293,24.13527197884744,23.470955437032664,22.849688613957873,22.22782853124337,21.53129197832461,20.958733184733813,20.415564597005698,19.850173066487738,19.369639728926984,18.712695353660685,18.23402967363743,17.772428762062088,17.330073098853745,16.923442045151116,16.34963493969848,15.92678477597002,15.511567608294378,15.102418982506418,14.697183100935108
Consumption District heating (TWh),12.017103324787247,12.627290987068765,13.213479732165682,13.79246802096976,14.367600964378822,14.907463705774758,15.43788692579355,15.956506588053927,16.463500949959382,16.959112787758258,17.44055777066798,17.84747802523199,18.242423106286473,18.62551266716166,18.99681710332159,19.27932222149178,19.558660539307436,19.83418031058265,20.105468891974866,20.374357582576767,20.641654246216916,20.908449200730644,21.169488790532647,21.42578473035827,21.67771811727482,21.92608011285459,22.16852135456662,22.406031028176482,22.638600891555267,22.866274976845798,23.089151590287873
Consumption New (TWh),2.544164555825368,3.4481569087243527,4.3583149822356715,5.250275107442003,6.156186948540879,7.0638210183219305,8.017137073008072,8.94625879166995,9.878820226826345,10.814836363910736,11.754322249308037,12.975426732936326,14.229837692895568,15.488501883437644,16.75144728124626,18.018701568164396,19.199457978465066,20.47898968960592,21.763054912179836,23.05167432493849,24.344868679249206,25.378296451053657,26.599939643018107,27.8260387406397,29.056601502731578,30.29163641564476,31.398793184260498,32.639413464782,33.88439870587853,35.133764513363154,36.38752671138685
