,2020,2025,2030,2035,2040,2045,2050
river,9.66,9.66,9.66,9.66,9.66,9.66,9.66
lake,8.8,8.8,8.8,8.8,8.8,8.8,8.8
phs,5.2,5.2,5.2,6.7,7.2,7.7,8.2
offshore_f,0.0,0.0,0.0,1.8996496791260173,1.8996496791260173,8.810269988318224,30.1
offshore_g,0.0,0.0,1.069768698089582,5.1,8.5,11.9,15.3
onshore,9.49,11.6,23.2,32.7,42.099999999999994,51.6,60.4
onshore_V110,,,,,,,
pv_g,6.62,14.414078412477794,23.990000000000002,43.989999999999995,56.88740531708161,59.562489131356934,82.48587621436238
pv_g_ns,,,,,,,
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanization,0.0,0.0,2.1691973969631233,2.939833314305286,3.7104692316474486,4.48110514898961,5.251741066331773
ocgt,7.17063904416999,7.17063904416999,5.17063904416999,15.807111374893301,20.696136453562538,27.368692142606847,38.61380810634714
ccgt,6.5,6.5,5.5,8.781914545031645,16.693795629086825,23.247457640778876,29.65844929135779
coal,2.9,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,61.5,61.5,59.5,52.2,49.6,45.0,29.0
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,1.2326897585014782
battery1,0.0,0.0,0.0,0.311453270725753,0.311453270725753,0.311453270725753,0.6579663364337456
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,0.0,0.547945205479452,2.4379376783688875,3.1812208603352983,4.383063994142497,5.826384521114427,10.194561513752165
hydrogen,0.0,0.0,2.2831050228310503,2.6484018264840183,3.0136986301369864,3.835616438356164,6.728823657068203
methane,80.0,80.0,80.0,80.0,80.0,80.0,80.0
methanation,0.0,0.0,0.0,0.4982940701852348,1.2565083672162187,1.5670094144228455,1.8708009930231546
pyrogazification,0.0,0.0,0.0,0.0,0.13982680396096406,0.44466774146430665,2.192031053773262
natural_gas,90.36363357786175,90.36363357786175,90.36363357786175,90.36363357786175,98.17571001140456,114.09443513833426,132.0449964327699
geothermal,0.583,0.583,0.583,0.583,0.583,0.583,0.5907167833767388
central_gas_boiler,4.9143642271727375,6.280790621804469,6.280790621804469,6.978241355623566,8.261645441168715,9.508879642748795,10.611776950442694
central_wood_boiler,0.911,0.911,2.2800680865386287,2.2800680865386287,2.2800680865386287,2.2800680865386287,2.2800680865386287
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
