,Switch Electricity-Heat pump water (Thousand households),Switch Electricity-Heat pump air (Thousand households),Switch Electricity-Performance boiler (Thousand households),Switch Natural gas-Performance boiler (Thousand households),Switch Oil fuel-Performance boiler (Thousand households),Switch Wood fuel-Performance boiler (Thousand households)
2019,108.28946934156696,,415.3796846329942,610.789421940333,,108.93865237287893
2020,108.58366427524784,,412.55171040768107,607.8626714133976,,108.63297865406896
2021,108.78167517611611,,408.96810806455613,603.7228814896835,,108.31416226993507
2022,108.999937016232,,405.3597254857059,599.5488419753627,,107.98459114000897
2023,109.2210234746994,,401.7264052522867,595.3628211070655,,107.64561022036598
2024,109.45188136660369,,398.0755702618437,591.1565027569317,,107.29719030685565
2025,266.8542662694766,,727.9784374227148,,,203.14224847818522
2026,265.42614507650666,,726.4377432604474,,,198.10614244099858
2027,264.04493612650526,,724.8465385745338,,,193.05510751987174
2028,262.71087709158417,,723.2077434858433,,,187.99252120400882
2029,262.47958853820256,,726.2524768737096,,,184.14791712662142
2030,267.8156226091834,,732.6135469071937,,,184.14289546079615
2031,267.6962856481569,,735.4980909259183,,,180.20762579440705
2032,267.61014622832204,,738.2367928949257,,,176.25414696527397
2033,267.555437215601,,740.8051954233979,,,172.2873229139864
2034,267.5303727307271,,743.1780626679637,,,168.31202871271847
2035,274.0988848726777,,724.5532091372344,,,178.5437669443291
2036,274.18151967377827,,726.9881751795947,,,174.38733898275402
2037,274.23036545947144,,729.5143202901774,,,170.31496382319577
2038,313.4065020188751,,567.4521929908357,,,220.05718723835867
2039,298.4397136729924,,625.0849334055744,,,169.30621514407588
2040,304.6532962611987,,604.5291635678926,,,177.09733206833104
2041,303.3490067126126,,602.0673505715342,,,173.4002122560847
2042,302.03283257861085,,599.7397088928369,,,169.82325874061434
2043,300.69542640292326,,597.5606194565073,,,166.36180990204494
2044,299.3426760082688,,595.5312309609919,,,163.01321829562988
2045,305.43408916330026,,501.12104051231233,,,208.79872063399063
2046,303.98028633126023,,502.4223200406067,,,203.24015025945738
2047,302.5513797761599,,503.47493284054457,,,197.5395880563911
2048,301.1510240690954,,504.3116216698405,,,191.7369029888532
2049,301.11608771841316,,508.42677623187484,,,187.2230884616191
