,Switch Electricity-Heat pump water (Thousand households),Switch Electricity-Heat pump air (Thousand households),Switch Electricity-Performance boiler (Thousand households),Switch Natural gas-Performance boiler (Thousand households),Switch Oil fuel-Performance boiler (Thousand households),Switch Wood fuel-Performance boiler (Thousand households)
2019,206.88147937478047,,297.1320048996691,495.7745184367396,,243.6092255765838
2020,209.40761204640188,,293.4256144701381,492.7042496777106,,242.0796193520324
2021,227.7228607879948,,307.1380707280702,478.8681034943181,,216.0330464008164
2022,231.1467536561975,,305.424871870361,466.09666101793107,,219.1923199856136
2023,232.27740647929755,,302.59536619392344,462.42317718536674,,216.62439642760614
2024,236.72717231963983,,302.2618875106689,448.5044008333309,,218.45371250344976
2025,471.45399123539494,,436.53931048434146,,,289.95460540761576
2026,352.4286508054588,,619.7376173776292,,,217.76152457190287
2027,351.1568473135298,,619.7168555776959,,,211.06227179447478
2028,349.87135219520655,,619.5798548489191,,,204.48803948759982
2029,350.6571097617182,,623.2864312114539,,,199.06474788652807
2030,357.86895294134297,,630.070931138363,,,196.87931516545837
2031,358.46456266228523,,633.3828199290302,,,191.86454331514648
2032,358.94497097600123,,636.3897638741124,,,187.04087852510543
2033,359.3179450518913,,639.067681291584,,,182.37141280150763
2034,359.57985351157987,,641.3541646165692,,,177.8656697278452
2035,364.3398890469428,,629.881902585609,,,182.21946345692587
2036,363.62180333337244,,632.4811363421085,,,177.6609534726107
2037,362.90283320771334,,634.8741003446219,,,173.30017606701662
2038,380.74074933993,,495.77278783626156,,,221.8499596412483
2039,410.34941602242833,,408.034402593305,,,275.3830815921646
2040,415.42365574876567,,394.23824379785765,,,277.7561241351288
2041,429.55835600861343,,399.0075046216472,,,251.6865484286512
2042,427.368187583315,,393.689455258608,,,250.90068737028724
2043,426.40868288326845,,392.07396669232475,,,245.76450988322304
2044,425.100408611056,,387.39513139852744,,,243.6321252748923
2045,509.28085045958704,,252.84730604244342,,,272.84765178538896
2046,411.1104870479608,,384.32547571811,,,214.63605276725656
2047,410.03225912469173,,386.8116751195038,,,206.71695282268243
2048,408.91645356423413,,389.2040674473776,,,198.87532245584333
2049,410.26751959751044,,394.1638416270902,,,192.26263292047554
