,2020,2025,2030,2035,2040,2045,2050
offshore_f,0.0,0.0,0.0,0.25173523121917074,0.23093337894988106,0.8779819087233623,1.6555
offshore_g,0.0,0.0,0.07420731220258132,0.29579999999999995,0.4335,0.5593,0.6273000000000001
onshore,0.355875,0.435,0.87,1.1445,1.3682499999999997,1.548,1.661
pv_g,0.06951,0.18875777300865393,0.25189500000000004,0.43989999999999996,0.591375,0.5563983247947228,0.8389500000000001
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,1.0192694015444548
river,0.143451,0.143451,0.143451,0.143451,0.143451,0.143451,0.143451
lake,0.132,0.132,0.132,0.132,0.132,0.132,0.132
methanization,0.0,0.0,1.0302603036876319,1.3962738326290371,1.762287361570704,2.1283008905123078,2.494314419454583
ocgt,0.1434127808833998,0.1434127808833998,0.1034127808833998,0.3094581275777062,0.41582057843391423,0.5569855607043244,0.5569855607043244
ccgt,0.26,0.26,0.22,0.18,0.41033738386833696,0.6343378790119583,1.0498625096622634
nuclear,8.413039576758264,8.413019053688744,8.139400216034675,7.140786721086685,6.785130299560142,6.121066249533383,3.631097772331789
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.041869324219808386
phs,0.078,0.078,0.078,0.1005,0.108,0.1155,0.12299999999999998
battery1,0.0,0.0,0.0,0.00289271677581748,0.0030373566528271124,0.0030373566528271124,0.0030373566528271124
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.640784008549592
methanation,0.0,0.0,0.0,0.015463493203607936,0.11238319753723862,0.1368971269589376,0.1613637858888314
pyrogazification,0.0,0.0,0.0,0.27690174677473967,0.5538385660463396,0.8307052403241817,1.1076771320926793
electrolysis,0.0,0.006575342465753424,0.027627897686590488,0.03743510331368961,0.06755729554592202,0.09907520896124686,0.1315945205479452
natural_gas,2.142643784159387,2.940427174123841,2.260585165536573,1.9681542885627663,1.5501013536585606,0.956525824051167,0.5682242806417368
coal,0.04548662420291762,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen,0.0,0.0,0.0029577830132999877,0.022248105645261838,0.032024113821714245,0.037033610375979534,0.09941170352246254
methane,0.0,0.0,0.019764926583930018,0.033986992415643395,0.05832040375736331,0.07709416849165011,0.09817337994048744
geothermal,8.535790473035601e-05,7.073971396689202e-05,0.12994,0.14015999999999904,0.15037999999999963,0.16059999999999997,0.17227999999999813
central_gas_boiler,0.011621224637884998,0.015506794946326813,0.01902603565407602,0.01972236062617511,0.01972236062617511,0.01972236062617511,0.02009593860131894
central_wood_boiler,0.0017308999999999998,0.0017308999999999998,0.0017308999999999998,0.0039481833343655084,0.006897047699144438,0.009064737045841025,0.010437021404562333
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil,0.8359405327033227,1.2976291080046287,0.6845059318107672,0.21824531689093965,0.0,0.0,0.0
wood,4.087357426819544,4.734241030211594,5.385231463037749,6.0861332029579005,6.675648611427271,7.046353758928094,7.345809306974719
health_costs,6.031123678336662,5.0962418152498,3.259240138871597,1.978355202399484,1.1945373802763137,0.6772323804499959,0.3260234434439997
