,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
Stock (Million),28.33536010601379,28.61814682477888,28.900085183403576,29.18117772707653,29.46142699316439,29.740835511594984,30.019405804503574,30.297140386591963,30.574041765017242,30.8501124393189,31.125354901630413,31.567950436574733,32.00921818494798,32.44916213006165,32.88778624335819,33.32509448434651,33.76109080061222,34.195779127927594,34.62916339029979,35.06124749988032,35.49203535713941,35.909639450836735,36.32599073224661,36.741092959815006,37.15494988069203,37.56756523081556,37.978942734980194,38.38908610662939,38.79799904815948,39.20568525084971,39.612148394896266
Stock existing (Million),27.599774506013787,27.51476842477888,27.428913983403575,27.342213727076526,27.254670193164394,27.166285911594983,27.07706340450357,26.987005186591965,26.89611376501723,26.804391639318897,26.71184130163041,26.618465236574735,26.523761384947985,26.42773373006165,26.3303862433582,26.23172288434651,26.13174760061223,26.030464327927593,25.92787699029979,25.82398949988031,25.71880575713941,25.612329650836728,25.504600732246608,25.395622759815,25.28539948069203,25.17393463081556,25.061231934980196,24.94729510662939,24.832127848159484,24.715733850849706,24.598116794896274
Stock new (Million),0.7355856000000001,1.1033784000000002,1.4711712000000001,1.8389640000000005,2.2067568,2.5745496000000005,2.9423424000000002,3.3101352000000004,3.677928,4.045720800000001,4.4135136,4.9494852,5.485456800000001,6.0214284,6.5574,7.093371600000001,7.6293432,8.165314799999999,8.7012864,9.237258,9.773229599999999,10.2973098,10.82139,11.3454702,11.8695504,12.3936306,12.9177108,13.441791,13.965871199999999,14.489951399999999,15.0140316
Surface (Million m2),2420.462333685543,2447.4746885165905,2474.42490556541,2501.311505500774,2528.1353589220516,2554.8945821186403,2581.6059349364928,2608.2571060817877,2634.8534148298068,2661.396221658158,2687.868502562851,2730.0637613378094,2772.149695937213,2814.1286668558214,2856.0030468377636,2897.7752286815407,2939.39583438847,2980.8682598548003,3022.1951698758644,3063.379574766465,3104.405202575982,3144.1566865057475,3183.7563868918905,3223.206040174576,3262.5073341676148,3301.661866025994,3340.6712278418436,3379.541969825971,3418.2762504517336,3456.8763256807674,3495.3445856451353
Surface existing (Million m2),2351.393446668429,2343.871357990919,2336.287131531183,2328.6392879579894,2320.9286978707096,2313.1534775587415,2305.3303868680373,2297.4471145047755,2289.508979744238,2281.5173430640325,2273.4551804601683,2265.3246010392972,2257.0846974428714,2248.737830165651,2240.2863719517645,2231.7327155997123,2223.027483110813,2214.174070381315,2205.1751422065513,2196.033708901321,2186.7334985150105,2177.275704664315,2167.666127269998,2157.9065027722227,2147.9985189848026,2137.943773062722,2127.7438570981103,2117.405321301778,2106.9303241470807,2096.3211215956544,2085.580103779562
Surface new (Million m2),69.06888701711385,103.60333052567076,138.13777403422768,172.6722175427846,207.20666105134154,241.74110455989845,276.27554806845535,310.8099915770122,345.3444350855692,379.8788785941261,414.4133221026831,464.739160298512,515.0649984943408,565.3908366901699,615.7166748859987,666.0425130818277,716.3683512776565,766.6941894734855,817.0200276693143,867.3458658651433,917.6717040609722,966.8809818414323,1016.0902596218924,1065.2995374023524,1114.5088151828127,1163.7180929632727,1212.927370743733,1262.136648524193,1311.3459263046532,1360.5552040851132,1409.7644818655733
Surface Electricity-Heat pump water (Million m2),160.03228659009685,195.74498875398237,232.78718303108616,270.1692000578144,307.6817068511024,347.14079437852155,393.32223839512517,439.57485457922604,485.8828447734812,532.2153240891512,578.7527281615878,640.3872343711037,702.2140572374606,764.1989514131772,826.3073657288169,888.5041000509946,950.7643107867794,1012.9264792921692,1074.947908652775,1129.6357644560674,1181.3518470279228,1232.969522125763,1284.4895898770728,1335.6498947349542,1386.5946453538158,1436.5610655238522,1484.0123639738877,1531.5026699019609,1579.0322645483989,1626.5991097647297,1674.2531282465395
Surface Electricity-Performance boiler (Million m2),723.0269322803252,709.6736229890391,698.4605127542724,687.3800928686061,676.3272459175008,663.1877772201707,655.7707732566345,648.7195322069224,642.0185134874971,635.6331897359848,629.4715205122843,623.1737730308284,617.0471463245487,611.070179618748,605.2217723874325,599.4814673509202,593.3612934298349,587.3072653478864,581.2868681907257,573.2375359386306,566.6331295069895,559.7883647430785,552.383567981504,544.8777600673978,537.3777095072138,530.3794358858954,519.4820065607144,508.62821145595257,497.80929500422843,487.0206981039338,476.2228913231691
Surface Heating-District heating (Million m2),80.25965256756275,86.47106652498448,92.67215075174728,98.86279872510926,105.04265272943202,111.21166536965973,117.3672894273484,123.50914283746904,129.63633187703266,135.7484215240478,141.841741946172,148.00376053055675,154.14456041927502,160.2630591335128,166.35808322187512,172.42835943786525,178.48170032182523,184.51654444639044,190.53172264109037,196.53144359491927,202.5197738573597,208.48851364764542,214.4385688817808,220.37183543491355,226.28911014955955,232.19209154480288,238.04211430072124,243.8755860747902,249.69224662293445,255.4919258147505,261.2745367759807
Surface Natural gas-Performance boiler (Million m2),984.5493442486227,978.535480006394,971.4806257425818,963.3527667224224,955.0785081805586,944.9183590632196,914.5788452014278,884.9033992900456,855.8957760044602,827.5595775506694,799.8005080953079,771.6963399464071,744.1194259602598,717.0745745047111,690.5670015421894,664.6022417873618,639.267723924149,614.6128468118565,590.6559353313258,566.8308873450117,546.2946330295165,524.9419910502088,504.5634329616517,485.0555312040396,466.07728137447225,448.1757316084867,437.3811487814986,426.58934622823386,415.80072845988695,405.01501432595137,394.1966581683823
Surface Oil fuel-Performance boiler (Million m2),308.18097994002255,289.4799594707933,271.01432799506773,252.78230568233457,234.7803654277785,217.0032908126432,199.45094683094882,182.1167965022205,164.99813586427,148.0898174003549,131.22324399689657,114.41452678657008,97.67602364120783,81.02838075748443,64.493970303098,48.096903306773605,31.85772747602618,15.812279645413069,,,,,,,,,,,,,
Surface Wood fuel-Performance boiler (Million m2),164.41313805891295,187.56957077139677,208.01010529065553,228.76434144448694,249.22487981567866,271.4326952744255,301.1158418250081,329.4333806659042,356.4218128230658,382.1498913579506,406.7787598506023,432.3881266723432,456.9484823544606,480.4935214281873,503.05485365435203,524.6621567476252,545.6630784498551,565.6928443110845,584.7727350599488,597.143943431835,607.6058191541941,617.9682949390522,627.8812271898809,637.2510187332703,646.1685877825539,654.3535414629573,661.7535942250215,668.9461561650336,675.9417158162848,682.7495776714021,689.3973711310632
Prices Electricity (euro/kWh),0.1743338984,0.17676212842125,0.1779804496312869,0.1807244061941593,0.18276467142978042,0.1846755174740825,0.17801689764659892,0.17801689764659892,0.17801689764659892,0.17801689764659892,0.17801689764659892,0.17936534742026794,0.17936534742026794,0.1793653474202679,0.17936534742026794,0.17936534742026794,0.18205856671103762,0.1820585667110376,0.1820585667110376,0.1820585667110376,0.18205856671103762,0.18784234432047975,0.1878423443204798,0.18784234432047978,0.18784234432047978,0.18784234432047975,0.19473646233168904,0.19473646233168904,0.19473646233168904,0.19473646233168904,0.19473646233168904
Prices Heating (euro/kWh),0.07554741999999999,0.076506872234,0.07747850951137178,0.07846248658216619,0.07945896016175971,0.08046808895581405,0.08149003368555288,0.0825249571133594,0.08357302406869906,0.08463440147437153,0.08570925837309605,0.08679776595443436,0.08790009758205566,0.08901642882134778,0.09014693746737887,0.09129180357321458,0.0924512094785944,0.09362533983897255,0.09481438165492749,0.09601852430194506,0.09723795956057975,0.09847288164699912,0.099723487243916,0.10098997553191373,0.10227254822116903,0.10357140958357787,0.1048867664852893,0.10621882841965247,0.10756780754058205,0.10893391869634743,0.11031737946379103
Prices Natural gas (euro/kWh),0.0918150406,0.09290306447807999,0.09316641783489202,0.0965204787098149,0.09732851321086097,0.09798799615066928,0.09812416484933727,0.09803763997071727,0.09795198034101728,0.09786717730783727,0.09778322230351726,0.10116639212902878,0.10224309878398878,0.10329734883066878,0.10432948374206878,0.10533984038650879,0.11324198852670071,0.11320233639988071,0.1131620386109007,0.1131211120258407,0.1130795732750207,0.12362116169618345,0.12496599699508344,0.12628251734658347,0.12757115455248344,0.12883233462038346,0.12859464331230938,0.12933089789450938,0.13005036460870936,0.13075330558410936,0.13143997937210938
