,2020,2025,2030,2035,2040,2045,2050
river,9.66,9.66,9.66,9.66,9.66,9.66,9.66
lake,8.8,8.8,8.8,8.8,8.8,8.8,8.8
phs,5.2,5.2,5.2,6.7,7.2,7.7,7.7
offshore_f,0.0,0.0,0.0,8.080387650580642,16.7,23.4,30.1
offshore_g,0.0,0.0,1.141018729652454,5.1,8.5,11.9,15.3
onshore,9.49,11.6,23.2,32.7,42.099999999999994,51.6,60.4
onshore_V110,,,,,,,
pv_g,6.62,15.617327288361334,23.990000000000002,40.78364072976389,62.25,80.5,98.7
pv_g_ns,,,,,,,
pv_c,0.0,0.0,0.0,0.0,0.0,4.235682427700184,65.8
methanization,0.0,0.0,1.59835597670967,2.1977394679757962,2.7971229592419227,3.3965064505080487,3.995889941774175
ocgt,7.17063904416999,7.17063904416999,5.17063904416999,13.936168955866098,17.920999074507098,18.06008683679651,18.06008683679651
ccgt,6.5,6.5,5.5,4.5,5.505002318453478,12.331826343858262,14.858168653832955
coal,2.9,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,61.5,61.5,59.5,52.2,49.6,45.0,29.0
h2_ccgt,0.0,0.0,0.0,1.225796518607091,2.500978530871261,2.500978530871261,2.500978530871261
battery1,0.0,0.0,0.0,0.4772726825675313,6.6513998566803,6.6513998566803,6.6513998566803
battery4,0.0,0.0,0.0,0.0,1.50322057620131,6.544349802560252,409.38110890688637
electrolysis,0.0,0.5479452054794525,2.3378256193203675,4.348469982980729,9.343238635883992,10.235616438356164,13.397499718778334
hydrogen,0.0,0.0,2.2831050228310503,4.798922034566634,7.401380263244463,8.22329807146364,8.831289673116235
methane,80.0,80.0,80.0,80.0,80.0,80.0,80.0
methanation,0.0,0.0,0.3774309559131152,0.6740468967894572,0.8506670415401466,1.0349881448808227,1.2527746947834721
pyrogazification,0.0,0.0,0.0,0.0,0.0,0.05708414202534536,0.11416828405069072
natural_gas,111.06137651248952,111.06137651248952,111.06137651248952,111.06137651248952,111.06137651248952,111.06137651248952,128.32901565963073
geothermal,0.583,0.583,0.583,0.583,0.583,0.583,0.5920803770428439
central_gas_boiler,6.192024335507325,8.342264366399855,8.742235758710136,10.043019119999723,11.23556030682351,12.331740226843548,13.340744935023782
central_wood_boiler,0.911,0.911,2.643970206397537,3.204377685208772,3.7955571440648592,4.400718896779234,4.993904214635129
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
