,2020,2025,2030,2035,2040,2045,2050
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ccgt,0.0,0.0,0.0,0.0,0.3330295985424914,0.3236472892627667,0.49129950991116256
central_gas_boiler,0.017519548944802954,0.00765814495631958,0.00694693065011753,0.005631221189128868,0.0046741015740527775,0.002638132153890879,0.0
central_wood_boiler,0.0,0.0,0.0,0.0,0.0,0.021887567826645114,0.1730489997920676
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,0.0,0.039915870410523094,0.1274546629187308,0.037430027626093404,0.03391645529612224,0.1254866230551529,0.1608879628630824
geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0024132062961851855
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.15170051132067497
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanation,0.0,0.0,0.0,0.0,0.11362608556433053,0.02869134017900044,0.033507898836094945
methane,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanization,0.0,0.0,0.04102528708842311,0.035913409564459306,0.02307029108292485,0.020771097452821508,0.020771097452821134
natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,0.0,0.0,0.0,0.0,0.8717898890053246,0.43842636071504737,0.39227621748188446
ocgt,0.03794425793257983,0.0,0.0,0.3370951500641831,0.2795992768712569,0.2021236589768352,0.11978919283005968
offshore_f,0.0,0.0,0.0,0.0,0.1466123600233415,1.1305747650701212,2.8426157995491703
offshore_g,0.0,0.0,0.0,0.42815203810804253,0.5506665010856445,0.3684611604315635,0.3523005832196528
onshore,0.0,0.0,0.6568796978910626,0.8806500517469775,0.7457216624684191,0.7331885252840767,0.7206553880997335
phs,0.0,0.0,0.0,0.0682792657422843,0.0227597552474281,0.0227597552474281,0.02275975524742806
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pv_g,0.0,0.19510774288107022,0.36958496447649625,0.5808930234555326,0.6429804569333113,0.10231571553550034,0.9251392520849749
pyrogazification,0.0,0.0,0.0,0.0,0.0952930831930165,0.2041101233341404,0.0998010688423856
river,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
investment_heater,0.6831493616942008,3.3885905685285045,3.6187033386299454,3.5324034745363186,3.51171184628226,3.6305065129884175,3.728442256632988
investment_insulation,0.2689330222359852,1.5357785880432187,2.201687713399359,1.890372392513043,1.6059711768259832,1.2588908464419248,1.0075502010175472
