,Switch Electricity-Heat pump water (Thousand households),Switch Electricity-Heat pump air (Thousand households),Switch Electricity-Performance boiler (Thousand households),Switch Natural gas-Performance boiler (Thousand households),Switch Oil fuel-Performance boiler (Thousand households),Switch Wood fuel-Performance boiler (Thousand households)
2019,206.88147937478047,,297.1320048996691,495.7745184367396,,243.6092255765838
2020,209.40761204640188,,293.4256144701381,492.7042496777106,,242.0796193520324
2021,227.7228607879948,,307.1380707280702,478.8681034943181,,216.0330464008164
2022,231.1467536561975,,305.424871870361,466.09666101793107,,219.1923199856136
2023,232.27740647929755,,302.59536619392344,462.42317718536674,,216.62439642760614
2024,236.72717231963983,,302.2618875106689,448.5044008333309,,218.45371250344976
2025,238.00386472690204,,315.2909511951605,437.558904596073,,207.0941866092166
2026,156.96112824823754,,391.89206414608884,504.37079905960394,,136.70919598736754
2027,157.74006707252215,,391.9261152220861,498.41930195856804,,133.83807557883128
2028,158.48818220020178,,391.96330301951207,492.44466770047177,,131.01119421121933
2029,160.23810004149257,,394.73258503094746,488.90283971095323,,129.0695973019709
