,2020,2025,2030,2035,2040,2045,2050
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ccgt,0.0,0.0,0.0,0.11030544997141398,0.3904141777619316,0.3298849066891734,0.5637729248483531
central_gas_boiler,0.017519548944802954,0.00765814495631958,0.006936059520762822,0.005594085967358359,0.004624525971954723,0.004451714226166391,0.0
central_wood_boiler,0.0,0.0,0.0,0.0,0.0,0.0,0.10487040833458297
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,0.0,0.039915870410523094,0.13331246425590154,0.03592843996451263,0.0306437298108524,0.10526966560703507,0.18095462844391952
geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.002496596198366088
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.24783300636375927
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanation,0.0,0.0,0.0,0.0,0.05788233131236693,0.0877277788652344,0.03865477204566498
methane,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanization,0.0,0.0,0.012595865177258707,0.037706800356778356,0.04970632220177022,0.020771097452821494,0.02077109745282152
natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,0.0,0.0,0.0,0.0,1.5350161500517407,1.071643644593349,0.7845524349637689
ocgt,0.03794425793257983,0.0,0.0,0.4764591275237369,0.24636299635803668,0.23743235598926807,0.022641513087180536
offshore_f,0.0,0.0,0.0,0.5056795238680067,0.0,1.271293655160501,2.405237372290371
offshore_g,0.0,0.0,0.23675245615449145,0.40078231485538474,0.3846217376434741,0.3684611604315635,0.3523005832196528
onshore,0.0,0.0,0.7833210740214492,0.758254799652763,0.7457216624684191,0.7331885252840767,0.7206553880997335
phs,0.0,0.0,0.0,0.0682792657422843,0.0227597552474281,0.0227597552474281,0.02275975524742806
pv_c,0.0,0.0,0.10731075271358939,0.0,0.0,0.0,0.0
pv_g,0.0,0.3497853436155988,0.2149073637419676,0.6350240097431943,0.592476337398592,0.2145188724118501,0.8510893877659106
pyrogazification,0.0,0.0,0.0,0.0,0.0,0.0,0.3992042753695425
river,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
investment_heater,0.6831493616942008,3.3885905685285045,4.018564726611863,3.965741501199323,3.9570384231124134,4.003566578897403,4.053862089842869
investment_insulation,0.2689330222359852,1.5357785880432187,2.1998096291947618,1.876237221967601,1.5636923400597413,1.209533302537086,0.9566998121333873
