,2020,2025,2030,2035,2040,2045,2050
river,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phs,0.0,0.0,0.0,1.5,0.5,0.5,0.4999999999999991
offshore_f,0.0,0.0,0.0,3.2435722275259455,0.0,8.975355595092639,17.88107217738142
offshore_g,0.0,0.0,1.7,3.3999999999999995,3.4000000000000004,3.4000000000000004,3.4000000000000004
onshore,0.0,0.0,11.6,11.600000000000001,11.59999999999999,11.600000000000001,11.600000000000001
onshore_V110,,,,,,,
pv_g,0.0,9.786930762728948,6.013069237271054,19.999999999999993,20.0,7.801698149005915,32.198301850994085
pv_g_ns,,,,,,,
pv_c,0.0,0.0,2.086560338165848,0.0,0.0,0.0,0.0
methanization,0.0,0.0,0.46732370004245505,1.3989734894357468,1.8441720421692467,0.7706359173421617,0.7706359173421626
ocgt,1.1706390441699899,0.0,0.0,14.699501005435328,7.600679477982304,7.3251554099218055,0.6985256975122311
ccgt,0.0,0.0,0.0,2.57855565556571,9.126518103520326,7.711555431300786,13.17903933304546
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,0.0,0.0,0.0,0.0,5.722482619476317,4.277517380523683,3.5
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,4.7401109648020165
battery1,0.0,0.0,0.0,0.3359108001817827,0.2219366429310597,0.16972696208386562,0.0
battery4,0.0,0.0,0.0,0.0,0.0,0.0,5.743066780325551
electrolysis,0.0,0.547945205479452,1.830047168416859,0.7694348589700093,0.7011031224411459,2.517577671830499,4.600102018524137
hydrogen,0.0,0.0,2.2831050228310503,0.365296803652968,0.365296803652968,0.8219178082191778,9.046577756081405
methane,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanation,0.0,0.0,0.0,0.0,0.6112152615448296,0.9452773091743965,0.42793022152644933
pyrogazification,0.0,0.0,0.0,0.0,0.0,0.0,2.192031053773262
natural_gas,109.70626803454164,0.0,0.0,0.0,0.0,10.992285726494856,12.934205987558585
geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.034232824049152066
central_gas_boiler,4.678434019939473,2.045037004443061,1.852210746321063,1.493849081538082,1.23493702386126,1.1887892404286795,0.0
central_wood_boiler,0.0,0.0,0.0,0.0,0.0,0.0,2.4618844050606583
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
