,2020,2025,2030,2035,2040,2045,2050
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ccgt,0.0,0.0,0.0,0.0,0.00798290861804551,0.3099598081424422,0.35977517514690555
central_gas_boiler,0.017519548944802954,0.007712353757304738,0.0009297270788001308,0.003886595238710902,0.0029224927610435754,0.002812009282247592,0.002625983705189291
central_wood_boiler,0.0,0.0,0.07485798585667386,0.02598804453946338,0.02811490102865043,0.028713115872746484,0.02757771432986104
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,0.0,0.0399158704105231,0.1270282268091575,0.1060876284483888,0.21198434155247944,0.034367564423460374,0.14035530837855553
geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0018776170632376725
h2_ccgt,0.0,0.0,0.0,0.12779250411168877,0.14403922053985754,0.0,0.0
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanation,0.0,0.0,0.036661588435519955,0.057218237839098664,0.020324096467228974,0.024869671367947294,0.025755853121100767
methane,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanization,0.0,0.0,0.05846679283016425,0.02077109745282152,0.020771097452821494,0.020771097452821508,0.02077109745282152
natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,0.0,0.0,0.0,0.0,0.8717898890053246,0.43842636071504737,0.39227621748188446
ocgt,0.03794425793257983,0.0,0.0,0.19333843241495882,0.16116295862585522,0.17796055846417175,0.0
offshore_f,0.0,0.0,0.0,0.6245762881721364,1.8884852737292153,0.9490061312147311,0.9012373662207015
offshore_g,0.0,0.0,0.0,0.6011734722830773,0.3846217376434741,0.3684611604315635,0.3523005832196528
onshore,0.0,0.0,0.7299139971336723,0.8099528500801312,0.7457216624684191,0.7331885252840767,0.7206553880997335
phs,0.0,0.0,0.0,0.0682792657422843,0.0227597552474281,0.0227597552474281,0.0
pv_c,0.0,0.0,0.0,0.0,0.16650878242918554,0.1099495481387941,2.2580066463851733
pv_g,0.0,0.19975763273587696,0.36493507462168945,0.4531568863336657,0.7621580589046345,0.5499286650539893,0.5286548288816879
pyrogazification,0.0,0.0,0.0,0.09980106884238563,0.09980106884238563,0.0998010688423856,0.09980106884238564
river,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
investment_heater,0.6831493616942008,3.3680934156999744,2.9325418817949727,2.831468640336387,2.96825327064037,3.3039186506461586,2.9056551474469527
investment_insulation,0.2689330222359852,1.3586710997135119,1.2991527065720814,1.2401610320407304,1.1962775669940338,1.0147950031685342,0.8668478653688252
