,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
Stock (Million),28.33536010601379,28.61814682477888,28.900085183403576,29.18117772707653,29.46142699316439,29.740835511614645,30.019405804534355,30.297140386704207,30.57404176514495,30.850112439401496,31.125354901655925,31.567950436501384,32.00921818477616,32.4491621297913,32.88778624296983,33.325094483789584,33.76109079988824,34.19577912704419,34.629163389243736,35.06124749866488,35.49203535576159,35.909639449318156,36.32599073059051,36.74109295801593,37.15494987876045,37.56756522876158,37.97894273272274,38.3890861041753,38.7979990454973,39.20568524798709,39.612148391888596
Stock existing (Million),27.599774506013787,27.51476842477888,27.428913983403575,27.342213727076526,27.254670193164394,27.16628591161464,27.077063404534353,26.987005186704202,26.896113765144946,26.804391639401494,26.711841301655927,26.618465236501386,26.523761384776158,26.427733729791292,26.330386242969833,26.231722883789583,26.131747599888246,26.030464327044193,25.92787698924374,25.823989498664893,25.718805755761593,25.61232964931816,25.504600730590514,25.39562275801594,25.28539947876045,25.17393462876158,25.06123193272274,24.947295104175293,24.8321278454973,24.715733847987092,24.598116791888604
Stock new (Million),0.7355856000000001,1.1033784000000002,1.4711712000000001,1.8389640000000005,2.2067568,2.5745496000000005,2.9423424000000002,3.3101352000000004,3.677928,4.045720800000001,4.4135136,4.9494852,5.485456800000001,6.0214284,6.5574,7.093371600000001,7.6293432,8.165314799999999,8.7012864,9.237258,9.773229599999999,10.2973098,10.82139,11.3454702,11.8695504,12.3936306,12.9177108,13.441791,13.965871199999999,14.489951399999999,15.0140316
Surface (Million m2),2420.462333685543,2447.4746885165905,2474.42490556541,2501.311505500774,2528.1353589220516,2554.894582119642,2581.589893646997,2608.2084797845782,2634.7478424330225,2661.209026829765,2687.575036735731,2729.6390418926762,2771.567446162178,2813.3618588072836,2855.0240588985566,2896.555569506719,2937.9083179545046,2979.085429150538,3020.0890533611764,3060.921366360031,3101.5767231824975,3140.9406829063005,3180.136829122671,3219.1673335872465,3258.034330167565,3296.739933837557,3335.2862515881793,3373.6761783191655,3411.9121184447094,3449.9960143761255,3487.9297735964046
Surface existing (Million m2),2351.393446668429,2343.871357990919,2336.287131531183,2328.6392879579894,2320.9286978707096,2313.153477559744,2305.314345578542,2297.398488207565,2289.403407347453,2281.330148235639,2273.1617146330477,2264.8998815941645,2256.5024476678373,2247.971022117113,2239.307384012558,2230.5130564248916,2221.539966676848,2212.391239677052,2203.0690256918615,2193.575500494887,2183.9050191215256,2174.0597010648685,2164.046569500778,2153.8677961848935,2143.525514984752,2133.021840874285,2122.358880844446,2111.5395297949726,2100.5661921400556,2089.440810291012,2078.165291730831
Surface new (Million m2),69.06888701711385,103.60333052567076,138.13777403422768,172.6722175427846,207.20666105134154,241.74110455989845,276.27554806845535,310.8099915770122,345.3444350855692,379.8788785941261,414.4133221026831,464.739160298512,515.0649984943408,565.3908366901699,615.7166748859987,666.0425130818277,716.3683512776565,766.6941894734855,817.0200276693143,867.3458658651433,917.6717040609722,966.8809818414323,1016.0902596218924,1065.2995374023524,1114.5088151828127,1163.7180929632727,1212.927370743733,1262.136648524193,1311.3459263046532,1360.5552040851132,1409.7644818655733
Surface Electricity-Heat pump water (Million m2),160.03228659009685,195.74498875398237,232.78718303108616,270.1692000578144,307.6817068511024,345.6384618594909,383.7558456291475,414.91790727959835,446.16508607587286,477.4961334050077,508.98873209255487,555.4091598986445,601.9816054909628,648.7004972578188,695.5601810783868,742.5541936756791,789.6755762714213,836.9030808212825,884.2313426703015,928.7820662400155,972.2461670020896,1015.8387049736218,1059.5150933227471,1103.1467244432777,1146.7889908909667,1190.3898310899601,1234.115633120096,1279.108994857533,1324.1363224845086,1369.1971520304191,1414.3331664968812
Surface Electricity-Performance boiler (Million m2),723.0269322803252,709.6736229890391,698.4605127542724,687.3800928686061,676.3272459175008,665.5450648561491,656.3527348429473,654.5382355042703,653.0150046704815,651.7788108425821,650.8268355259979,649.8192243681669,649.073055075814,648.5856740775134,648.354645382249,648.3760676431125,647.5607690047395,646.9870974813074,646.6427034405247,643.128882097791,640.1668406158628,636.2958557362582,632.1829609029774,628.0842681532812,624.0925462565494,620.0572990298715,615.002174778403,609.4196561984115,603.8971110495078,598.4248731316729,592.9780573444355
Surface Heating-District heating (Million m2),80.25965256756275,86.47106652498448,92.67215075174728,98.86279872510926,105.04265272943202,111.21166536967063,117.36953971746146,123.51472301963778,129.64883202235498,135.77188623837918,141.88101513158483,148.065179401177,154.2347125093411,160.38947166029388,166.52927579717317,172.65397752461928,178.77158964630365,184.88154165491468,190.98372247042886,197.08340313202748,203.18268477500294,209.2723397396786,215.3529492805673,221.4271976777332,227.49634010136555,233.55895313693983,239.61325555506994,245.65830045195023,251.6973501096228,257.7305461897812,263.75796463831415
Surface Natural gas-Performance boiler (Million m2),984.5493442486227,978.535480006394,971.4806257425818,963.3527667224224,955.0785081805586,945.6341820636205,935.3691090008246,931.8248121730478,927.886898975392,923.5588053241449,918.8712620517648,913.1394538774431,907.0286415659575,900.5323168821346,893.6449147605,886.361617063851,879.3491549749026,871.93837849957,864.1247155830739,849.5887940586341,836.2314887820827,822.0633698611887,808.0638017911731,794.1757975809674,780.2152640613433,766.4079543607189,753.2181313009058,738.7033528211101,724.1673627773799,709.6161582189995,695.0097796874054
