Occupancy status,Income owner,Income tenant,Housing type,Heating system,Performance,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,A,3369.3643297516805,7403.904762489723,11654.075863866376,15917.040107102943,20190.002674955114,24477.522831080212,28774.01816230392,32849.23730303925,36927.567560853604,41008.845011429774,45094.07074853543,51739.887292168794,58389.63431874044,65043.137695679376,71700.21315551031,78360.66265233935,85025.36732849837,91693.2193872245,98364.03144956488,105003.75353129925,111614.5573839993,118084.74599274431,124560.76930295835,131037.55256977068,137515.659686527,143994.83533338754,150481.604385362,157007.5967908414,163536.69569243048,170068.90732466028,176605.62611869283
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,B,4227.080082904476,5057.878277065899,6937.513284108672,8800.273608379137,10644.249580019477,12482.2665662945,14287.963174800512,15080.56922379368,15862.644581360104,16634.096873358747,17400.24634930621,18182.534166398247,18959.230498909146,19729.895765167817,20494.088331682087,21251.35063824195,22007.285327087295,22755.75132190021,23496.4579064157,24107.216874754566,24601.19747334053,25094.805040914478,25599.267230269095,26096.15923369729,26587.383951629574,27072.684948660903,27573.935692092226,28186.83786483727,28797.040298308126,29404.66739517713,30013.513390985045
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,C,2995.108645864633,3270.3319712795783,4053.6573646512315,4834.747902208753,5604.1695252553445,6384.745284117951,7164.148782811979,7410.62342890327,7653.579016461611,7893.166256708692,8131.283602336076,8375.26311515969,8617.970626236905,8859.422533502599,9099.626046250745,9338.578089700148,9573.30033527948,9806.478186313034,10037.993138513608,10217.312913710986,10356.641127086836,10488.364803819222,10616.874164314673,10740.491872236908,10862.588761405197,10979.568673676835,11090.629996925223,11238.588078571189,11384.466347814421,11528.249009154031,11671.207452130095
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,D,398.9875467944067,534.9500957722524,963.8576173279511,1386.6595539292375,1791.2588057999826,2193.5301497672403,2591.534299979243,2688.5556532596233,2781.9106294015105,2871.684306810122,2958.569968682897,3045.3105519408477,3129.2205488340555,3210.3088365706835,3288.5762373820808,3364.0161312347036,3433.159589479554,3499.379474568296,3562.6222428236656,3617.4980336310564,3651.9242282314835,3677.455735473648,3698.5317690811803,3715.162291763757,3729.2045216334513,3738.752913689498,3741.532949806344,3755.615894026864,3766.4635251215404,3774.047154246708,3778.755268703337
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,B,727.90332782344,935.8757072015658,1143.8480865796914,1351.820465957817,1559.7928453359427,1767.7652247140684,1975.737604092194,2183.70998347032,2391.682362848446,2599.6547422265717,2807.6271216046975,3032.6797580491116,3257.7323944935256,3482.7850309379396,3707.8376673823536,3932.8903038267676,4157.942940271181,4382.995576715595,4608.048213160009,4833.100849604423,5058.153486048837,5278.212964421042,5498.272442793246,5718.331921165451,5938.391399537655,6158.45087790986,6378.510356282064,6598.569834654269,6818.629313026473,7038.6887913986775,7258.748269770882
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,C,38868.024087089565,38591.246880431536,37963.06973989167,37318.797378617026,36630.193879773346,35934.43919851132,35230.831848718866,35026.616542990516,34813.500212098705,34592.19414480855,34360.12043764415,34156.08757552859,33943.01301341942,33721.700066125784,33492.96973525113,33257.67628597106,33015.27415144982,32766.843714783045,32513.255865742292,32329.173657126994,32209.673068251668,32084.08186957379,31925.012875410586,31753.72313114226,31575.50275149868,31382.63982917051,31156.04442401137,30843.328052446886,30517.756399786613,30179.43195985061,29826.118286559344
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,D,20724.42303166639,20426.955998770565,19822.63093721197,19225.3274064779,18635.85740291291,18054.237900903,17485.976799817956,17194.645627281727,16905.776641510005,16619.62138378993,16334.537391189773,16066.582797476682,15800.206477526383,15535.757526729565,15273.582844880755,15014.03489060795,14754.126982575575,14497.068498398106,14243.197375497657,14025.93906437435,13848.525695011458,13667.696522725393,13475.781712754999,13282.494336868276,13089.88378391067,12894.264331473882,12684.276897497573,12434.875247471784,12184.637043903047,11933.62471447126,11680.724444991967
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,E,19077.330934790753,18362.53835390946,17360.496680537144,16403.559421658552,15492.513986969641,14623.998655774305,13806.114840810642,13250.107939172945,12713.60180485552,12196.056021896851,11694.433707716309,11218.868830107569,10757.378099696125,10309.75075096937,9875.747865154402,9455.13764548185,9038.979093757209,8633.107037800044,8237.21094452797,7870.902723326813,7530.1157188698535,7187.205354514605,6843.083175148735,6504.556441480078,6173.295446840309,5846.847810285773,5516.459400669378,5180.479830366326,4852.829419100225,4533.483320273756,4222.122155327641
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,F,19801.432286795836,19600.406753497788,19296.009785472466,18985.756466402898,18681.965717962303,18372.03071610287,18061.54791590821,17757.140843787223,17448.145503117645,17134.80811037146,16815.708753908613,16513.50104281599,16204.323703224194,15888.314870692837,15565.58216594766,15236.249862386816,14890.937345672202,14534.349521001226,14166.458209395658,13774.84599103276,13373.805065627592,12955.409444156565,12523.691300186292,12082.223457032876,11633.470555882723,11175.322358455473,10701.546598981793,10223.383005358097,9738.666123467026,9247.888644652043,8751.681230358794
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,G,14200.428187982425,13818.934049176292,13369.703743113463,12929.757789483188,12506.969129655336,12092.461722699063,11694.951467204326,11323.171442069832,10959.025273510146,10602.423197285603,10252.36166226566,9921.677596696283,9596.050540799359,9275.410482304946,8959.666837145633,8648.736571856949,8333.988093990181,8021.515620678644,7711.259929966729,7393.277702221757,7076.617762211867,6754.4180766566715,6433.847112776001,6116.729772429152,5804.377369733978,5495.478917900458,5184.7739005509075,4881.0546691099635,4582.205958954946,4288.316732331193,3999.547884908047
Owner-occupied,C1,C1,Multi-family,Heating-District heating,A,1039.8618968906285,1611.7859401804742,2183.70998347032,2755.6340267601654,3327.5580700500113,3899.4821133398573,4471.406156629703,5043.330199919549,5615.254243209395,6187.178286499241,6759.102329789087,7659.312875566742,8559.523421344398,9459.733967122054,10359.94451289971,11260.155058677366,12160.365604455023,13060.576150232679,13960.786696010335,14860.99724178799,15761.207787565647,16641.445701054465,17521.683614543283,18401.9215280321,19282.15944152092,20162.397355009736,21042.635268498554,21922.873181987372,22803.11109547619,23683.349008965008,24563.586922453826
Owner-occupied,C1,C1,Multi-family,Heating-District heating,B,2061.2280754301196,2686.0020133892335,3382.244996368603,4088.9839533922336,4796.6268939820775,5514.55928153954,6242.539709530643,6973.184681079797,7715.900282974737,8470.590553772796,9237.169550332887,9912.081212328267,10596.729152240858,11291.03391384564,11994.916585159328,12708.297885019847,13431.057568440514,14163.214291082613,14904.755051151922,15666.553803330225,16435.691152432755,17221.664900581596,18020.42813388315,18829.868604783787,19649.199464702247,20479.611379314985,21321.62021850037,22175.382251428993,23038.58028091696,23911.034500696587,24793.720342412686
Owner-occupied,C1,C1,Multi-family,Heating-District heating,C,5863.597087787453,6581.214784654251,7306.266839895079,8019.776374159943,8719.60246958622,9408.824828882834,10087.552920678672,10755.738286167736,11417.746700582351,12073.695819237655,12723.574469120722,13267.140647244936,13805.50859698922,14338.764328773697,14866.995255046995,15390.29082332568,15908.684102813791,16422.140626503788,16930.61045363349,17444.685844240674,17956.107671271304,18469.350190550664,18975.925485918204,19477.305641533905,19973.959755746662,20464.56261147634,20948.35477994694,21424.713422570923,21895.15912488291,22359.596895067698,22816.763565512836
Owner-occupied,C1,C1,Multi-family,Heating-District heating,D,10531.461831905275,10963.847242308166,11365.299496628084,11769.330507567634,12181.711965657842,12595.645144561748,13010.565926247617,13424.930613988336,13839.908623229632,14255.06493194187,14670.018147731898,15020.472449146255,15369.279646342779,15716.021579876384,16060.276809278723,16401.62109358668,16739.51253120201,17073.36596709756,17402.545865778495,17712.317373497866,18016.913129762088,18318.942177550387,18613.396139452787,18900.166081118554,19178.95569944121,19448.886393303994,19708.90031661145,19958.208914703584,20197.234033671604,20425.44382883792,20642.28266032641
Owner-occupied,C1,C1,Multi-family,Heating-District heating,E,10683.998147703507,10849.45045646116,10962.494869222819,11057.829259962295,11141.226719830865,11206.979377548683,11255.402784139018,11294.586773652385,11318.300345858823,11326.849375056003,11319.19357925057,11243.18005372795,11153.717060411513,11050.9676025321,10935.07106495433,10806.175930316804,10661.197206907631,10499.782288942226,10321.874836872352,10128.88530897399,9922.690915746563,9703.985542895116,9468.498237767762,9217.72365266415,8952.48184005428,8672.662480522044,8378.186644512529,8069.174117452145,7746.928955575041,7411.907641712665,7064.568464049366
Owner-occupied,C1,C1,Multi-family,Natural gas-Performance boiler,C,50838.193499432804,51407.970346532034,52119.28506041228,52806.05113843731,53416.734913802415,53990.07714360039,54535.03709315159,55243.59303290547,55935.27909276967,56609.9304593626,57268.140963681384,57451.538822354196,57619.391130594384,57771.39018071293,57907.21003503268,58026.502127894135,58144.83039103411,58245.7938834441,58329.44245044849,58249.80201064447,58165.90062474784,58078.44095484844,57985.00031601386,57876.81153320043,57747.3503016658,57605.11497239403,57455.33120486046,57263.56383264907,57053.04172558635,56823.84202072318,56575.07499081205
Owner-occupied,C1,C1,Multi-family,Natural gas-Performance boiler,D,77967.53207312459,77088.40665347183,75576.9477278285,74063.02912343349,72586.9625535389,71089.83672370842,69582.14168457886,68572.5877873956,67563.43502811893,66554.56232563632,65546.76261396066,64620.7309903015,63694.297526379436,62767.05261987182,61838.58579565291,60908.48117546068,59980.22219258269,59050.04940865089,58117.04452701331,57023.69058276587,55964.81688651013,54909.048419336745,53871.23038987368,52845.45898725819,51822.491217736635,50813.50694725785,49832.71667511745,48818.900330821154,47810.042539462265,46806.047662882855,45805.336046791715
Owner-occupied,C1,C1,Multi-family,Natural gas-Performance boiler,E,45205.48967966379,44345.65237339001,43006.769244222276,41665.40728870867,40365.538083233645,39060.033765234875,37748.8954072231,36769.54343353344,35791.26371122761,34814.39343246209,33836.74715162782,32899.640003356144,31958.427536281724,31013.273314495917,30064.316508595188,29111.762026519515,28148.376727717605,27173.46440767064,26187.36195533625,25055.766972811594,23949.67350489588,22848.377822224378,21760.618995913057,20683.683378865215,19614.1214330359,18558.232889152267,17524.874360307047,16481.71814651584,15450.667135643645,14432.920717891933,13429.023366683168
Owner-occupied,C1,C1,Multi-family,Oil fuel-Performance boiler,C,232.64633292439143,226.8379822824838,236.68004565271102,243.77861510866722,246.45298923427467,246.5934124204795,244.19433906511082,238.32336130216675,230.0590011683743,219.38624959181087,206.04095509923582,189.99034459642056,171.20429160432164,149.65724178119018,125.3289072054575,98.20457858568396,68.27482701873254,35.53783440845597,,,,,,,,,,,,,
Owner-occupied,C1,C1,Multi-family,Oil fuel-Performance boiler,D,2150.0327822958266,2067.8954625700967,1991.2274724377335,1908.9917609253791,1819.188977258985,1724.2564981696773,1624.2880944246301,1518.5808770952092,1408.1594441740194,1293.0694426177108,1171.947807397406,1044.893919236806,912.012770408343,773.4224803827539,629.25609045277,479.6611868232615,324.7980663571789,164.84526558539878,,,,,,,,,,,,,
