,Switch Electricity-Heat pump water (Thousand households),Switch Electricity-Heat pump air (Thousand households),Switch Electricity-Performance boiler (Thousand households),Switch Natural gas-Performance boiler (Thousand households),Switch Oil fuel-Performance boiler (Thousand households),Switch Wood fuel-Performance boiler (Thousand households)
2019,108.28946934156696,,415.3796846329942,610.789421940333,,108.93865237287893
2020,108.58366427524784,,412.55171040768107,607.8626714133976,,108.63297865406896
2021,108.78167517611611,,408.96810806455613,603.7228814896835,,108.31416226993507
2022,108.999937016232,,405.3597254857059,599.5488419753627,,107.98459114000897
2023,109.2210234746994,,401.7264052522867,595.3628211070655,,107.64561022036598
2024,109.45188136660369,,398.0755702618437,591.1565027569317,,107.29719030685565
2025,266.85419186690206,,727.9786916442878,,,203.14206865918672
2026,265.4260700978667,,726.4379949460686,,,198.10596575822242
2027,264.04486063040684,,724.8467877696075,,,193.05493386529895
2028,262.71080112818083,,723.2079901977914,,,187.99235051639278
2029,262.47951172934125,,726.2527225726501,,,184.1477482610516
2030,267.8040268703087,,732.6516072116701,,,184.11643084088288
2031,267.6845501442234,,735.5359551794237,,,180.18150146742184
2032,267.5982763676839,,738.2744417122586,,,176.22837130947713
2033,267.5434379272539,,740.8426031364859,,,172.26190952243456
2034,267.5182485398484,,743.2151974682731,,,168.28699630316225
2035,274.13057519646827,,724.4500864913501,,,178.61515077530132
2036,274.21361461477,,726.8857288131422,,,174.45758823440067
2037,274.262844515007,,729.412622806113,,,170.38404858843063
2038,313.4335652065392,,567.3830332963934,,,220.0994693555809
2039,298.469388173409,,625.0107222966708,,,169.3507247505722
2040,304.7089502414518,,604.3864052667103,,,177.18439217761824
2041,303.40477124021413,,601.927030749895,,,173.4847001119679
2042,302.0886805648587,,599.6018858425988,,,169.90513460414303
2043,300.75133295035744,,597.425358250318,,,166.44102029407222
2044,299.3986160422188,,595.3985981374411,,,163.08970475198927
2045,305.4553830629879,,501.055225827704,,,208.8433683319455
2046,304.0017168500221,,502.3593615197473,,,203.28189776331428
2047,302.57291683878725,,503.4146417895085,,,197.57863473932926
2048,301.1726399385247,,504.2538108804362,,,191.77343907436148
2049,301.13790804734134,,508.3709446280956,,,187.25749117327317
