,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
Stock (Million),28.33536010601379,28.61814682477888,28.900085183403576,29.18117772707653,29.46142699316439,29.740835511594984,30.019405804833355,30.297140387255656,30.574041765953663,30.850112440512078,31.125354903079437,31.56795043827534,32.00921818687246,32.44916213223263,32.88778624575504,33.325094486955656,33.76109080343339,34.19577913096064,34.62916339350527,35.06124750326325,35.4920353606965,35.90963945455889,36.3259907361407,36.741092963878884,37.15494988489194,37.56756523519053,37.978942739475016,38.38908611124858,38.79799905290846,39.20568525574473,39.612148399954734
Stock existing (Million),27.599774506013787,27.51476842477888,27.428913983403575,27.342213727076526,27.254670193164394,27.166285911594983,27.077063404833353,26.987005187255665,26.89611376595366,26.804391640512073,26.71184130307944,26.618465238275338,26.523761386872458,26.427733732232632,26.330386245755044,26.231722886955655,26.131747603433386,26.030464330960626,25.92787699350527,25.823989503263245,25.718805760696497,25.6123296545589,25.504600736140706,25.395622763878887,25.285399484891936,25.173934635190523,25.06123193947502,24.947295111248586,24.83212785290846,24.715733855744734,24.598116799954735
Stock new (Million),0.7355856000000001,1.1033784000000002,1.4711712000000001,1.8389640000000005,2.2067568,2.5745496000000005,2.9423424000000002,3.3101352000000004,3.677928,4.045720800000001,4.4135136,4.9494852,5.485456800000001,6.0214284,6.5574,7.093371600000001,7.6293432,8.165314799999999,8.7012864,9.237258,9.773229599999999,10.2973098,10.82139,11.3454702,11.8695504,12.3936306,12.9177108,13.441791,13.965871199999999,14.489951399999999,15.0140316
Surface (Million m2),2420.462333685543,2447.4746885165905,2474.42490556541,2501.311505500774,2528.1353589220516,2554.8945821186403,2581.605934954231,2608.2511606591556,2634.835026182416,2661.358327928639,2687.8026147281244,2729.960399188455,2771.9979725952626,2813.9166044808944,2855.717536077494,2897.4019816892155,2938.9246617255126,2980.289190024487,3021.4982007159997,3062.5546603832404,3103.443549664926,3143.051045088929,3182.4994860980164,3221.7910480789824,3260.9279987719906,3299.91252795666,3338.7470430328485,3377.4356721280005,3415.980544464532,3454.383789377681,3492.647525370934
Surface existing (Million m2),2351.393446668429,2343.871357990919,2336.287131531183,2328.6392879579894,2320.9286978707096,2313.1534775587415,2305.330386885776,2297.441169082144,2289.490591096846,2281.479449334513,2273.389292625441,2265.221238889943,2256.9329741009215,2248.5257677907252,2240.000861191496,2231.3594686073875,2222.5563104478565,2213.5950005510017,2204.4781730466852,2195.2087945180965,2185.7718456039534,2176.1700632474967,2166.409226476124,2156.4915106766293,2146.4191835891784,2136.194434993388,2125.8196722891153,2115.2990236038077,2104.6346181598797,2093.828585292568,2082.883043505361
Surface new (Million m2),69.06888701711385,103.60333052567076,138.13777403422768,172.6722175427846,207.20666105134154,241.74110455989845,276.27554806845535,310.8099915770122,345.3444350855692,379.8788785941261,414.4133221026831,464.739160298512,515.0649984943408,565.3908366901699,615.7166748859987,666.0425130818277,716.3683512776565,766.6941894734855,817.0200276693143,867.3458658651433,917.6717040609722,966.8809818414323,1016.0902596218924,1065.2995374023524,1114.5088151828127,1163.7180929632727,1212.927370743733,1262.136648524193,1311.3459263046532,1360.5552040851132,1409.7644818655733
Surface Electricity-Heat pump water (Million m2),160.03228659009685,195.74498875398237,232.78718303108616,270.1692000578144,307.6817068511024,347.14079437852155,405.1140584044103,463.220296407124,521.453291615853,579.7914540177302,638.488632452756,712.7694083372031,787.3565807335282,862.2219394505355,937.3372778749875,1012.6741381340481,1088.4069233256732,1164.2643345751374,1240.2129086732705,1308.0413638594262,1371.1305984053797,1434.3897370574105,1497.3225125422143,1559.6598824630728,1621.780918375666,1682.3877969152793,1726.3243555979027,1770.2755544435834,1814.2441678175735,1858.230738430451,1902.2712635045607
Surface Electricity-Performance boiler (Million m2),723.0269322803252,709.6736229890391,698.4605127542724,687.3800928686061,676.3272459175008,663.1877772201707,659.5636107810597,656.4233440823431,653.7545471158274,651.5272908384003,649.6706207267379,647.8461185599917,646.3484059490281,645.1614343195694,644.2693532294663,643.6568065327674,642.3760303060336,641.3891547012626,640.6583329289138,637.581181314487,635.2681225836077,632.4511197329632,629.0634866026331,625.5437975480158,622.0876073803839,618.9339637768269,602.1897234502408,585.4614338681663,568.7414249793519,552.0257720066801,535.2625794741632
Surface Heating-District heating (Million m2),80.25965256756275,86.47106652498448,92.67215075174728,98.86279872510926,105.04265272943202,111.21166536965973,117.3672894273484,123.50832720252393,129.63380403374336,135.74319570742173,141.83263681813,147.98951488513708,154.12358744634244,160.23358598841946,166.3181347822678,172.37574262808045,178.41516394594004,184.43459221708105,190.432894759236,196.41403192677743,202.38303265522703,208.33194713406016,214.26142559434092,220.17377852188943,226.0702184394264,231.95296976858592,237.69242820054725,243.41405410035253,249.11706354336602,254.8005965924226,260.46371097351056
Surface Natural gas-Performance boiler (Million m2),984.5493442486227,978.535480006394,971.4806257425818,963.3527667224224,955.0785081805586,944.9183590632196,899.0999191062607,853.5434730607265,808.2466602212163,763.2060410862405,718.2395720131906,672.0136197466968,625.8491055733812,579.7457672222431,533.703404080568,487.7216333107876,441.801014467848,395.95632012245153,350.20739509480677,305.666777482392,267.0951941470707,227.39590068702742,188.94072818032703,151.6497968668243,114.80796769819929,79.86367365208197,79.86367365208197,79.86367365208197,79.86367365208197,79.86367365208197,79.86367365208197
Surface Oil fuel-Performance boiler (Million m2),308.18097994002255,289.4799594707933,271.01432799506773,252.78230568233457,234.7803654277785,217.0032908126432,199.45094683094882,182.11344920902152,164.9886816624339,148.0721360416069,131.19572364222353,114.37649165160664,97.6277680055264,80.9717070259363,64.43245925940636,48.03619279288323,31.806296415724066,15.780456943536601,,,,,,,,,,,,,
Surface Wood fuel-Performance boiler (Million m2),164.41313805891295,187.56957077139677,208.01010529065553,228.76434144448694,249.22487981567866,271.4326952744255,301.0101104042036,329.4422706974173,356.7580415333412,383.0182102372396,408.37542907508634,434.96524600781976,460.69252488745593,485.58217047419123,509.65690685079835,532.9374682906484,556.1192332642938,578.4643314650182,599.9866692597724,614.8513058001572,627.5666018736406,640.4823404774679,652.9113331785005,664.7637926791799,676.181286878315,686.7741238438865,692.6768621320755,698.4209560638168,704.0142144721592,709.4630086960447,714.786297766618
Prices Electricity (euro/kWh),0.1743338984,0.17676212842125,0.1779804496312869,0.1807244061941593,0.18276467142978042,0.1846755174740825,0.17741856096106565,0.17741856096106565,0.17741856096106565,0.17741856096106565,0.17741856096106565,0.1791012303105321,0.1791012303105321,0.17910123031053207,0.1791012303105321,0.1791012303105321,0.18399035067413191,0.1839903506741319,0.1839903506741319,0.1839903506741319,0.18399035067413191,0.1918016439514638,0.19180164395146385,0.19180164395146382,0.19180164395146382,0.1918016439514638,0.19991949170437387,0.19991949170437387,0.19991949170437387,0.19991949170437387,0.19991949170437387
Prices Heating (euro/kWh),0.07554741999999999,0.076506872234,0.07747850951137178,0.07846248658216619,0.07945896016175971,0.08046808895581405,0.08149003368555288,0.0825249571133594,0.08357302406869906,0.08463440147437153,0.08570925837309605,0.08679776595443436,0.08790009758205566,0.08901642882134778,0.09014693746737887,0.09129180357321458,0.0924512094785944,0.09362533983897255,0.09481438165492749,0.09601852430194506,0.09723795956057975,0.09847288164699912,0.099723487243916,0.10098997553191373,0.10227254822116903,0.10357140958357787,0.1048867664852893,0.10621882841965247,0.10756780754058205,0.10893391869634743,0.11031737946379103
Prices Natural gas (euro/kWh),0.0918150406,0.09290306447807999,0.09316641783489202,0.0965204787098149,0.09732851321086097,0.09798799615066928,0.09812416484933727,0.09803763997071727,0.09795198034101728,0.09786717730783727,0.09778322230351726,0.10116639212902878,0.10224309878398878,0.10329734883066878,0.10432948374206878,0.10533984038650879,0.11324198852670071,0.11320233639988071,0.1131620386109007,0.1131211120258407,0.1130795732750207,0.12362116169618345,0.12496599699508344,0.12628251734658347,0.12757115455248344,0.12883233462038346,0.12859464331230938,0.12933089789450938,0.13005036460870936,0.13075330558410936,0.13143997937210938
Prices Oil fuel (euro/kWh),0.10588271939999999,0.10756056866120002,0.10851988578441879,0.11258446862406923,0.11411791200326563,0.11551802543092214,0.1169423608208771,0.11839133721307829,0.11986538089686455,0.1213649255363803,0.1228904122981597,0.12590568998091786,0.12921881514758773,0.13255925225964105,0.13592747381373282,0.1393239604807104,0.14274920124702672,0.1446318935586003,0.14654434346716408,0.148487065779146,0.15046058420712527,0.15246543152390854,0.15677854971927216,0.1611240901594156,0.1655026137491735,0.16991469109703422,0.1743609026830129,0.17802883902942904,0.1817321008746382,0.18547129934976941,0.18924705615852044
Prices Wood fuel (euro/kWh),0.06238232,0.063174575464,0.06397689257239278,0.06478939910806217,0.06561222447673457,0.06644549972758908,0.06728935757412946,0.06814393241532091,0.06900936035699547,0.06988577923352932,0.07077332862979514,0.07167214990339352,0.07258238620716662,0.07350418251199763,0.07443768562989997,0.07538304423739971,0.07634040889921469,0.0773099320922347,0.07829176822980609,0.0792860736863246,0.08029300682214092,0.08131272800878211,0.08234539965449364,0.0833911862301057,0.08445025429522805,0.08552277252477743,0.0866089117358421,0.08770884491488729,0.08882274724530635,0.08995079613532174,0.0910931712462403
Consumption standard (TWh),337.0362140477301,332.63618293358337,327.71797166644825,322.8522409664178,318.5533939987985,311.70187655538825,302.64783128496623,293.626053983479,285.0246278073351,276.1537318011599,267.69244731993786,259.73752330918427,252.10175455284735,244.75930538034265,237.68660255739903,230.3428046947719,223.2825762332005,216.52562346427854,210.04031267756335,204.4390044391254,199.38331738269244,194.44459896363418,189.719949947118,185.19519134713673,180.82935844240978,176.69879217188898,174.23676979334667,171.85165829082513,169.5379690986747,167.29092927781932,165.10439328996824
Consumption standard (kWh/m2),139.24456057720934,135.90995833145612,132.4420761080095,129.0731843100771,126.00329838930128,122.00185429839152,117.23238902854932,112.57583564508948,108.17551192960426,103.76420525682953,99.59527751520378,95.14333005943872,90.94586541736139,86.98171971073583,83.23183212436211,79.49977467761641,75.97424294030932,72.65255472154348,69.5152863661446,66.75440183442879,64.24583344015377,61.86491920564166,59.61350528911756,57.48206155627652,55.4533428859843,53.54650787707475,52.186274535813176,50.8822891014672,49.63083568300896,48.42858798499554,47.271988395803966
Consumption (TWh),293.3453682042816,290.9861520453477,288.70530479756997,285.00100591981357,282.7895495440472,279.00182573743245,274.24399076441347,268.87546409472986,263.681003540182,258.18594528163135,252.87277256008468,247.08180084336112,242.12741457705914,237.35142986553916,232.7383472490553,227.876202328082,221.9710590027173,217.67551068498017,213.5091217855264,209.87476932387767,206.6351437357879,202.13497193396773,199.09853239426042,196.1990734376608,193.40209180342634,190.77372477189652,188.73413536912275,187.61433040906985,186.53215614449914,185.48489319946685,184.4688906114773
Consumption (kWh/m2),121.19394056325434,118.89240506168986,116.67571893098139,113.94062886331906,111.8569654690575,109.20287188760283,106.22999701512364,103.08649264696571,100.07495760454748,97.01284587355059,94.08160077471433,90.50746703754824,87.34761604113626,84.34913440134636,81.4990783607877,78.6484594710009,75.52798542048806,73.0383854739921,70.6633291176316,68.52931379112577,66.5825366013498,64.31170510253313,62.560428764866884,60.897516477564864,59.308912026349006,57.81175202544704,56.52843205446334,55.54934234790645,54.605743128943594,53.695508232130344,52.81634899355781
Consumption existing (TWh),290.80120364845624,287.5379951366233,284.3469898153343,279.75073081237156,276.63336259550624,271.9380047191106,266.2268536914054,259.92920530305986,253.80218331335567,247.37110891772062,241.1184503107766,234.10582309599502,227.89696078077895,221.86224641499956,215.98615256059531,209.85668713455996,202.79454938209147,197.22121557110106,191.77251765177954,186.85131200826848,182.32026836849406,176.8012711828228,172.54575386606172,168.42277580326032,164.39782603804258,160.5370334278207,157.42125696331175,155.0647699977248,152.74157099575777,150.4489250717789,148.18316553563778
Consumption new (TWh),2.5441645558253754,3.4481569087243997,4.35831498223564,5.2502751074420075,6.156186948540949,7.063821018321846,8.017137073008087,8.946258791670004,9.878820226826349,10.814836363910729,11.754322249308075,12.975977747366102,14.230453796280187,15.489183450539599,16.75219468845998,18.01951519352204,19.176509620625836,20.454295113879112,21.73660413374685,23.023457315609193,24.314875367293837,25.33370075114493,26.5527785281987,27.776297634400464,29.004265765383764,30.236691344075837,31.312878405811006,32.549560411345055,33.79058514874137,35.035968127687966,36.28572507583951
