,Switch Electricity-Heat pump water (Thousand households),Switch Electricity-Heat pump air (Thousand households),Switch Electricity-Performance boiler (Thousand households),Switch Natural gas-Performance boiler (Thousand households),Switch Oil fuel-Performance boiler (Thousand households),Switch Wood fuel-Performance boiler (Thousand households)
2019,206.88147937478047,,297.1320048996691,495.7745184367396,,243.6092255765838
2020,209.40761204640188,,293.4256144701381,492.7042496777106,,242.0796193520324
2021,227.7228607879948,,307.1380707280702,478.8681034943181,,216.0330464008164
2022,231.1467536561975,,305.424871870361,466.09666101793107,,219.1923199856136
2023,232.27740647929755,,302.59536619392344,462.42317718536674,,216.62439642760614
2024,256.3116245672738,,275.5606476571129,440.51218009329295,,233.56272084940971
2025,320.09583418740215,,330.2064655240369,243.1879111253698,,304.45309196711816
2026,320.99260238994265,,330.96904877211574,246.11162480686983,,291.8585358266152
2027,321.692038210954,,331.64580508957164,249.08387288663587,,279.4920246333817
2028,322.06533425726786,,332.0576508614123,252.1149264415567,,267.6589141959872
2029,324.80080097933524,,334.0697260326997,256.41963683153887,,257.67006770775623
2030,330.68014702772007,,336.0769731203426,267.1992664687508,,250.83148093251762
2031,333.5720973972805,,337.781950761906,270.6664501946691,,241.70413152875113
2032,336.0868983718904,,339.24374146795844,274.11811601372375,,233.01370844390576
2033,338.2256091851939,,340.4464151014029,277.55093273520447,,224.72845099012164
2034,339.98417862787403,,341.36641400071255,280.96352142788317,,216.82509615984662
2035,341.3437526700461,,335.50679214347923,285.9590541666207,,214.11150300585723
2036,340.58355860441947,,336.0074884958995,291.0748712024758,,206.56635714677986
2037,339.3886375922298,,336.0432416517724,296.1677336346754,,199.39914511558015
2038,335.3511432094187,,252.31113059917422,276.23601044151036,,233.24016292540807
2039,368.4872199393726,,201.8346689838018,238.55172455803392,,282.31800534559164
2040,368.7044605787933,,192.12123153481713,241.10941727756918,,281.66067724639163
2041,386.9681770103866,,197.09670611878065,235.7839508414716,,255.47924506839055
2042,386.97486808125717,,194.24006081274842,230.27634313356546,,254.13360567166615
2043,386.3475825866098,,191.83009389882452,229.61511178817415,,248.36170818629984
2044,399.182468881466,,175.1599669189067,217.78078905231393,,257.0796834409366
2045,433.43171208527104,,175.8127343948728,112.48679350830113,,313.1270618177946
2046,435.06108872685013,,176.61459557410882,114.0681467850118,,300.03918401186417
2047,436.51202259217985,,177.47708220845772,115.76835945691504,,286.98258470730485
2048,437.62823285445575,,178.32996934042353,117.59869253668616,,274.27939471738233
2049,441.7513937019365,,180.15722108188996,120.28832018881222,,263.41129348255987
