,2020,2025,2030,2035,2040,2045,2050
offshore_f,0.0,0.0,0.0,0.0,0.0,0.0916772914995166,1.6061898394079046
offshore_g,0.0,0.0,0.0,0.21066693510508805,0.4335,0.5593,0.6273000000000001
onshore,0.355875,0.435,0.7997835837170202,1.1445,1.3682499999999997,1.548,1.661
pv_g,0.06951,0.14331533391299772,0.25189500000000004,0.42285151507435015,0.5871256535810807,0.6122159167755895,0.562903921399168
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0
river,0.143451,0.143451,0.143451,0.143451,0.143451,0.143451,0.143451
lake,0.132,0.132,0.132,0.132,0.132,0.132,0.132
methanization,0.0,0.0,0.7229184754048525,1.3557590752271806,1.762287361570704,2.1283008905123078,2.4943144194545828
ocgt,0.1434127808833998,0.1434127808833998,0.1034127808833998,0.2714109159196092,0.3965715899638395,0.48959418296164253,0.7230900348088908
ccgt,0.26,0.26,0.22,0.18,0.43168557494255133,0.5997942763559608,0.8921685903139847
nuclear,8.413039576758262,8.413014217347442,8.139408435636048,7.1407916753507985,6.465893439840476,6.15585083386254,3.837812656105352
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phs,0.078,0.078,0.078,0.1005,0.108,0.1155,0.12299999999999998
battery1,0.0,0.0,0.0,0.0006692087811014522,0.0015690864945965561,0.001629087751318777,0.005826704056939157
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanation,0.0,0.0,0.0,0.0,0.11259125107901315,0.1379555601984806,0.1660152614791743
pyrogazification,0.0,0.0,0.0,0.0,0.2005876373910818,0.7179571014624503,1.1076771320926793
electrolysis,0.0,0.006575342465753429,0.027570952706207075,0.03719006271137549,0.04652926410094832,0.07764478199539712,0.11473080707617589
natural_gas,2.1426437841593877,2.9386506085379893,2.2605278019769246,1.9680325011853752,1.5499992508531868,0.956408785641456,0.5681253842094578
coal,0.045486624202919726,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen,0.0,0.0,0.0019006442869953042,0.021653555191667326,0.026745076856990742,0.03495560849189233,0.055108388708434194
methane,0.0,0.0,0.01392111417381498,0.0267062669342249,0.052384841342621564,0.07623140320177513,0.10110652377199529
geothermal,8.535790473035589e-05,7.073971396689228e-05,0.0003661096843729677,0.0002516703412422214,0.15037999999999976,0.1605999999999998,0.1722799999999954
central_gas_boiler,0.011621224637885001,0.015506794946326832,0.019031511130580655,0.021888665960836492,0.024260199850358113,0.02654244739976047,0.02654244739976047
central_wood_boiler,0.0017308999999999998,0.0017308999999999998,0.0017308999999999998,0.0017308999999999998,0.0017308999999999998,0.0017308999999999998,0.004392945927650668
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil,0.8359405327033231,1.2976291080046316,0.684517400795385,0.2182957243920263,0.0,0.0,0.0
wood,4.087357426819544,4.7342410302115985,5.580480999900373,6.177936935101643,6.748017980667237,6.801676250952894,7.247051675973406
health_costs,6.7036124331951426,4.818566312609251,1.6620444035493407,0.6635179002687853,0.254476129317823,0.12527196387697673,0.03475314556710696
