,2020,2025,2030,2035,2040,2045,2050
offshore_f,0.0,0.0,0.0,0.0,0.9189330432997773,1.3796522574478902,1.6555
offshore_g,0.0,0.0,0.0,0.27243399020675096,0.4335,0.5593,0.6273000000000001
onshore,0.355875,0.435,0.7704169399722263,1.1445,1.3682499999999997,1.548,1.661
pv_g,0.06951,0.14331533391299772,0.25189500000000004,0.43989999999999996,0.45142235164816386,0.5699304484619988,0.8389500000000001
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,1.0528
river,0.143451,0.143451,0.143451,0.143451,0.143451,0.143451,0.143451
lake,0.132,0.132,0.132,0.132,0.132,0.132,0.132
methanization,0.0,0.0,0.7591391711383806,1.0438163603150996,1.3284935494917782,1.6131707386685177,1.8978479278453704
ocgt,0.1434127808833998,0.1434127808833998,0.1034127808833998,0.23211391465984887,0.3496762862427968,0.518848644766117,0.518848644766117
ccgt,0.26,0.26,0.22,0.18,0.14,0.20540611992962182,0.7170155505670135
nuclear,8.413039576758262,8.413014217347442,8.139409711455105,7.1407882617271365,6.487885395923682,5.67570692422617,3.2860611757096336
h2_ccgt,0.0,0.0,0.0,0.008911299679996114,0.13344285854194543,0.13344285854194543,0.13344285854194543
phs,0.078,0.078,0.078,0.1005,0.108,0.1155,0.1155
battery1,0.0,0.0,0.0,0.001640263463887162,0.012680814678450713,0.027121233243426093,0.027121233243426093
battery4,0.0,0.0,0.0,0.0,0.0,0.0,3.0173273382554116
methanation,0.0,0.0,0.0,0.06459026990679685,0.08102204138491416,0.09863500013725006,0.11698615413000747
pyrogazification,0.0,0.0,0.0,0.0,0.0,0.02884393195570376,0.057691517296497144
electrolysis,0.0,0.006575342465753429,0.02742949782670171,0.03717746339812841,0.08652293503688392,0.12282739726027397,0.1315945205479452
natural_gas,2.1426437841593877,2.9386506085379893,2.260586411262539,1.9681427785941732,1.550148071133322,0.9565399710655038,0.5683090703854248
coal,0.045486624202919726,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen,0.0,0.0,0.001889373925224288,0.022355665442008635,0.04284831846285886,0.05843703962404338,0.08533031698192937
methane,0.0,0.0,0.014584324715767101,0.026645975019692177,0.034735345531602894,0.044102385574073026,0.05430572893152008
geothermal,8.535790473035589e-05,7.073971396689228e-05,0.12993999999999936,0.14015999999999953,0.15037999999999999,0.16059999999999997,0.17228000000000895
central_gas_boiler,0.011621224637885001,0.015506794946326832,0.016677882566185822,0.017898645203187933,0.018482147558930004,0.019374721578680393,0.020092072562391164
central_wood_boiler,0.0017308999999999998,0.0017308999999999998,0.004159979573058836,0.005834597035847779,0.007657552425121431,0.009064805259746515,0.010437797888020591
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil,0.8359405327033231,1.2976291080046316,0.6845039798896312,0.2182421483725806,0.0,0.0,0.0
wood,4.087357426819544,4.7342410302115985,5.7128514085134485,6.296040768583979,6.751152051484344,7.043239526451042,7.345641059431166
health_costs,6.031123678336664,5.09624181524982,3.257939342859748,1.9770866725779512,1.196801934326144,0.674014485692139,0.32177527601148825
