Occupancy status,Income owner,Income tenant,Housing type,Heating system,Performance,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,A,3270.8163658120784,7202.371383963078,11134.225273686485,15066.395525589873,18998.831676348833,22931.513133830227,26864.36704977807,30799.61305085068,34735.38672667938,38672.588696712475,42610.412952594656,49101.74937694228,55593.62975806651,62086.091012617246,68579.18063215785,75073.87916889285,81569.49213778213,88065.90874536002,94563.20078796161,101054.52962639244,107550.82841759658,113905.25553703438,120260.59078302562,126616.86079991504,132974.11463077922,139332.39791123642,145693.20226561767,152055.41822994885,158419.1235224453,164784.4097948964,171151.69027499104
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,B,3611.893274307253,3829.7769417201125,4047.046737756321,4275.959884422636,4504.912516971683,4733.203558941123,4956.176290090843,5177.212092721848,5396.231289995124,5613.230256547676,5829.797695291396,6052.410779532006,6275.383241011873,6498.860195961865,6723.047790527348,6948.216275741118,7176.517468826525,7406.671722103338,7639.147789397313,7838.096124033965,8061.079677065599,8289.760503619396,8521.179266810703,8755.488195784557,8993.027320185203,9234.0476791092,9485.84834291985,9742.845176555074,10005.447900344236,10274.17594626629,10551.021227547311
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,C,2782.779192746294,2848.3027355743147,2915.74274029646,2985.3188607986863,3057.450256394315,3132.2322923340653,3210.8948859005927,3293.4008672471355,3379.963590282841,3471.0300634456676,3568.02185606409,3674.3929817433814,3790.707211388754,3918.186479394059,4058.1645133910947,4212.089679334246,4380.126979643862,4565.201684568288,4769.084866320209,4958.7952517743115,5172.150347643906,5396.764987247107,5634.891952232419,5886.324367682268,6151.482781309055,6430.504858271748,6715.54494205036,7012.80518747523,7322.69284803742,7645.5360112484295,7982.2494520040555
Owner-occupied,C1,C1,Multi-family,Electricity-Heat pump water,D,294.1549682729705,330.44714372312154,368.63395103674617,408.86267066784336,451.51136164083186,496.54292217237133,546.5529244237975,600.2617433511557,657.687777407397,719.1141281215552,785.5069700360026,858.7125313866551,940.9133281172241,1032.9730271049036,1135.7430410458255,1250.0317444616715,1374.5683551529914,1511.973932036048,1662.7173403042707,1819.219801200712,1988.8274199753112,2160.9365852669052,2336.2403195541565,2513.061845451346,2690.290413103459,2866.4970834939822,3034.8909850729915,3198.7111437560065,3357.009166910254,3508.7703944340005,3653.423086997531
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,B,727.90332782344,935.8757072015658,1143.8480865796914,1351.820465957817,1559.7928453359427,1767.7652247140684,1975.737604092194,2183.70998347032,2391.682362848446,2599.6547422265717,2807.6271216046975,3032.6797580491116,3257.7323944935256,3482.7850309379396,3707.8376673823536,3932.8903038267676,4157.942940271181,4382.995576715595,4608.048213160009,4833.100849604423,5058.153486048837,5278.212964421042,5498.272442793246,5718.331921165451,5938.391399537655,6158.45087790986,6378.510356282064,6598.569834654269,6818.629313026473,7038.6887913986775,7258.748269770882
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,C,39106.693786906486,39079.30060570665,39046.6971501629,39008.94927696864,38967.264580226794,38922.242001945924,38875.53303618231,38828.26716931445,38781.42346729716,38735.92496177971,38692.10103751029,38696.046807287865,38704.681047168815,38719.296642473404,38741.18537041466,38771.597589604884,38810.20987090814,38859.3391970268,38920.328170866946,39007.81518628462,39071.63658181376,39128.46654389453,39183.99706945613,39237.94050979133,39289.671840563315,39340.05274684022,39363.64211350808,39379.032397858,39387.58689002568,39390.16883668744,39386.79742753666
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,D,20906.975992747386,20798.196975861578,20687.740545497512,20575.975108761046,20463.319265873495,20350.127857513766,20238.943650090263,20129.235852260827,20021.538595330403,19916.418104100212,19813.97536473018,19736.767916973102,19663.912280656747,19596.24057244108,19534.597854234984,19479.84931913303,19430.87665607917,19390.15901744338,19358.638776897176,19334.169105055313,19299.27601459766,19262.021818478705,19227.522826243083,19195.774402137755,19166.68260502469,19140.802235142848,19102.86425043375,19064.773596083338,19027.38153520194,18991.35951410581,18956.890156805184
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,E,19299.96933425237,18809.449763412245,18330.706543632354,17863.788190163355,17408.96356647999,16966.06975215082,16545.941061840796,16140.792551913128,15750.557339981468,15375.400511572989,15015.72599231704,14688.346452979604,14378.161034068029,14085.886254092009,13812.266111447447,13558.080797368048,13316.142033779055,13094.740479663784,12894.761874641124,12705.663580010983,12525.43766976664,12338.755607115767,12162.882806214582,11997.220660065104,11841.62466531642,11696.278271746087,11534.473600595522,11379.59155929613,11232.487802239366,11093.872820746441,10964.424215963569
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,F,19823.68190951845,19653.563507542232,19480.91397030114,19306.116401713585,19129.795797197596,18952.149088306323,18781.53355766433,18613.42822635733,18448.3582054608,18287.137203986902,18131.446921866805,18004.186815160167,17886.526720420523,17780.15186716736,17686.82887363686,17608.40329563881,17537.36195128623,17484.00628741179,17450.302862563076,17375.712329550242,17311.67461885491,17235.53383867199,17166.91065947929,17105.157600677103,17050.155551110038,17001.806151058023,16929.229083878872,16858.264374568265,16789.113603627622,16721.65040324693,16655.783317754333
Owner-occupied,C1,C1,Multi-family,Electricity-Performance boiler,G,14246.497335216613,13919.086581486486,13600.255171715577,13290.115538492635,12989.15626791639,12697.12889634247,12429.017880357615,12174.33130695704,11933.01487125847,11705.473198287034,11493.337423931343,11310.131689005506,11147.73614672555,11007.412558204973,10890.346261670067,10797.59502415409,10715.059579810575,10657.594178379162,10625.539629535288,10558.28097789431,10507.777486710336,10436.063033032047,10370.613345093869,10308.98891763114,10249.43955115348,10190.031624364283,10099.650058544983,10004.227839088268,9902.671088237292,9793.708974016066,9676.473996474691
Owner-occupied,C1,C1,Multi-family,Heating-District heating,A,1039.8618968906285,1611.7859401804742,2183.70998347032,2755.6340267601654,3327.5580700500113,3899.4821133398573,4471.406156629703,5043.330199919549,5615.254243209395,6187.178286499241,6759.102329789087,7659.312875566742,8559.523421344398,9459.733967122054,10359.94451289971,11260.155058677366,12160.365604455023,13060.576150232679,13960.786696010335,14860.99724178799,15761.207787565647,16641.445701054465,17521.683614543283,18401.9215280321,19282.15944152092,20162.397355009736,21042.635268498554,21922.873181987372,22803.11109547619,23683.349008965008,24563.586922453826
Owner-occupied,C1,C1,Multi-family,Heating-District heating,B,2049.327103648624,2659.457244310084,3277.471280422068,3903.3618509139474,4537.031331242612,5178.464224873657,5827.653486270143,6484.413572383958,7148.691593437541,7820.463542641788,8499.764586845857,9084.810566561566,9676.309885950694,10274.399528973032,10879.268222027635,11491.160817083462,12110.376468768458,12737.360132309677,13372.541889046575,14029.845662054553,14701.88935259948,15392.774217325414,16096.019891774642,16812.035962262587,17541.27107224831,18284.03079810273,19042.864417721656,19816.02923344827,20603.67708146141,21406.018395178096,22223.31587673866
Owner-occupied,C1,C1,Multi-family,Heating-District heating,C,5855.873172263959,6566.7086159757455,7274.726133439418,7980.023511364942,8682.706881835778,9382.893421322413,10080.706844397662,10776.302280334285,11469.846070348956,12161.518447815772,12851.445963942911,13431.327977693381,14010.059509156283,14587.939546500855,15165.300881528967,15742.510037642072,16319.966424873417,16898.054379094094,17477.223339272765,18070.902074718688,18664.80577729285,19267.476754298455,19872.045870487058,20478.600243536934,21087.14094084417,21697.760301871785,22308.53208757425,22920.478768509754,23533.568429439543,24147.706710555547,24762.65084675945
Owner-occupied,C1,C1,Multi-family,Heating-District heating,D,10531.129761081562,10963.133898631188,11401.829763927928,11846.912903724347,12298.090727293747,12755.083002606232,13217.619836128655,13685.4615195606,14158.380310064313,14636.160706679291,15118.680231823851,15538.360570954233,15961.152406992836,16386.912983833907,16815.50711194031,17246.80282704952,17680.666252716157,18116.931669357997,18555.436057414016,18982.21898647173,19408.18821242346,19839.046915683215,20270.15782023528,20701.099602712995,21131.376936490156,21560.565620665795,21986.202781593285,22409.328305611685,22829.49178316895,23246.192774055944,23658.847358848798
Owner-occupied,C1,C1,Multi-family,Heating-District heating,E,10704.062752894512,10893.310135942584,11068.499122595802,11229.911667246974,11377.818290576617,11512.481386013209,11634.141061136628,11743.352732089857,11840.402837785166,11925.553652789116,11998.881584377683,12002.647210166399,11996.78010358904,11981.46163379634,11956.848103917135,11923.069607211532,11880.22894694452,11828.176422127282,11766.966340120294,11699.467697496817,11618.8201461676,11531.26405216761,11433.673494528393,11326.18348068066,11208.888948495274,11082.0227807575,10944.329639242356,10797.252994162303,10641.150113179687,10476.351139183054,10303.162888617655
Owner-occupied,C1,C1,Multi-family,Natural gas-Performance boiler,C,50833.20657611483,51374.54555563143,51912.03151498668,52433.20928483618,52948.70490223591,53458.3379083583,53956.861409836536,54443.56350815474,54919.14065851029,55381.68550010187,55832.03974095503,55809.124563014906,55772.90445378123,55721.491803047145,55652.873389759116,55564.01933893061,55463.31062157335,55338.98731782106,55188.418098909315,54882.62891501383,54563.587720508076,54235.418052970876,53886.002136641895,53514.83765293732,53121.919103493536,52705.531731711395,52290.56079913911,51857.449695192525,51404.12954226812,50929.0441863293,50430.2728193384
Owner-occupied,C1,C1,Multi-family,Natural gas-Performance boiler,D,78152.51722436506,77449.4037531609,76734.08974764145,76005.79434867398,75262.99540195515,74505.48097065743,73716.87694156832,72906.14759852653,72072.50124986243,71214.33625654822,70330.23846348778,69512.50077860699,68655.57460018373,67755.38127507448,66807.58931039157,65807.59131323427,64764.07093654325,63660.02127761909,62490.092559240926,61108.85191452049,59687.63139826732,58253.49121935578,56784.478919754416,55281.51707381849,53744.04420845956,52170.79298510193,50628.19262515384,49060.34858263796,47464.412397187414,45838.01552056065,44178.19524863066
Owner-occupied,C1,C1,Multi-family,Natural gas-Performance boiler,E,45344.10227240639,44619.31304418156,43880.55719168218,43127.54607968337,42359.22107641231,41576.00952987724,40762.18707455913,39927.999459790095,39073.610733853486,38198.30773600011,37301.16912440625,36431.84348504878,35524.51519188345,34576.45642351737,33585.046780416276,32547.86197430583,31476.92488375488,30357.282020562376,29187.753512225696,27880.965370670958,26549.754022127352,25234.86153479501,23916.384137717207,22599.685692933945,21288.51426868373,19987.284507848257,18743.184406573746,17521.140246997817,16323.96728236218,15154.84604982712,14016.137012805539
Owner-occupied,C1,C1,Multi-family,Oil fuel-Performance boiler,C,230.93778938937123,223.44791321828032,215.49953784582235,207.0743017628774,198.15535576607562,188.7183049805042,178.74040897043736,168.1998004964406,157.0676393171934,145.3161451595042,132.75878268189496,119.36558603017733,105.12339897088192,89.99942365502301,73.96069581664956,56.97420116818059,39.007000667894296,20.026353462006465,,,,,,,,,,,,,
Owner-occupied,C1,C1,Multi-family,Oil fuel-Performance boiler,D,2144.1351377675114,2056.477796517654,1965.7352754360859,1871.878112974661,1774.8900315297174,1674.7041937335377,1571.2695198486726,1464.5438365393466,1354.4419383200825,1240.8902162846175,1122.476152736825,999.1685800608442,871.0460877167043,738.0741961089535,600.2283498373127,457.49460157356947,309.8702755986567,157.36451313167308,,,,,,,,,,,,,
Owner-occupied,C1,C1,Multi-family,Oil fuel-Performance boiler,E,4268.3667834524895,3980.9776015078014,3700.443608472855,3426.6514523464516,3159.477220475738,2898.8196302235488,2644.566366922229,2396.618159575402,2154.8771899935423,1919.2376736299573,1687.570171045612,1460.0569384907071,1236.7729840839418,1017.9650790721324,803.885468448863,594.7903197674107,390.93820919203205,192.5862822820236,,,,,,,,,,,,,
Owner-occupied,C1,C1,Multi-family,Oil fuel-Performance boiler,F,3967.2548206450465,3708.1559677508703,3454.05838411671,3204.94498441712,2960.784053180209,2721.569617618184,2487.2804220979524,2257.9029481816324,2033.429305933245,1813.8392311275727,1597.1930582571495,1383.7349756000435,1173.5878702107211,967.0623192596879,764.4756767388028,566.1502573030134,372.41151375020115,183.58395872430987,,,,,,,,,,,,,
Owner-occupied,C1,C1,Single-family,Electricity-Heat pump water,A,21892.930655749027,29470.292244157932,37055.335105806764,44641.00278700715,52227.33746451064,59814.34596289514,67402.00087092147,74990.38137952572,82579.49135047372,90169.35356282926,97760.16518043919,110002.27750095852,122245.56514989788,134490.07070084356,146735.83095692174,158982.88159606062,171231.39005774504,183481.27235062615,195732.56121843378,207971.00130679196,220210.882341547,232756.57041774524,245302.59688414805,257848.9306650393,270395.55148264,282942.46358509373,295489.7697317173,308037.3387634774,320585.2057229052,333133.3954047604,345682.0251670798
Owner-occupied,C1,C1,Single-family,Electricity-Heat pump water,B,13010.844135953239,13291.452281243694,13579.469001137526,13875.207545452713,14179.22357485303,14491.649857554718,14804.050043542025,15123.490493306062,15449.942435079907,15783.607381062915,16127.14713379146,16482.370586555542,16860.64064896736,17251.90509532186,17656.418971922034,18074.36642553067,18512.12407391132,18964.02269195463,19430.017358897123,19769.55661249521,20139.844619894364,20526.460209067165,20916.989344506797,21310.651921015946,21706.924341038502,22105.268900691313,22520.04190233439,22937.660893999324,23357.935198697287,23780.668278393943,24207.55414709875
Owner-occupied,C1,C1,Single-family,Electricity-Heat pump water,C,37701.17617327,38034.942747638794,38391.28612235941,38771.33603002842,39177.471265026885,39609.6810895022,40068.96476712312,40556.477721128394,41071.35407361023,41613.82524249493,42188.81014925083,42796.66609510341,43437.357684341776,44119.59879405569,44841.52941860969,45600.67305254508,46407.60646264258,47247.55967420186,48116.61649362922,48723.072253803184,49349.04320966698,49996.70008860131,50634.56363660933,51259.20029665676,51867.75040144447,52459.00038739806,53040.75745507403,53600.38140528819,54138.55651869958,54655.48550490304,55153.21615659159
Owner-occupied,C1,C1,Single-family,Electricity-Heat pump water,D,543.802934345372,579.2315715760723,617.5111618907224,658.7405187078404,703.2427548025154,750.8090743469035,802.8864463781626,858.2041212450708,916.2178273441765,976.57422667737,1039.3556894416085,1103.9206793696653,1171.5405385529682,1241.3304165802301,1312.2005990612456,1383.0614513058065,1454.775904922641,1524.6963429248406,1591.9676138851123,1653.894015389463,1711.6008525001978,1767.3437797640408,1816.2007341321744,1858.3771186673534,1894.1274955889664,1923.969825929322,1948.9905324839008,1968.6030327240499,1983.4914544298842,1994.101440140456,2001.0139009882946
Owner-occupied,C1,C1,Single-family,Electricity-Heat pump water,E,448.575295057023,445.60891823621176,442.5483277157456,439.39255419352696,436.140628448406,432.7915528104384,429.33895367024815,425.78986009491837,422.14449533954894,418.4032193871559,414.56650043444364,410.63566337766673,406.31118535389254,401.8751957461868,397.32862005317253,392.67261174233806,387.9093043496053,383.0354360888987,378.0528111110493,372.96359056714743,367.7881085922551,362.52793112161345,357.17806042845524,351.7400635210853,346.2151232746097,340.6046841965398,334.8835478467143,329.0746618734559,323.1788415328006,317.1968873667924,311.1295450687168
Owner-occupied,C1,C1,Single-family,Electricity-Heat pump water,F,24.348582233190587,23.727542866380883,23.116024667937406,22.513911172202864,21.921089644807516,21.33744950663772,20.768698847219753,20.20997371768027,19.661145551662823,19.122092930709464,18.592699732740314,18.071904537552918,17.547849322040285,17.032907740848362,16.527006832283895,16.030080768410198,15.539769582570116,15.058305330364398,14.585642800217006,14.121746020379799,13.667249321136811,13.21809899480037,12.778170605278671,12.347360849486492,11.925551797485873,11.512634100942295,11.104979190651054,10.706052089359753,10.315723047040056,9.933862649598286,9.56034066312363
Owner-occupied,C1,C1,Single-family,Electricity-Performance boiler,C,5540.685147664829,7008.015246346795,8479.350472145981,9956.4787130672,11440.146724012075,12930.267870494241,14440.502082149715,15961.516841894336,17493.439911327154,19036.872000396284,20596.104026697318,21968.314602742863,23362.385289439833,24778.266991422064,26216.79779914149,27678.80539034735,29156.505552505707,30659.067314134987,32187.24306064004,33428.683111658946,34682.33405381552,36073.634589408015,37467.72163846488,38863.80244995564,40261.20156569261,41660.044091116775,43041.29606989381,44420.66363507736,45798.82832610682,47176.11005356492,48553.39103840541
Owner-occupied,C1,C1,Single-family,Electricity-Performance boiler,D,95259.13589768227,96607.52830839681,97990.79908957936,99410.46830867439,100871.0583045781,102371.45261965516,104014.48083941735,105728.47329110547,107513.52612046481,109372.76730627425,111323.81472610828,113345.71026001651,115561.4181683049,117907.42237121223,120387.32087247133,123004.06698266321,125696.67933113175,128529.07058491996,131501.932524202,133437.83556589085,135422.3454355391,137337.02246628844,139264.03704021225,141195.36904176394,143124.0959042135,145047.2100757496,146842.18775862048,148606.96231638515,150342.1323348166,152046.23988627622,153719.21477971692
Owner-occupied,C1,C1,Single-family,Electricity-Performance boiler,E,86876.93521571922,86961.11785302359,87087.2354425412,87255.98854233492,87471.0098761683,87729.87323306789,88150.59508226436,88648.35074316035,89221.2120665915,89870.10351520251,90608.74434948765,91409.55917425922,92312.14416303248,93329.29422091559,94458.12145399657,95693.93894619642,96959.8797508546,98318.44046228557,99760.03947875559,100168.34116485839,100572.08404638298,100852.58603690137,101089.90439853874,101272.52990051135,101390.04109777373,101436.47176669531,101300.00074149804,101068.61254063691,100741.43579179337,100316.12511652878,99792.15339920825
