,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
Stock (Million),28.335360105982453,28.618146824686328,28.90008518325708,29.181177726877536,29.461426992993108,29.740835511394156,30.019405804296234,30.29714038637011,30.574041764696755,30.850112438913783,31.125354901157262,31.567950436040856,32.009218184344974,32.4491621294214,32.88778624265122,33.32509448355049,33.7610907997381,34.19577912696496,34.62916338923989,35.06124749872768,35.49203535589439,35.9096394495017,36.32599073082071,36.74109295829965,37.15494987910548,37.56756522912714,37.97894273310929,38.389086104580834,38.79799904595975,39.2056852485189,39.61214839244235
Stock existing (Million),27.599774505982456,27.514768424686327,27.428913983257083,27.34221372687754,27.254670192993107,27.166285911394144,27.07706340429623,26.987005186370112,26.896113764696757,26.804391638913785,26.711841301157257,26.61846523604085,26.52376138434498,26.427733729421398,26.330386242651212,26.231722883550493,26.1317475997381,26.03046432696495,25.927876989239895,25.82398949872768,25.71880575589439,25.612329649501703,25.504600730820712,25.39562275829964,25.28539947910548,25.173934629127146,25.061231933109298,24.947295104580842,24.832127845959743,24.7157338485189,24.598116792442344
Stock new (Million),0.7355856000000001,1.1033784000000002,1.4711712000000001,1.8389640000000005,2.2067568,2.5745496000000005,2.9423424000000002,3.3101352000000004,3.677928,4.045720800000001,4.4135136,4.9494852,5.485456800000001,6.0214284,6.5574,7.093371600000001,7.629343200000001,8.165314799999999,8.7012864,9.237258,9.773229599999999,10.2973098,10.82139,11.3454702,11.8695504,12.3936306,12.917710799999996,13.441791,13.965871199999999,14.489951399999999,15.014031599999997
Surface (Million m2),2420.4624122454265,2447.4747370936097,2474.4248076080603,2501.311515552319,2528.1357390875,2554.895581866991,2581.607924156603,2608.2603050969087,2634.858316544045,2661.4035779546875,2687.879509827047,2730.0799329898987,2772.1731576780257,2814.1620480740175,2856.04950924523,2897.8384929380522,2939.4795912234804,2980.977046614782,3022.333876097254,3063.5534243025013,3104.620068273508,3144.417971960828,3184.0703954267296,3223.579063546471,3262.945529150116,3302.1711794094854,3341.2570684143225,3380.2062378118567,3419.0202092415684,3457.7005001929033,3496.248623981763
Surface existing (Million m2),2351.393525228313,2343.871406567939,2336.2870335738316,2328.6392980095343,2320.929078036159,2313.1544773070927,2305.3323760881476,2297.450313519897,2289.5138814584757,2281.5246993605615,2273.4661877243643,2265.3407726913865,2257.1081591836855,2248.7712113838484,2240.3328343592307,2231.7959798562247,2223.111239945824,2214.2828571412965,2205.3138484279402,2196.207558437359,2186.9483642125356,2177.5369901193953,2167.980135804837,2158.2795261441183,2148.436713967303,2138.4530864462126,2128.3296976705897,2118.0695892876633,2107.674282936916,2097.1452961077903,2086.484142116189
Surface new (Million m2),69.06888701711385,103.60333052567076,138.13777403422768,172.6722175427846,207.20666105134157,241.74110455989845,276.27554806845535,310.8099915770122,345.3444350855692,379.8788785941261,414.4133221026831,464.739160298512,515.0649984943408,565.3908366901699,615.7166748859987,666.0425130818277,716.3683512776565,766.6941894734855,817.0200276693143,867.3458658651433,917.6717040609722,966.8809818414323,1016.0902596218924,1065.2995374023524,1114.5088151828127,1163.7180929632727,1212.927370743733,1262.136648524193,1311.3459263046532,1360.555204085113,1409.764481865573
Surface Electricity-Heat pump water (Million m2),158.81008596917934,193.2648666759494,228.66829328126923,264.3244822293603,300.0830905653934,337.3400111065446,374.79482402191474,412.42731772781787,450.2329171345453,488.1980170319392,526.4620977975218,579.9569284663762,633.8652512834258,688.1675707494243,742.8431465057686,797.8697188174558,853.1859164049146,908.6422203403016,964.2158978546962,1014.8171369265166,1063.5928686859588,1112.4174450074051,1161.4789016546372,1210.5086559649433,1259.5735750623535,1308.1247946773237,1356.8813516903774,1405.665731891203,1454.4736213461026,1503.299647902377,1552.1962677549811
Surface Electricity-Performance boiler (Million m2),723.9714929334631,711.5528693821329,701.1426805375226,690.8582655154629,680.5886177178261,668.5305134888865,657.959726798067,647.7550937571489,637.9096389196361,628.4060008875578,619.1468154002333,609.8858500659978,600.9392913453477,592.298604125442,583.9545086160479,575.8972503431754,567.6564081755895,559.5914444430331,551.6891178411814,542.7653784855265,535.3564249033913,527.7399672503084,519.796486154055,511.9576531622207,504.3091606654849,497.27817989095155,489.39676127587575,481.54875772973554,473.7182703657822,465.8904856912457,458.03048833771436
Surface Heating-District heating (Million m2),80.25970925937196,86.47140047946453,92.67300727378475,98.86450747982495,105.04557328983373,111.21618248165886,117.37388020452696,123.5169403882977,129.64450337568425,135.75617535847476,141.8483566735065,148.00943496810777,154.14891106872471,160.2658250241451,166.35914779712576,172.4277760250687,178.47955099401355,184.51298131879653,190.5270488146665,196.5261650421381,202.51460431455598,208.4835972032843,214.4337886187241,220.36733243766358,226.28510326524315,232.18903940462476,238.07449133705651,243.94315805635398,249.7952494735039,255.63114177563716,261.45142602728725
Surface Natural gas-Performance boiler (Million m2),986.0160911623653,981.4542047798486,975.9910886339721,969.5897093506921,963.0293007917339,954.9474836468311,946.1838102559889,937.227964802044,928.0861807685528,918.7618757042502,909.2620395709339,898.4353414977345,886.9974187397946,874.9759040149074,862.3985830750428,849.293104819293,835.9195052427598,822.4294061181578,808.8181346842618,790.2748845595996,773.2654919477991,755.1062606337784,737.057463568937,719.0992167480301,701.0331153236176,683.2488351580872,665.8668134182708,648.5238238239091,631.2299319677275,613.9950863635382,596.7644987210818
Surface Oil fuel-Performance boiler (Million m2),308.1810792600855,289.4814109436668,271.0182278473938,252.789570147377,234.79177357285374,217.01944657344856,199.4724725784812,182.14405219276335,165.03104573021471,148.12795256115317,131.265742982703,114.46010581659108,97.72310759892395,81.0750605133217,64.53796512927669,48.135498563718954,31.887740479313806,15.829716500446303,,,,,,,,,,,,,
Surface Wood fuel-Performance boiler (Million m2),163.22395366096154,185.24998483254802,204.93151003411717,224.88498082960197,244.59738314985944,265.8419445696217,285.82321029762386,305.18893622883724,323.954030615412,342.15355641131237,359.8944574021486,379.3322721750914,398.49917764180924,417.3790836467772,435.956158121968,454.21514436934046,472.35046992688893,489.9712778940463,507.083676902449,519.1698592887208,529.8906784218027,540.6707018660519,551.3037554303767,561.6462052336133,571.7445748334173,581.330330278498,591.0376506927415,600.5247663106549,609.8031360884527,618.8841384601052,627.8059431406978
Prices Electricity (euro/kWh),0.1743338984,0.17676212842125,0.1779804496312869,0.1807244061941593,0.18276467142978042,0.1846755174740825,0.17742306784831763,0.17742306784831763,0.17742306784831763,0.17742306784831763,0.17742306784831763,0.17917519685549438,0.17917519685549438,0.17917519685549435,0.17917519685549438,0.17917519685549438,0.18221634367063486,0.18221634367063483,0.18221634367063483,0.18221634367063483,0.18221634367063486,0.18942585538665074,0.1894258553866508,0.18942585538665077,0.18942585538665077,0.18942585538665074,0.19671913019318105,0.19671913019318105,0.19671913019318105,0.19671913019318105,0.19671913019318105
Prices Heating (euro/kWh),0.07554741999999999,0.076506872234,0.07747850951137178,0.07846248658216619,0.07945896016175971,0.08046808895581405,0.08149003368555288,0.0825249571133594,0.08357302406869906,0.08463440147437153,0.08570925837309605,0.08679776595443436,0.08790009758205566,0.08901642882134778,0.09014693746737887,0.09129180357321458,0.0924512094785944,0.09362533983897255,0.09481438165492749,0.09601852430194506,0.09723795956057975,0.09847288164699912,0.099723487243916,0.10098997553191373,0.10227254822116903,0.10357140958357787,0.1048867664852893,0.10621882841965247,0.10756780754058205,0.10893391869634743,0.11031737946379103
Prices Natural gas (euro/kWh),0.0918150406,0.09290306447807999,0.09316641783489202,0.0965204787098149,0.09732851321086097,0.09798799615066928,0.09812416484933727,0.09803763997071727,0.09795198034101728,0.09786717730783727,0.09778322230351726,0.10116639212902878,0.10224309878398878,0.10329734883066878,0.10432948374206878,0.10533984038650879,0.11324198852670071,0.11320233639988071,0.1131620386109007,0.1131211120258407,0.1130795732750207,0.12362116169618345,0.12496599699508344,0.12628251734658347,0.12757115455248344,0.12883233462038346,0.12859464331230938,0.12933089789450938,0.13005036460870936,0.13075330558410936,0.13143997937210938
Prices Oil fuel (euro/kWh),0.10588271939999999,0.10756056866120002,0.10851988578441879,0.11258446862406923,0.11411791200326563,0.11551802543092214,0.1169423608208771,0.11839133721307829,0.11986538089686455,0.1213649255363803,0.1228904122981597,0.12590568998091786,0.12921881514758773,0.13255925225964105,0.13592747381373282,0.1393239604807104,0.14274920124702672,0.1446318935586003,0.14654434346716408,0.148487065779146,0.15046058420712527,0.15246543152390854,0.15677854971927216,0.1611240901594156,0.1655026137491735,0.16991469109703422,0.1743609026830129,0.17802883902942904,0.1817321008746382,0.18547129934976941,0.18924705615852044
Prices Wood fuel (euro/kWh),0.06238232,0.063174575464,0.06397689257239278,0.06478939910806217,0.06561222447673457,0.06644549972758908,0.06728935757412946,0.06814393241532091,0.06900936035699547,0.06988577923352932,0.07077332862979514,0.07167214990339352,0.07258238620716662,0.07350418251199763,0.07443768562989997,0.07538304423739971,0.07634040889921469,0.0773099320922347,0.07829176822980609,0.0792860736863246,0.08029300682214092,0.08131272800878211,0.08234539965449364,0.0833911862301057,0.08445025429522805,0.08552277252477743,0.0866089117358421,0.08770884491488729,0.08882274724530635,0.08995079613532174,0.0910931712462403
Consumption standard (TWh),337.12392207424455,332.8114075293048,328.0163447349258,323.2792756700393,319.1121790771375,312.40573804698846,305.3461142487612,298.27280331421986,291.5795959561954,284.5650573339309,277.9346590565455,271.793665281808,265.92688829626826,260.3107868937992,254.92384460551696,249.10750712385152,243.50587451435337,238.19103209897378,233.13261141657492,228.69623753637774,224.55993924473077,220.4952603597318,216.59073745216799,212.8337560074081,209.21182977371691,205.7443341334281,202.4082683701882,199.1851632791317,196.06782812255443,193.0501617127366,190.1219527886372
Consumption standard (kWh/m2),139.28079212000642,135.98154967046574,132.56266414981818,129.24390810980432,126.22430597508865,122.27730176694651,118.27749341469661,114.35699218032522,110.66234344571495,106.9229258166932,103.4029457199997,99.555204225888,95.92722862918448,92.50028336923708,89.25750193766278,85.96321283291641,82.83979083964333,79.90367868463301,77.13661725474869,74.65064448433651,72.33089212413984,70.12275795581753,68.0232251658935,66.02405333072728,64.11747542356593,62.30577488421439,60.57847816727437,58.92692612983055,57.34620333409717,55.83195007837331,54.378842363937366
Consumption (TWh),293.3787582946951,291.06451958581874,288.86641284062006,285.24225182824165,283.1215591348288,279.44137301175226,276.40042836251916,272.7514660122784,269.2795059932016,265.50115630184365,261.91525966718467,257.64083639853845,254.30312671523757,251.11660360754672,248.06672570323454,244.6464660208224,239.67879028384252,236.83825402655282,234.13205496729728,231.74018588219832,229.5293195581765,225.02393143824838,222.7563968803437,220.58324119204372,218.49450110326927,216.50513725665039,214.1868688618095,212.4042899520884,210.6820016921145,209.01660562034337,207.40148456098507
Consumption (kWh/m2),121.20773155181206,118.92442245653555,116.74083284020139,114.03707617172057,111.98827450499873,109.3748703450144,107.06522310231043,104.57217996197832,102.19885612156796,99.75982541734,97.44308058066105,94.37116960761593,91.73421436929361,89.2331711243879,86.85659156125458,84.42377538189885,81.53783104991132,79.44987509900756,77.46730327148121,75.64424502731173,73.93153252591667,71.56298349800034,69.95963317905534,68.42805367688597,66.96235016837058,65.56448030515703,64.10367848872438,62.837671730227385,61.620578059949366,60.449598109692396,59.321148713040415
Consumption existing (TWh),290.8345937388697,287.61636267709434,284.5080978583844,279.99197672079964,276.9653721862879,272.37755199343036,268.38331257307567,263.80523143186167,259.40071292220364,254.68635005529643,250.1609705138093,244.66546677039025,240.0733528726721,235.62817235882005,231.3153558800879,226.62784877332405,220.47960733475725,216.35956029423915,212.36931705998722,208.6888497298921,205.18481034002872,199.65018952408633,196.16127377877984,192.76228248611272,189.44324462364506,186.21911235413322,182.80770930602972,179.7854101079579,176.81904167886285,173.90518997335403,171.0372220135423
Consumption new (TWh),2.5441645558253754,3.4481569087243997,4.35831498223564,5.2502751074420075,6.156186948540892,7.063821018321903,8.017115789443494,8.946234580416728,9.878793070997972,10.81480624654722,11.754289153375368,12.9753696281482,14.229773842565464,15.48843124872667,16.751369823146632,18.018617247498355,19.19918294908527,20.478693732313673,21.762737907310054,23.05133615230622,24.344509218147778,25.373741914162053,26.595123101563843,27.82095870593099,29.051256479624215,30.28602490251717,31.37915955577978,32.618879844130504,33.862960013251666,35.11141564698934,36.36426254744276
Consumption existing (kWh/m2),123.68605706296253,122.7099583497383,121.77788677925021,120.23844867692911,119.33383695663832,117.75156162960825,116.41848930629588,114.82521727648975,113.29947157034013,111.62988948867259,110.03505214397272,108.00382428984854,106.36324710265457,104.7808559474662,103.25044222558459,101.54505645624639,99.17614709200527,97.71089524378364,96.29890875231878,95.0223711452746,93.82243024009877,91.68624479400437,90.48112136228465,89.31293660116994,88.17725157648194,87.08122405603079,85.89257082965518,84.8817295792544,83.8929634955152,82.92472166621667,81.97389022092929
Consumption new (kWh/m2),36.83517522433775,33.28229788780794,31.55049379292691,30.406021201071894,29.7103718447329,29.220603716450857,29.01854994223745,28.783613213412536,28.605624030253193,28.469090691673017,28.36368554402529,27.91968212838755,27.62714198045397,27.39420281268941,27.20629553560196,27.053253949398652,26.80071350841109,26.71038076651797,26.636725135602717,26.576867498311554,26.528560388661905,26.242880344835786,26.17397701603834,26.115620751859307,26.066421444014278,26.02522473926424,25.870600592135176,25.844174545023723,25.823056551276913,25.8066821115131,25.794565698889727
Heating intensity (%),0.8501832499169854,0.8591735201069782,0.8696242428359161,0.8759172922105034,0.8848808445216946,0.8952514456176467,0.9109304087716615,0.9229991280964412,0.9347350233972234,0.9468049541112388,0.9585192914979398,0.9682415861776255,0.9804891181831168,0.9924421804160637,1.004124353707568,1.016232106655623,1.0215617048708638,1.0337200474923198,1.045514655515449,1.0563871298621323,1.0667921294802754,1.0659226674533266,1.075207772615055,1.0843148619313137,1.0932569019098533,1.1019982145210698,1.1051569188014883,1.1137074337341626,1.1221211131469453,1.1304070667158765,1.138578358594812
Energy poverty (Million),3.496889664944307,3.4176356928373193,3.3230453428203566,3.2375849074364518,3.153824035486975,3.034924614635871,2.789443905299739,2.5771825514446944,2.4364498687602247,2.2346733138536123,2.084042995789187,1.987234056646748,1.842778694984789,1.7097360085108644,1.566771757321006,1.4410594175764293,1.4150687144143532,1.2968234794008657,1.1644254385400006,1.0409121210680081,0.9673909591105172,0.9515593444741688,0.8696438819336257,0.8060567894248815,0.7411902573040475,0.6818738276310219,0.6276629273994268,0.5727571075636193,0.5246760473225809,0.4771024318157118,0.42829400934251305
Consumption Electricity (TWh),39.90434532519718,39.823897310209176,39.94055839140924,40.00525776558191,40.15199290097034,40.141788448807546,40.61228236993566,40.73642556877456,40.926422930772986,41.05873540076541,41.262349908350544,41.672176469242174,42.25273686563266,42.89918437523681,43.605971004189385,44.326958417005095,44.888896131540434,45.67059818139662,46.48592006867143,47.082211887007524,47.68908106408117,47.838353830743955,48.45132270438476,49.08395192531078,49.741651291972424,50.41823872432152,50.604338845690336,51.26748368096226,51.94299645758377,52.62895518827603,53.32499105668404
Consumption Heating (TWh),12.017187816957232,12.627528231667645,13.213986421590704,13.793322295953114,14.36888775380662,14.909333297517131,15.440453665537474,15.95991347221827,16.467905169443203,16.96468591028558,17.447512939368792,17.855910102145383,18.25258425218355,18.637691972279637,19.011344924327126,19.29648599370515,19.57878301221947,19.857619767527435,20.132618981500045,20.40585634260514,20.67783720336143,20.949607518145154,21.21598279354691,21.477943066037934,21.735813017689843,21.990340374399146,22.239325338448925,22.48366413979879,22.723363483331045,22.958480129860735,23.189121475565177
Consumption Natural gas (TWh),130.29143196979038,128.6225015168754,127.08931002315408,124.39977612849874,122.64178410115512,120.10262937423744,117.66673979455503,115.26816134305635,112.90294798073057,110.44376462682236,108.03271545990951,104.69808001336911,101.96168742455428,99.22103603770819,96.48017079647568,93.47477084089013,89.11897196524725,86.49619144632823,83.95374048614742,81.00518503501794,78.3295246309995,74.01920391839407,71.28722519235573,68.64796938021775,66.07548456541058,63.60832045767794,61.426692167690916,59.18648725140484,57.00447567601113,54.87782778429069,52.79687842908119
Consumption Oil fuel (TWh),37.19221177002691,34.49518589923286,31.896390405970475,29.179420594068645,26.798139975699748,24.188278745247448,21.653599939616097,19.237010078637994,16.975150655755865,14.832961267213348,12.809813660584426,10.86208995330862,9.02042568760026,7.284969952360766,5.649485370167433,4.102700323527483,2.648444116305915,1.285845068567506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumption Wood fuel (TWh),73.97358141272339,75.49540662783365,76.72616759849558,77.86447504413924,79.16075440319693,80.09934314594271,81.0273525928749,81.54995554959123,82.00707925649898,82.20100909675695,82.36286769897139,82.55257986047314,82.81569248526681,83.0737212699613,83.3197536080749,83.44555044569455,83.44369505852944,83.52799956273303,83.55977543097839,83.24693261756774,82.83287665973438,82.21676617096522,81.80186619005626,81.37337682047725,80.94155222819644,80.48823770025177,79.91651250997931,79.4666548799225,79.01116607518856,78.55134251791591,78.09049359965466
Consumption Electricity-Heat pump water (TWh),5.880781256473069,6.691676632865034,7.541241729680843,8.38526945924907,9.240541806457067,10.148302904973512,11.201130724186797,12.15891287764232,13.12456494997387,14.097764414057442,15.083356035173553,16.291031410698672,17.55498853060653,18.838448901156518,20.140685331830813,21.460440987760688,22.69954727853569,24.033579409798534,25.37395233259099,26.53015255319089,27.621420698086233,28.44488254971125,29.539984756656107,30.63741058117977,31.740677762054595,32.83000276015063,33.61621380016292,34.70835367569555,35.80496289258203,36.905777995382216,38.01266830023096
Consumption Electricity-Performance boiler (TWh),34.0235640687241,33.132220677344144,32.3993166617284,31.619988306332836,30.91145109451328,29.993485543834037,29.411151645748866,28.57751269113224,27.801857980799117,26.960970986707963,26.17899387317698,25.3811450585435,24.69774833502613,24.060735474080293,23.46528567235857,22.866517429244407,22.189348853004745,21.63701877159809,21.111967736080445,20.552059333816636,20.06766036599494,19.39347128103271,18.91133794772865,18.44654134413101,18.000973529917832,17.588235964170895,16.988125045527422,16.559130005266706,16.138033565001738,15.723177192893814,15.31232275645308
Consumption Heating-District heating (TWh),12.017187816957232,12.627528231667645,13.213986421590704,13.793322295953114,14.36888775380662,14.909333297517131,15.440453665537474,15.95991347221827,16.467905169443203,16.96468591028558,17.447512939368792,17.855910102145383,18.25258425218355,18.637691972279637,19.011344924327126,19.29648599370515,19.57878301221947,19.857619767527435,20.132618981500045,20.40585634260514,20.67783720336143,20.949607518145154,21.21598279354691,21.477943066037934,21.735813017689843,21.990340374399146,22.239325338448925,22.48366413979879,22.723363483331045,22.958480129860735,23.189121475565177
Consumption Natural gas-Performance boiler (TWh),130.29143196979038,128.6225015168754,127.08931002315408,124.39977612849874,122.64178410115512,120.10262937423744,117.66673979455503,115.26816134305635,112.90294798073057,110.44376462682236,108.03271545990951,104.69808001336911,101.96168742455428,99.22103603770819,96.48017079647568,93.47477084089013,89.11897196524725,86.49619144632823,83.95374048614742,81.00518503501794,78.3295246309995,74.01920391839407,71.28722519235573,68.64796938021775,66.07548456541058,63.60832045767794,61.426692167690916,59.18648725140484,57.00447567601113,54.87782778429069,52.79687842908119
