,2020,2025,2030,2035,2040,2045,2050
offshore_f,0.0,0.0,0.0,9.639103483514427,10.929557680698526,43.81290587179588,140.29570870000032
offshore_g,0.0,0.0,0.0,23.473497514333854,39.122495857222916,54.771494200112414,70.42049254300137
onshore,25.672679102256538,32.99567158507232,65.73846552258021,93.01366041654086,119.75153221823733,146.77384946463263,171.80504859813507
pv_g,9.524232366375484,22.207778080068653,34.1136857993546,62.55360726609468,75.70717653180573,85.03174746729236,140.35101243836178
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0
river,36.685589196542864,36.685589196542864,36.685589196542864,36.685589196542864,36.685589196542864,36.685589196542864,36.685589196542864
lake,15.302186369999909,15.302186369999594,15.302186369999628,15.30218636999971,15.302186369999776,15.302186369999756,15.302186369999742
nuclear,377.17326279304456,377.16962722931504,364.9010356411266,320.1327953017036,301.6719249630063,263.3630230259019,131.69770703628132
methanization,0.0,0.0,18.999999999999922,25.749999999994827,32.49999999999497,39.24999999999385,46.00000000000614
pyrogazification,0.0,0.0,0.0,1.9332221386679358,9.60109601552649,14.399999999998242,19.20219203105298
natural_gas,156.56081087175482,134.67530943387126,94.06101968175425,71.9719915881936,47.99004482620967,30.558782120032273,17.482390804725068
