,2020,2025,2030,2035,2040,2045,2050
offshore_f,0.0,0.0,0.0,0.0,0.0,0.013946100722509408,1.480725440911722
offshore_g,0.0,0.0,0.0,0.29579999999999995,0.4335,0.5593,0.6273000000000001
onshore,0.355875,0.435,0.8493308787396622,1.1445,1.3682499999999997,1.548,1.661
pv_g,0.06951,0.1432921331065964,0.25189500000000004,0.4034867243697019,0.591375,0.6860564864820663,0.6326422372330626
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0
river,0.143451,0.143451,0.143451,0.143451,0.143451,0.143451,0.143451
lake,0.132,0.132,0.132,0.132,0.132,0.132,0.132
methanization,0.0,0.0,0.2070849649063344,0.6619198642647159,1.762287361570704,2.1283008905123064,2.4943144194545828
ocgt,0.1434127808833998,0.1434127808833998,0.1034127808833998,0.3099607093394167,0.4289716570092656,0.5450721964943479,0.7681423434795311
ccgt,0.26,0.26,0.22,0.2242695345036293,0.5916636369222633,0.7489136100912616,1.0119020778324301
nuclear,8.413039576758267,8.413013849638308,8.139405743815713,7.140791862741445,6.357040268705967,6.155867696230109,3.8613160090722123
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.006086788377456695
phs,0.078,0.078,0.078,0.1005,0.108,0.1155,0.12299999999999998
battery1,0.0,0.0,0.0,0.002958572175356162,0.002958572175356162,0.002958572175356162,0.006455743515376127
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanation,0.0,0.0,0.0,0.0,0.05749523866765532,0.1432461801681444,0.17008013290934754
pyrogazification,0.0,0.0,0.0,0.0,0.0,0.0,0.8416425056569201
electrolysis,0.0,0.006575342465753429,0.0280120637096328,0.03725751059333536,0.04630626670111217,0.06934954964716641,0.10492070266146372
natural_gas,2.142530226177682,2.9381895002728924,2.2605879441940226,1.968170771713038,1.5498438572581406,0.9561841423625353,0.5679494594813379
coal,0.0454866242029159,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen,0.0,0.0,0.006284324259973566,0.02146502670790654,0.02627175789810829,0.03729419250534625,0.05477694602469293
methane,0.0,0.0,0.004092483014692772,0.013047092947219655,0.04333714342300067,0.06690468739182112,0.10219379066800695
geothermal,0.0,0.0,0.012408954417653913,0.009019375362268914,0.006932964359790065,0.005260052280843569,0.16281219298878785
central_gas_boiler,0.00933170431235678,0.011824310272863157,0.01285026478404682,0.014889165434594277,0.01657498266574935,0.018198633719132554,0.019489267826081846
central_wood_boiler,0.0017308999999999998,0.0017308999999999998,0.0017308999999999998,0.0017308999999999998,0.0017308999999999998,0.0017308999999999998,0.0017308999999999998
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil,0.8359405377590887,1.2976291158526503,0.6843393621558698,0.21794201974017058,0.0,0.0,0.0
wood,4.087911917986211,4.735928806650546,5.625006687757888,6.31662439248097,6.7597707892452625,6.980218612837465,6.851564611870999
health_costs,6.031123678336664,5.09624181524982,3.4309659838417246,2.231715953428161,1.4453389408971007,0.869752367595622,0.38088333979697325
