,2020,2025,2030,2035,2040,2045,2050
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ccgt,0.0,0.0,0.0,0.10806301351613842,0.3696289939150932,0.3349170793199882,0.39785657659130946
central_gas_boiler,0.017519548944802957,0.007712353757304758,0.007297539891818271,0.006132957546439736,0.005396184339909977,0.005375720522858241,0.004360734987702383
central_wood_boiler,0.0,0.0,0.0,0.0,0.0,0.0,0.0012889085394939485
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,0.0,0.0399158704105231,0.1324541430942286,0.03633410341804208,0.027428429397329597,0.09635573518782789,0.18764177133030996
geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0019737040099496563
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.10469313495700837
hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanation,0.0,0.0,0.0,0.0,0.08861465058446008,0.05696525658680843,0.03026603987640039
methane,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanization,0.0,0.0,0.025694350251057478,0.03875542270340989,0.035559214781339894,0.020771097452825647,0.020771097452817376
natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,0.0,0.0,0.0,0.0,1.6794307817621912,0.9367655754666347,0.7845524349637689
ocgt,0.03794425793257983,0.0,0.0,0.40509372723210135,0.22169124326893344,0.17857575574326998,0.26073833626257037
offshore_f,0.0,0.0,0.0,0.1036085366202007,0.0,1.0639274721440966,2.3975710063966202
offshore_g,0.0,0.0,0.03002735393864324,0.5050315371368811,0.31674731335344924,0.30343860270834644,0.3004916739226451
onshore,0.0,0.0,0.7833210740214492,0.6928880065792488,0.6814353122556248,0.6699826179320012,0.6585299236083771
phs,0.0,0.0,0.0,0.0682792657422843,0.0227597552474281,0.0227597552474281,0.02275975524742806
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pv_g,0.0,0.19975763273587208,0.36493507462169433,0.6350240097431943,0.592476337398592,0.12438989162707172,0.8886190781271229
pyrogazification,0.0,0.0,0.0,0.0,0.0,0.0,0.3992042753695425
river,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
investment_heater,0.6831493616942008,3.3680934156999744,3.415109600452642,3.2409348712723576,3.323189071584563,3.561024839660907,3.386366306456798
investment_insulation,0.2689330222359794,1.3586710997134752,1.3004011449581399,1.2401957267236163,1.1779923740892697,0.9829583207603396,0.8365246454822727
