,2020,2025,2030,2035,2040,2045,2050
river,9.66,9.66,9.66,9.66,9.66,9.66,9.66
lake,8.8,8.8,8.8,8.8,8.8,8.8,8.8
phs,5.2,5.2,5.2,6.7,7.2,7.7,8.2
offshore_f,0.0,0.0,0.0,0.0,0.0,1.5279548583252767,29.203451625598266
offshore_g,0.0,0.0,0.0,3.6321885362946214,8.5,11.9,15.3
onshore,9.49,11.6,21.32756223245387,32.7,42.099999999999994,51.6,60.4
onshore_V110,,,,,,,
pv_g,6.62,13.649079420285496,23.990000000000002,42.28515150743502,61.80270037695586,68.02399075284329,66.22399075284329
pv_g_ns,,,,,,,
pv_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanization,0.0,0.0,1.522093852836885,2.8545301089110913,3.710469231647448,4.48110514898961,5.251741066331773
ocgt,7.17063904416999,7.17063904416999,5.17063904416999,13.57054579598046,19.828579498191978,24.47970914808213,36.15450174044454
ccgt,6.5,6.5,5.5,4.5,10.792139373563783,14.994856908899022,22.304214757849614
coal,2.9,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,61.5,61.5,59.5,52.2,47.26639986493422,45.0,29.0
h2_ccgt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery1,0.0,0.0,0.0,0.06083716191831384,0.1426442267815051,0.14809888648352518,0.5297003688126506
battery4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrolysis,0.0,0.5479452054794525,2.297579392183923,3.099171892614624,3.8774386750790266,6.470398499616427,9.560900589681324
hydrogen,0.0,0.0,0.6480862475159137,2.6484018264840183,3.0136986301369864,3.835616438356164,4.994690544019223
methane,80.0,80.0,80.0,80.0,80.0,80.0,80.0
methanation,0.0,0.0,0.0,0.0,1.1976315749347002,1.479926450275189,1.8079020672685968
pyrogazification,0.0,0.0,0.0,0.0,0.39695170860265966,1.4208869030382898,2.192031053773262
natural_gas,109.70626803454165,109.70626803454165,109.70626803454165,109.70626803454165,109.70626803454165,109.70626803454165,142.39269260254358
geothermal,0.583,0.583,0.583,0.583,0.583,0.583,0.616088848536965
central_gas_boiler,6.116434019939475,8.161471024382543,10.016584805568765,11.520350505703417,12.768526237030587,13.969709157768671,13.969709157768671
central_wood_boiler,0.911,0.911,0.911,0.911,0.911,0.911,2.3120768040266673
uiom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
